LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;119.000;9.000;0.000;19.000;0.486;0.434;0.809
2;126.000;6.000;3.000;12.000;0.444;0.395;0.606
3;116.000;8.000;1.000;22.000;0.410;0.349;0.656
4;122.000;7.000;2.000;16.000;0.438;0.383;0.608
5;115.000;4.000;2.000;22.000;0.250;0.195;0.514
6;115.000;7.000;2.000;23.000;0.359;0.292;0.664
7;118.000;7.000;2.000;20.000;0.389;0.327;0.511
8;117.000;7.000;2.000;21.000;0.378;0.315;0.674
9;121.000;8.000;1.000;17.000;0.471;0.418;0.718
10;120.000;5.000;1.000;17.000;0.357;0.312;0.640
11;119.000;5.000;4.000;19.000;0.303;0.235;0.404
12;126.000;9.000;0.000;12.000;0.600;0.562;0.783
13;125.000;5.000;4.000;13.000;0.370;0.314;0.533
14;118.000;8.000;1.000;20.000;0.432;0.374;0.735
15;111.000;5.000;1.000;26.000;0.270;0.215;0.596
16;118.000;5.000;4.000;20.000;0.294;0.224;0.527
17;111.000;8.000;1.000;27.000;0.364;0.295;0.574
18;130.000;8.000;1.000;8.000;0.640;0.609;0.778
19;114.000;6.000;3.000;24.000;0.308;0.236;0.564
20;123.000;5.000;1.000;14.000;0.400;0.359;0.523
21;106.000;9.000;0.000;32.000;0.360;0.289;0.439
22;116.000;5.000;4.000;22.000;0.278;0.205;0.467
23;123.000;6.000;3.000;15.000;0.400;0.344;0.619
24;116.000;8.000;1.000;22.000;0.410;0.349;0.751
25;121.000;4.000;2.000;16.000;0.308;0.260;0.610
max;130.000;9.000;4.000;32.000;0.640;0.609;0.809
avg;118.640;6.560;1.840;19.160;0.389;0.332;0.612
min;106.000;4.000;0.000;8.000;0.250;0.195;0.404
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;131.000;7.000;2.000;7.000;0.609;0.577
2;132.000;3.000;6.000;6.000;0.333;0.290
3;129.000;4.000;5.000;9.000;0.364;0.314
4;134.000;4.000;5.000;4.000;0.471;0.438
5;130.000;3.000;3.000;7.000;0.375;0.340
6;135.000;2.000;7.000;3.000;0.286;0.253
7;133.000;5.000;4.000;5.000;0.526;0.494
8;125.000;4.000;5.000;13.000;0.308;0.247
9;130.000;5.000;4.000;8.000;0.455;0.412
10;126.000;3.000;3.000;11.000;0.300;0.256
11;131.000;2.000;7.000;7.000;0.222;0.171
12;132.000;4.000;5.000;6.000;0.421;0.381
13;131.000;3.000;6.000;7.000;0.316;0.269
14;133.000;5.000;4.000;5.000;0.526;0.494
15;124.000;3.000;3.000;13.000;0.273;0.225
16;130.000;4.000;5.000;8.000;0.381;0.334
17;124.000;4.000;5.000;14.000;0.296;0.234
18;127.000;4.000;5.000;11.000;0.333;0.278
19;133.000;4.000;5.000;5.000;0.444;0.408
20;126.000;3.000;3.000;11.000;0.300;0.256
21;128.000;2.000;7.000;10.000;0.190;0.130
22;133.000;3.000;6.000;5.000;0.353;0.313
23;132.000;4.000;5.000;6.000;0.421;0.381
24;128.000;6.000;3.000;10.000;0.480;0.436
25;132.000;3.000;3.000;5.000;0.429;0.400
max;135.000;7.000;7.000;14.000;0.609;0.577
avg;129.960;3.760;4.640;7.840;0.376;0.333
min;124.000;2.000;2.000;3.000;0.190;0.130
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;135.000;3.000;6.000;3.000;0.400;0.369
2;136.000;2.000;7.000;2.000;0.308;0.281
3;134.000;3.000;6.000;4.000;0.375;0.340
4;136.000;3.000;6.000;2.000;0.429;0.402
5;137.000;1.000;5.000;0.000;0.286;0.277
6;137.000;1.000;8.000;1.000;0.182;0.163
7;138.000;2.000;7.000;0.000;0.364;0.349
8;134.000;1.000;8.000;4.000;0.143;0.104
9;136.000;4.000;5.000;2.000;0.533;0.509
10;134.000;3.000;3.000;3.000;0.500;0.478
11;135.000;1.000;8.000;3.000;0.154;0.121
12;137.000;0.000;9.000;1.000;0.000;-0.012
13;134.000;2.000;7.000;4.000;0.267;0.229
14;138.000;4.000;5.000;0.000;0.615;0.600
15;135.000;2.000;4.000;2.000;0.400;0.379
16;137.000;3.000;6.000;1.000;0.462;0.440
17;138.000;3.000;6.000;0.000;0.500;0.484
18;138.000;2.000;7.000;0.000;0.364;0.349
19;137.000;1.000;8.000;1.000;0.182;0.163
20;134.000;2.000;4.000;3.000;0.364;0.338
21;134.000;1.000;8.000;4.000;0.143;0.104
22;137.000;2.000;7.000;1.000;0.333;0.312
23;135.000;2.000;7.000;3.000;0.286;0.253
24;138.000;3.000;6.000;0.000;0.500;0.484
25;137.000;2.000;4.000;0.000;0.500;0.489
max;138.000;4.000;9.000;4.000;0.615;0.600
avg;136.040;2.120;6.280;1.760;0.343;0.320
min;134.000;0.000;3.000;0.000;0.000;-0.012
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;137.000;2.000;7.000;1.000;0.333;0.312
2;134.000;2.000;7.000;4.000;0.267;0.229
3;138.000;2.000;7.000;0.000;0.364;0.349
4;138.000;4.000;5.000;0.000;0.615;0.600
