LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;380.000;12.000;0.000;76.000;0.240;0.204;0.439
2;393.000;10.000;2.000;63.000;0.235;0.200;0.586
3;409.000;8.000;4.000;47.000;0.239;0.205;0.268
4;363.000;11.000;1.000;93.000;0.190;0.151;0.395
5;361.000;7.000;3.000;95.000;0.125;0.089;0.224
6;403.000;10.000;2.000;53.000;0.267;0.234;0.557
7;358.000;10.000;2.000;98.000;0.167;0.126;0.306
8;381.000;10.000;2.000;75.000;0.206;0.169;0.172
9;379.000;10.000;2.000;77.000;0.202;0.164;0.430
10;382.000;8.000;2.000;74.000;0.174;0.141;0.403
11;397.000;10.000;2.000;59.000;0.247;0.213;0.480
12;379.000;8.000;4.000;77.000;0.165;0.126;0.265
13;373.000;10.000;2.000;83.000;0.190;0.152;0.470
14;364.000;7.000;5.000;92.000;0.126;0.084;0.212
15;349.000;9.000;1.000;107.000;0.143;0.108;0.482
16;385.000;11.000;1.000;71.000;0.234;0.198;0.561
17;359.000;12.000;0.000;97.000;0.198;0.160;0.409
18;366.000;9.000;3.000;90.000;0.162;0.122;0.365
19;380.000;12.000;0.000;76.000;0.240;0.204;0.330
20;404.000;7.000;3.000;52.000;0.203;0.173;0.236
21;386.000;10.000;2.000;70.000;0.217;0.181;0.352
22;369.000;9.000;3.000;87.000;0.167;0.127;0.145
23;381.000;10.000;2.000;75.000;0.206;0.169;0.389
24;383.000;9.000;3.000;73.000;0.191;0.154;0.599
25;408.000;9.000;1.000;48.000;0.269;0.241;0.450
max;409.000;12.000;5.000;107.000;0.269;0.241;0.599
avg;379.680;9.520;2.080;76.320;0.200;0.164;0.381
min;349.000;7.000;0.000;47.000;0.125;0.084;0.145
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;441.000;4.000;8.000;15.000;0.258;0.234
2;446.000;4.000;8.000;10.000;0.308;0.288
3;448.000;4.000;8.000;8.000;0.333;0.316
4;445.000;5.000;7.000;11.000;0.357;0.338
5;448.000;1.000;9.000;8.000;0.105;0.087
6;444.000;8.000;4.000;12.000;0.500;0.483
7;446.000;3.000;9.000;10.000;0.240;0.219
8;443.000;5.000;7.000;13.000;0.333;0.312
9;443.000;6.000;6.000;13.000;0.387;0.367
10;442.000;5.000;5.000;14.000;0.345;0.326
11;448.000;5.000;7.000;8.000;0.400;0.384
12;439.000;4.000;8.000;17.000;0.242;0.217
13;445.000;7.000;5.000;11.000;0.467;0.450
14;449.000;1.000;11.000;7.000;0.100;0.081
15;449.000;5.000;5.000;7.000;0.455;0.441
16;442.000;7.000;5.000;14.000;0.424;0.405
17;446.000;5.000;7.000;10.000;0.370;0.352
18;449.000;3.000;9.000;7.000;0.273;0.255
19;444.000;1.000;11.000;12.000;0.080;0.055
20;446.000;5.000;5.000;10.000;0.400;0.384
21;444.000;4.000;8.000;12.000;0.286;0.264
22;444.000;3.000;9.000;12.000;0.222;0.199
23;448.000;7.000;5.000;8.000;0.519;0.504
24;446.000;5.000;7.000;10.000;0.370;0.352
25;449.000;5.000;5.000;7.000;0.455;0.441
max;449.000;8.000;11.000;17.000;0.519;0.504
avg;445.360;4.480;7.120;10.640;0.329;0.310
min;439.000;1.000;4.000;7.000;0.080;0.055
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;456.000;2.000;10.000;0.000;0.286;0.280
2;455.000;2.000;10.000;1.000;0.267;0.259
3;454.000;1.000;11.000;2.000;0.133;0.124
4;456.000;2.000;10.000;0.000;0.286;0.280
5;455.000;0.000;10.000;1.000;0.000;-0.004
6;454.000;0.000;12.000;2.000;0.000;-0.007
7;456.000;1.000;11.000;0.000;0.154;0.150
8;456.000;1.000;11.000;0.000;0.154;0.150
9;455.000;3.000;9.000;1.000;0.375;0.367
10;455.000;2.000;8.000;1.000;0.308;0.301
11;456.000;3.000;9.000;0.000;0.400;0.394
12;455.000;1.000;11.000;1.000;0.143;0.137
13;454.000;2.000;10.000;2.000;0.250;0.240
14;454.000;0.000;12.000;2.000;0.000;-0.007
15;456.000;1.000;9.000;0.000;0.182;0.179
16;456.000;2.000;10.000;0.000;0.286;0.280
17;456.000;1.000;11.000;0.000;0.154;0.150
18;455.000;0.000;12.000;1.000;0.000;-0.004
19;455.000;1.000;11.000;1.000;0.143;0.137
20;454.000;2.000;8.000;2.000;0.286;0.277
21;456.000;2.000;10.000;0.000;0.286;0.280
22;455.000;1.000;11.000;1.000;0.143;0.137
23;456.000;3.000;9.000;0.000;0.400;0.394
24;455.000;4.000;8.000;1.000;0.471;0.462
25;454.000;0.000;10.000;2.000;0.000;-0.007
max;456.000;4.000;12.000;2.000;0.471;0.462
avg;455.160;1.480;10.120;0.840;0.204;0.198
min;454.000;0.000;8.000;0.000;0.000;-0.007
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;451.000;5.000;7.000;5.000;0.455;0.442
2;452.000;6.000;6.000;4.000;0.545;0.535
3;454.000;0.000;12.000;2.000;0.000;-0.007
4;450.000;6.000;6.000;6.000;0.500;0.487
5;451.000;2.000;8.000;5.000;0.235;0.222
6;453.000;2.000;10.000;3.000;0.235;0.224
7;448.000;3.000;9.000;8.000;0.261;0.242
8;454.000;2.000;10.000;2.000;0.250;0.240
9;455.000;1.000;11.000;1.000;0.143;0.137
10;446.000;5.000;5.000;10.000;0.400;0.384
11;451.000;3.000;9.000;5.000;0.300;0.285
12;454.000;2.000;10.000;2.000;0.250;0.240
13;454.000;3.000;9.000;2.000;0.353;0.343
14;453.000;0.000;12.000;3.000;0.000;-0.010
15;446.000;4.000;6.000;10.000;0.333;0.316
16;450.000;5.000;7.000;6.000;0.435;0.421
17;449.000;1.000;11.000;7.000;0.100;0.081
18;454.000;3.000;9.000;2.000;0.353;0.343
19;449.000;2.000;10.000;7.000;0.190;0.172
20;451.000;2.000;8.000;5.000;0.235;0.222
21;455.000;1.000;11.000;1.000;0.143;0.137
22;449.000;2.000;10.000;7.000;0.190;0.172
23;452.000;2.000;10.000;4.000;0.222;0.209
24;455.000;6.000;6.000;1.000;0.632;0.624
25;452.000;2.000;8.000;4.000;0.250;0.238
max;455.000;6.000;12.000;10.000;0.632;0.624
avg;451.520;2.800;8.800;4.480;0.280;0.268
min;446.000;0.000;5.000;1.000;0.000;-0.010
