LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;295.000;13.000;0.000;38.000;0.406;0.368;0.335
2;314.000;7.000;6.000;19.000;0.359;0.325;0.274
3;302.000;12.000;1.000;31.000;0.429;0.394;0.397
4;283.000;13.000;0.000;50.000;0.342;0.298;0.392
5;302.000;10.000;3.000;29.000;0.385;0.348;0.403
6;279.000;13.000;0.000;54.000;0.325;0.280;0.259
7;305.000;8.000;5.000;28.000;0.327;0.287;0.274
8;311.000;9.000;4.000;22.000;0.409;0.376;0.355
9;317.000;7.000;6.000;16.000;0.389;0.358;0.357
10;318.000;9.000;4.000;13.000;0.514;0.490;0.434
11;286.000;13.000;0.000;47.000;0.356;0.314;0.312
12;291.000;13.000;0.000;42.000;0.382;0.342;0.397
13;297.000;11.000;2.000;36.000;0.367;0.327;0.327
14;294.000;12.000;1.000;39.000;0.375;0.335;0.332
15;317.000;5.000;8.000;14.000;0.312;0.280;0.370
16;318.000;8.000;5.000;15.000;0.444;0.416;0.355
17;303.000;12.000;1.000;30.000;0.436;0.402;0.506
18;272.000;13.000;0.000;61.000;0.299;0.251;0.316
19;313.000;10.000;3.000;20.000;0.465;0.436;0.288
20;284.000;13.000;0.000;47.000;0.356;0.314;0.335
21;276.000;13.000;0.000;57.000;0.313;0.267;0.261
22;281.000;13.000;0.000;52.000;0.333;0.289;0.331
23;307.000;10.000;3.000;26.000;0.408;0.374;0.361
24;314.000;5.000;8.000;19.000;0.270;0.233;0.289
25;311.000;10.000;3.000;20.000;0.465;0.435;0.447
max;318.000;13.000;8.000;61.000;0.514;0.490;0.506
avg;299.600;10.480;2.520;33.000;0.379;0.342;0.348
min;272.000;5.000;0.000;13.000;0.270;0.233;0.259
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;11.000;2.000;0.000;0.917;0.914
3;333.000;11.000;2.000;0.000;0.917;0.914
4;333.000;12.000;1.000;0.000;0.960;0.959
5;331.000;11.000;2.000;0.000;0.917;0.914
6;333.000;12.000;1.000;0.000;0.960;0.959
7;333.000;13.000;0.000;0.000;1.000;1.000
8;333.000;12.000;1.000;0.000;0.960;0.959
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;12.000;1.000;0.000;0.960;0.958
11;332.000;10.000;3.000;1.000;0.833;0.827
12;333.000;11.000;2.000;0.000;0.917;0.914
13;333.000;12.000;1.000;0.000;0.960;0.959
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;11.000;2.000;0.000;0.917;0.914
16;333.000;13.000;0.000;0.000;1.000;1.000
17;333.000;12.000;1.000;0.000;0.960;0.959
18;333.000;13.000;0.000;0.000;1.000;1.000
19;333.000;11.000;2.000;0.000;0.917;0.914
20;331.000;11.000;2.000;0.000;0.917;0.914
21;333.000;10.000;3.000;0.000;0.870;0.865
22;333.000;10.000;3.000;0.000;0.870;0.865
23;333.000;12.000;1.000;0.000;0.960;0.959
24;333.000;12.000;1.000;0.000;0.960;0.959
25;331.000;12.000;1.000;0.000;0.960;0.958
max;333.000;13.000;3.000;1.000;1.000;1.000
avg;332.560;11.680;1.320;0.040;0.944;0.942
min;331.000;10.000;0.000;0.000;0.833;0.827
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;13.000;0.000;0.000;1.000;1.000
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;13.000;0.000;0.000;1.000;1.000
5;329.000;13.000;0.000;2.000;0.929;0.926
6;333.000;13.000;0.000;0.000;1.000;1.000
7;332.000;13.000;0.000;1.000;0.963;0.961
8;332.000;12.000;1.000;1.000;0.923;0.920
9;333.000;11.000;2.000;0.000;0.917;0.914
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;12.000;1.000;0.000;0.960;0.959
12;333.000;13.000;0.000;0.000;1.000;1.000
13;331.000;13.000;0.000;2.000;0.929;0.926
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;12.000;1.000;0.000;0.960;0.958
16;333.000;13.000;0.000;0.000;1.000;1.000
17;332.000;13.000;0.000;1.000;0.963;0.961
18;333.000;13.000;0.000;0.000;1.000;1.000
19;332.000;13.000;0.000;1.000;0.963;0.961
20;331.000;13.000;0.000;0.000;1.000;1.000
21;333.000;13.000;0.000;0.000;1.000;1.000
22;333.000;13.000;0.000;0.000;1.000;1.000
23;333.000;13.000;0.000;0.000;1.000;1.000
24;333.000;12.000;1.000;0.000;0.960;0.959
25;329.000;13.000;0.000;2.000;0.929;0.926
max;333.000;13.000;2.000;2.000;1.000;1.000
avg;332.200;12.720;0.280;0.400;0.974;0.973
min;329.000;11.000;0.000;0.000;0.917;0.914
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;322.000;13.000;0.000;11.000;0.703;0.687
2;312.000;13.000;0.000;21.000;0.553;0.528
3;313.000;13.000;0.000;20.000;0.565;0.540
4;320.000;13.000;0.000;13.000;0.667;0.649
5;318.000;13.000;0.000;13.000;0.667;0.649
6;310.000;13.000;0.000;23.000;0.531;0.503
7;313.000;10.000;3.000;20.000;0.465;0.436
8;319.000;13.000;0.000;14.000;0.650;0.631
9;322.000;13.000;0.000;11.000;0.703;0.687
10;326.000;7.000;6.000;5.000;0.560;0.543
11;320.000;12.000;1.000;13.000;0.632;0.612
12;318.000;12.000;1.000;15.000;0.600;0.579
13;307.000;13.000;0.000;26.000;0.500;0.470
14;318.000;11.000;2.000;15.000;0.564;0.541
15;320.000;13.000;0.000;11.000;0.703;0.687
16;315.000;12.000;1.000;18.000;0.558;0.534
17;316.000;13.000;0.000;17.000;0.605;0.583
18;328.000;13.000;0.000;5.000;0.839;0.831
19;318.000;13.000;0.000;15.000;0.634;0.614
20;312.000;12.000;1.000;19.000;0.545;0.520
21;317.000;12.000;1.000;16.000;0.585;0.563
22;323.000;13.000;0.000;10.000;0.722;0.708
23;316.000;13.000;0.000;17.000;0.605;0.583
24;317.000;13.000;0.000;16.000;0.619;0.598
25;318.000;13.000;0.000;13.000;0.667;0.649
max;328.000;13.000;6.000;26.000;0.839;0.831
avg;317.520;12.360;0.640;15.080;0.618;0.597
min;307.000;7.000;0.000;5.000;0.465;0.436
