LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;164.000;9.000;5.000;168.000;0.094;0.021;0.063
2;185.000;12.000;2.000;147.000;0.139;0.070;0.080
3;167.000;10.000;4.000;165.000;0.106;0.033;0.056
4;173.000;11.000;3.000;159.000;0.120;0.048;0.075
5;173.000;8.000;5.000;158.000;0.089;0.021;0.054
6;156.000;10.000;4.000;176.000;0.100;0.027;0.069
7;177.000;12.000;2.000;155.000;0.133;0.063;0.075
8;183.000;10.000;4.000;149.000;0.116;0.045;0.080
9;184.000;6.000;8.000;148.000;0.071;-0.003;0.048
10;182.000;8.000;5.000;149.000;0.094;0.026;0.073
11;166.000;12.000;2.000;166.000;0.125;0.054;0.079
12;182.000;11.000;3.000;150.000;0.126;0.055;0.063
13;170.000;9.000;5.000;162.000;0.097;0.024;0.055
14;171.000;12.000;2.000;161.000;0.128;0.058;0.085
15;170.000;8.000;5.000;161.000;0.088;0.019;0.065
16;174.000;11.000;3.000;158.000;0.120;0.049;0.066
17;164.000;9.000;5.000;168.000;0.094;0.021;0.063
18;167.000;12.000;2.000;165.000;0.126;0.055;0.066
19;190.000;8.000;6.000;142.000;0.098;0.025;0.056
20;179.000;10.000;3.000;152.000;0.114;0.048;0.073
21;171.000;7.000;7.000;161.000;0.077;0.002;0.054
22;183.000;10.000;4.000;149.000;0.116;0.045;0.073
23;160.000;13.000;1.000;172.000;0.131;0.060;0.067
24;170.000;11.000;3.000;162.000;0.118;0.046;0.077
25;172.000;10.000;3.000;159.000;0.110;0.043;0.064
max;190.000;13.000;8.000;176.000;0.139;0.070;0.085
avg;173.320;9.960;3.840;158.480;0.109;0.038;0.067
min;156.000;6.000;1.000;142.000;0.071;-0.003;0.048
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;12.000;2.000;0.000;0.923;0.920
2;332.000;12.000;2.000;0.000;0.923;0.920
3;332.000;10.000;4.000;0.000;0.833;0.828
4;332.000;6.000;8.000;0.000;0.600;0.590
5;331.000;10.000;3.000;0.000;0.870;0.865
6;332.000;10.000;4.000;0.000;0.833;0.828
7;332.000;10.000;4.000;0.000;0.833;0.828
8;332.000;9.000;5.000;0.000;0.783;0.775
9;331.000;9.000;5.000;1.000;0.750;0.741
10;331.000;5.000;8.000;0.000;0.556;0.546
11;332.000;8.000;6.000;0.000;0.727;0.719
12;331.000;10.000;4.000;1.000;0.800;0.793
13;331.000;10.000;4.000;1.000;0.800;0.793
14;331.000;9.000;5.000;1.000;0.750;0.741
15;331.000;10.000;3.000;0.000;0.870;0.865
16;331.000;12.000;2.000;1.000;0.889;0.884
17;332.000;9.000;5.000;0.000;0.783;0.775
18;331.000;11.000;3.000;1.000;0.846;0.840
19;332.000;10.000;4.000;0.000;0.833;0.828
20;330.000;9.000;4.000;1.000;0.783;0.775
21;332.000;12.000;2.000;0.000;0.923;0.920
22;332.000;9.000;5.000;0.000;0.783;0.775
23;330.000;10.000;4.000;2.000;0.769;0.760
24;332.000;10.000;4.000;0.000;0.833;0.828
25;331.000;9.000;4.000;0.000;0.818;0.812
max;332.000;12.000;8.000;2.000;0.923;0.920
avg;331.440;9.640;4.160;0.360;0.804;0.798
min;330.000;5.000;2.000;0.000;0.556;0.546
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;329.000;12.000;2.000;3.000;0.828;0.820
2;332.000;14.000;0.000;0.000;1.000;1.000
3;331.000;12.000;2.000;1.000;0.889;0.884
4;331.000;11.000;3.000;1.000;0.846;0.840
5;328.000;10.000;3.000;3.000;0.769;0.760
