LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;188.000;2.000;7.000;17.000;0.143;0.091;0.120
2;196.000;6.000;3.000;9.000;0.500;0.472;0.424
3;179.000;7.000;2.000;26.000;0.333;0.286;0.285
4;185.000;9.000;0.000;20.000;0.474;0.438;0.642
5;183.000;4.000;3.000;20.000;0.258;0.218;0.177
6;185.000;7.000;2.000;20.000;0.389;0.348;0.427
7;193.000;4.000;5.000;12.000;0.320;0.281;0.275
8;177.000;7.000;2.000;28.000;0.318;0.269;0.282
9;200.000;3.000;6.000;5.000;0.353;0.326;0.242
10;173.000;7.000;0.000;30.000;0.318;0.278;0.389
11;182.000;8.000;1.000;23.000;0.400;0.358;0.620
12;176.000;6.000;3.000;29.000;0.273;0.221;0.249
13;182.000;7.000;2.000;23.000;0.359;0.315;0.297
14;188.000;5.000;4.000;17.000;0.323;0.280;0.308
15;169.000;5.000;2.000;34.000;0.217;0.171;0.242
16;175.000;5.000;4.000;30.000;0.227;0.172;0.164
17;197.000;6.000;3.000;8.000;0.522;0.496;0.531
18;194.000;3.000;6.000;11.000;0.261;0.221;0.214
19;186.000;6.000;3.000;19.000;0.353;0.310;0.381
20;194.000;6.000;1.000;9.000;0.545;0.524;0.624
21;182.000;5.000;4.000;23.000;0.270;0.221;0.214
22;186.000;6.000;3.000;19.000;0.353;0.310;0.327
23;184.000;9.000;0.000;21.000;0.462;0.424;0.427
24;188.000;4.000;5.000;17.000;0.267;0.221;0.275
25;182.000;5.000;2.000;21.000;0.303;0.264;0.283
max;200.000;9.000;7.000;34.000;0.545;0.524;0.642
avg;184.960;5.680;2.920;19.640;0.342;0.301;0.337
min;169.000;2.000;0.000;5.000;0.143;0.091;0.120
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;197.000;1.000;8.000;8.000;0.111;0.072
2;201.000;2.000;7.000;4.000;0.267;0.241
3;203.000;0.000;9.000;2.000;0.000;-0.016
4;204.000;0.000;9.000;1.000;0.000;-0.008
5;199.000;0.000;7.000;4.000;0.000;-0.025
6;202.000;2.000;7.000;3.000;0.286;0.264
7;202.000;0.000;9.000;3.000;0.000;-0.021
8;203.000;1.000;8.000;2.000;0.167;0.149
9;202.000;2.000;7.000;3.000;0.286;0.264
10;202.000;1.000;6.000;1.000;0.222;0.211
11;204.000;0.000;9.000;1.000;0.000;-0.008
12;198.000;2.000;7.000;7.000;0.222;0.188
13;203.000;0.000;9.000;2.000;0.000;-0.016
14;204.000;0.000;9.000;1.000;0.000;-0.008
15;198.000;0.000;7.000;5.000;0.000;-0.029
16;198.000;0.000;9.000;7.000;0.000;-0.038
17;202.000;0.000;9.000;3.000;0.000;-0.021
18;204.000;2.000;7.000;1.000;0.333;0.319
19;203.000;0.000;9.000;2.000;0.000;-0.016
20;201.000;0.000;7.000;2.000;0.000;-0.015
21;204.000;1.000;8.000;1.000;0.182;0.169
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;1.000;8.000;0.000;0.200;0.193
24;202.000;0.000;9.000;3.000;0.000;-0.021
25;197.000;0.000;7.000;6.000;0.000;-0.032
max;205.000;2.000;9.000;8.000;0.333;0.319
avg;201.680;0.600;8.000;2.920;0.091;0.071
min;197.000;0.000;6.000;0.000;0.000;-0.038
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;200.000;1.000;8.000;5.000;0.133;0.103
2;203.000;2.000;7.000;2.000;0.308;0.289
3;204.000;1.000;8.000;1.000;0.182;0.169
4;204.000;2.000;7.000;1.000;0.333;0.319
5;200.000;1.000;6.000;3.000;0.182;0.161
6;200.000;2.000;7.000;5.000;0.250;0.221
7;203.000;1.000;8.000;2.000;0.167;0.149
8;204.000;1.000;8.000;1.000;0.182;0.169
9;204.000;1.000;8.000;1.000;0.182;0.169
10;201.000;1.000;6.000;2.000;0.200;0.184
11;205.000;0.000;9.000;0.000;0.000;0.000
12;197.000;4.000;5.000;8.000;0.381;0.350
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;205.000;0.000;9.000;0.000;0.000;0.000
15;199.000;1.000;6.000;4.000;0.167;0.143
16;201.000;0.000;9.000;4.000;0.000;-0.027
17;205.000;0.000;9.000;0.000;0.000;0.000
18;203.000;1.000;8.000;2.000;0.167;0.149
19;201.000;2.000;7.000;4.000;0.267;0.241
20;202.000;0.000;7.000;1.000;0.000;-0.008
21;202.000;1.000;8.000;3.000;0.154;0.131
22;205.000;2.000;7.000;0.000;0.364;0.354
23;205.000;2.000;7.000;0.000;0.364;0.354
24;202.000;0.000;9.000;3.000;0.000;-0.021
25;199.000;1.000;6.000;4.000;0.167;0.143
max;205.000;4.000;9.000;8.000;0.381;0.354
avg;202.320;1.080;7.520;2.280;0.166;0.149
min;197.000;0.000;5.000;0.000;0.000;-0.027
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;177.000;4.000;5.000;28.000;0.195;0.139
2;188.000;6.000;3.000;17.000;0.375;0.335
3;183.000;5.000;4.000;22.000;0.278;0.229
4;193.000;5.000;4.000;12.000;0.385;0.349
5;185.000;3.000;4.000;18.000;0.214;0.173
6;188.000;6.000;3.000;17.000;0.375;0.335
7;193.000;2.000;7.000;12.000;0.174;0.129
8;186.000;4.000;5.000;19.000;0.250;0.202
9;192.000;4.000;5.000;13.000;0.308;0.267
10;179.000;5.000;2.000;24.000;0.278;0.237
11;193.000;6.000;3.000;12.000;0.444;0.411
12;179.000;4.000;5.000;26.000;0.205;0.150
13;186.000;7.000;2.000;19.000;0.400;0.360
14;190.000;6.000;3.000;15.000;0.400;0.362
15;187.000;2.000;5.000;16.000;0.160;0.118
16;188.000;2.000;7.000;17.000;0.143;0.091
17;189.000;2.000;7.000;16.000;0.148;0.098
18;190.000;2.000;7.000;15.000;0.154;0.105
19;192.000;4.000;5.000;13.000;0.308;0.267
20;185.000;4.000;3.000;18.000;0.276;0.237
21;186.000;6.000;3.000;19.000;0.353;0.310
22;191.000;4.000;5.000;14.000;0.296;0.254
