LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;559.000;12.000;19.000;44.000;0.276;0.227;0.207
2;564.000;8.000;23.000;39.000;0.205;0.155;0.181
3;528.000;12.000;19.000;75.000;0.203;0.141;0.136
4;558.000;9.000;22.000;45.000;0.212;0.160;0.143
5;556.000;12.000;15.000;44.000;0.289;0.245;0.208
6;559.000;8.000;23.000;44.000;0.193;0.140;0.121
7;570.000;9.000;22.000;33.000;0.247;0.202;0.185
8;561.000;9.000;22.000;42.000;0.220;0.169;0.169
9;553.000;12.000;19.000;50.000;0.258;0.206;0.237
10;559.000;3.000;24.000;41.000;0.085;0.033;0.123
11;570.000;10.000;21.000;33.000;0.270;0.226;0.229
12;594.000;5.000;26.000;9.000;0.222;0.198;0.269
13;570.000;7.000;24.000;33.000;0.197;0.150;0.173
14;556.000;13.000;18.000;47.000;0.286;0.236;0.230
15;539.000;7.000;20.000;61.000;0.147;0.091;0.139
16;551.000;10.000;21.000;52.000;0.215;0.160;0.136
17;562.000;5.000;26.000;41.000;0.130;0.076;0.113
18;545.000;10.000;21.000;58.000;0.202;0.145;0.150
19;559.000;11.000;20.000;44.000;0.256;0.206;0.181
20;574.000;7.000;20.000;26.000;0.233;0.195;0.255
21;559.000;12.000;19.000;44.000;0.276;0.227;0.204
22;572.000;4.000;27.000;31.000;0.121;0.073;0.185
23;559.000;16.000;15.000;44.000;0.352;0.307;0.214
24;578.000;8.000;23.000;25.000;0.250;0.210;0.207
25;576.000;7.000;20.000;24.000;0.241;0.205;0.196
max;594.000;16.000;27.000;75.000;0.352;0.307;0.269
avg;561.240;9.040;21.160;41.160;0.223;0.175;0.184
min;528.000;3.000;15.000;9.000;0.085;0.033;0.113
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;599.000;22.000;9.000;4.000;0.772;0.761
2;595.000;21.000;10.000;8.000;0.700;0.685
3;600.000;26.000;5.000;3.000;0.867;0.860
4;603.000;18.000;13.000;0.000;0.735;0.725
5;597.000;19.000;8.000;3.000;0.776;0.766
6;597.000;20.000;11.000;6.000;0.702;0.688
7;596.000;24.000;7.000;7.000;0.774;0.763
8;601.000;20.000;11.000;2.000;0.755;0.744
9;600.000;25.000;6.000;3.000;0.847;0.840
10;598.000;21.000;6.000;2.000;0.840;0.833
11;602.000;17.000;14.000;1.000;0.694;0.682
12;595.000;26.000;5.000;8.000;0.800;0.789
13;599.000;23.000;8.000;4.000;0.793;0.783
14;597.000;22.000;9.000;6.000;0.746;0.733
15;598.000;21.000;6.000;2.000;0.840;0.833
16;597.000;22.000;9.000;6.000;0.746;0.733
17;600.000;22.000;9.000;3.000;0.786;0.776
18;602.000;23.000;8.000;1.000;0.836;0.829
19;601.000;25.000;6.000;2.000;0.862;0.855
20;597.000;18.000;9.000;3.000;0.750;0.740
21;599.000;20.000;11.000;4.000;0.727;0.715
22;602.000;22.000;9.000;1.000;0.815;0.807
23;601.000;20.000;11.000;2.000;0.755;0.744
24;600.000;25.000;6.000;3.000;0.847;0.840
25;594.000;18.000;9.000;6.000;0.706;0.693
max;603.000;26.000;14.000;8.000;0.867;0.860
avg;598.800;21.600;8.600;3.600;0.779;0.769
min;594.000;17.000;5.000;0.000;0.694;0.682
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;599.000;24.000;7.000;4.000;0.814;0.804
2;595.000;25.000;6.000;8.000;0.781;0.770
3;598.000;25.000;6.000;5.000;0.820;0.811
4;600.000;19.000;12.000;3.000;0.717;0.705
5;596.000;23.000;4.000;4.000;0.852;0.845
6;596.000;21.000;10.000;7.000;0.712;0.698
7;597.000;27.000;4.000;6.000;0.844;0.835
8;600.000;24.000;7.000;3.000;0.828;0.819
9;600.000;23.000;8.000;3.000;0.807;0.798
10;597.000;21.000;6.000;3.000;0.824;0.816
11;602.000;23.000;8.000;1.000;0.836;0.829
12;594.000;27.000;4.000;9.000;0.806;0.795
13;597.000;26.000;5.000;6.000;0.825;0.816
14;595.000;23.000;8.000;8.000;0.742;0.729
15;598.000;21.000;6.000;2.000;0.840;0.833
16;596.000;27.000;4.000;7.000;0.831;0.822
17;598.000;24.000;7.000;5.000;0.800;0.790
18;600.000;24.000;7.000;3.000;0.828;0.819
19;601.000;27.000;4.000;2.000;0.900;0.895
20;597.000;20.000;7.000;3.000;0.800;0.792
21;599.000;26.000;5.000;4.000;0.852;0.845
22;603.000;25.000;6.000;0.000;0.893;0.888
23;598.000;21.000;10.000;5.000;0.737;0.725
24;597.000;26.000;5.000;6.000;0.825;0.816
25;594.000;18.000;9.000;6.000;0.706;0.693
max;603.000;27.000;12.000;9.000;0.900;0.895
avg;597.880;23.600;6.600;4.520;0.809;0.800
min;594.000;18.000;4.000;0.000;0.706;0.693
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;587.000;21.000;10.000;16.000;0.618;0.596
2;580.000;25.000;6.000;23.000;0.633;0.610
3;591.000;16.000;15.000;12.000;0.542;0.520
4;592.000;17.000;14.000;11.000;0.576;0.556
5;582.000;17.000;10.000;18.000;0.548;0.525
6;589.000;16.000;15.000;14.000;0.525;0.501
7;589.000;23.000;8.000;14.000;0.676;0.658
8;593.000;18.000;13.000;10.000;0.610;0.591
9;592.000;21.000;10.000;11.000;0.667;0.649
10;584.000;17.000;10.000;16.000;0.567;0.545
11;598.000;16.000;15.000;5.000;0.615;0.600
12;580.000;17.000;14.000;23.000;0.479;0.448
13;586.000;21.000;10.000;17.000;0.609;0.586
14;589.000;20.000;11.000;14.000;0.615;0.595
15;587.000;17.000;10.000;13.000;0.596;0.577
16;586.000;21.000;10.000;17.000;0.609;0.586
17;590.000;21.000;10.000;13.000;0.646;0.627
18;594.000;21.000;10.000;9.000;0.689;0.673
19;590.000;19.000;12.000;13.000;0.603;0.582
20;587.000;17.000;10.000;13.000;0.596;0.577
21;589.000;22.000;9.000;14.000;0.657;0.638
22;588.000;17.000;14.000;15.000;0.540;0.516
23;585.000;22.000;9.000;18.000;0.620;0.598
24;594.000;21.000;10.000;9.000;0.689;0.673
25;588.000;13.000;14.000;12.000;0.500;0.478
max;598.000;25.000;15.000;23.000;0.689;0.673
avg;588.400;19.040;11.160;14.000;0.601;0.580
min;580.000;13.000;6.000;5.000;0.479;0.448
