LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;562.000;17.000;0.000;9.000;0.791;0.783;1.000
2;567.000;17.000;0.000;4.000;0.895;0.891;0.997
3;566.000;17.000;0.000;5.000;0.872;0.867;1.000
4;565.000;17.000;0.000;6.000;0.850;0.845;0.997
5;566.000;13.000;0.000;4.000;0.867;0.863;0.949
6;567.000;17.000;0.000;4.000;0.895;0.891;1.000
7;565.000;17.000;0.000;6.000;0.850;0.845;1.000
8;562.000;17.000;0.000;9.000;0.791;0.783;0.984
9;567.000;17.000;0.000;4.000;0.895;0.891;0.994
10;565.000;13.000;0.000;5.000;0.839;0.834;1.000
11;563.000;17.000;0.000;8.000;0.810;0.803;0.983
12;562.000;17.000;0.000;9.000;0.791;0.783;0.997
13;564.000;17.000;0.000;7.000;0.829;0.823;0.997
14;570.000;17.000;0.000;1.000;0.971;0.971;0.997
15;562.000;13.000;0.000;8.000;0.765;0.758;0.995
16;563.000;17.000;0.000;8.000;0.810;0.803;1.000
17;567.000;17.000;0.000;4.000;0.895;0.891;1.000
18;563.000;17.000;0.000;8.000;0.810;0.803;1.000
19;567.000;17.000;0.000;4.000;0.895;0.891;0.963
20;565.000;13.000;0.000;5.000;0.839;0.834;1.000
21;562.000;17.000;0.000;9.000;0.791;0.783;1.000
22;565.000;17.000;0.000;6.000;0.850;0.845;0.969
23;564.000;17.000;0.000;7.000;0.829;0.823;1.000
24;568.000;17.000;0.000;3.000;0.919;0.916;1.000
25;566.000;13.000;0.000;4.000;0.867;0.863;1.000
max;570.000;17.000;0.000;9.000;0.971;0.971;1.000
avg;564.920;16.200;0.000;5.880;0.848;0.843;0.993
min;562.000;13.000;0.000;1.000;0.765;0.758;0.949
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;571.000;17.000;0.000;0.000;1.000;1.000
2;571.000;17.000;0.000;0.000;1.000;1.000
3;571.000;17.000;0.000;0.000;1.000;1.000
4;571.000;17.000;0.000;0.000;1.000;1.000
5;569.000;13.000;0.000;1.000;0.963;0.962
6;571.000;17.000;0.000;0.000;1.000;1.000
7;571.000;17.000;0.000;0.000;1.000;1.000
8;571.000;17.000;0.000;0.000;1.000;1.000
9;570.000;17.000;0.000;1.000;0.971;0.971
10;570.000;13.000;0.000;0.000;1.000;1.000
11;571.000;17.000;0.000;0.000;1.000;1.000
12;571.000;17.000;0.000;0.000;1.000;1.000
13;571.000;17.000;0.000;0.000;1.000;1.000
14;571.000;17.000;0.000;0.000;1.000;1.000
15;570.000;13.000;0.000;0.000;1.000;1.000
16;571.000;17.000;0.000;0.000;1.000;1.000
17;571.000;17.000;0.000;0.000;1.000;1.000
18;571.000;17.000;0.000;0.000;1.000;1.000
19;569.000;17.000;0.000;2.000;0.944;0.943
20;570.000;13.000;0.000;0.000;1.000;1.000
21;571.000;17.000;0.000;0.000;1.000;1.000
22;571.000;17.000;0.000;0.000;1.000;1.000
23;571.000;17.000;0.000;0.000;1.000;1.000
24;571.000;17.000;0.000;0.000;1.000;1.000
25;570.000;13.000;0.000;0.000;1.000;1.000
max;571.000;17.000;0.000;2.000;1.000;1.000
avg;570.640;16.200;0.000;0.160;0.995;0.995
min;569.000;13.000;0.000;0.000;0.944;0.943
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;571.000;17.000;0.000;0.000;1.000;1.000
2;571.000;17.000;0.000;0.000;1.000;1.000
3;571.000;17.000;0.000;0.000;1.000;1.000
4;571.000;17.000;0.000;0.000;1.000;1.000
5;568.000;13.000;0.000;2.000;0.929;0.927
6;571.000;17.000;0.000;0.000;1.000;1.000
7;571.000;17.000;0.000;0.000;1.000;1.000
8;571.000;17.000;0.000;0.000;1.000;1.000
9;571.000;17.000;0.000;0.000;1.000;1.000
10;570.000;13.000;0.000;0.000;1.000;1.000
11;571.000;17.000;0.000;0.000;1.000;1.000
12;571.000;17.000;0.000;0.000;1.000;1.000
13;571.000;17.000;0.000;0.000;1.000;1.000
14;571.000;17.000;0.000;0.000;1.000;1.000
15;570.000;13.000;0.000;0.000;1.000;1.000
16;571.000;17.000;0.000;0.000;1.000;1.000
17;571.000;17.000;0.000;0.000;1.000;1.000
18;571.000;17.000;0.000;0.000;1.000;1.000
19;569.000;17.000;0.000;2.000;0.944;0.943
20;570.000;13.000;0.000;0.000;1.000;1.000
21;571.000;17.000;0.000;0.000;1.000;1.000
22;571.000;17.000;0.000;0.000;1.000;1.000
23;571.000;17.000;0.000;0.000;1.000;1.000
24;571.000;17.000;0.000;0.000;1.000;1.000
25;570.000;13.000;0.000;0.000;1.000;1.000
max;571.000;17.000;0.000;2.000;1.000;1.000
avg;570.640;16.200;0.000;0.160;0.995;0.995
min;568.000;13.000;0.000;0.000;0.929;0.927
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;561.000;17.000;0.000;10.000;0.773;0.764
2;566.000;17.000;0.000;5.000;0.872;0.867
3;566.000;17.000;0.000;5.000;0.872;0.867
4;559.000;17.000;0.000;12.000;0.739;0.729
5;564.000;13.000;0.000;6.000;0.813;0.807
6;565.000;17.000;0.000;6.000;0.850;0.845
7;566.000;17.000;0.000;5.000;0.872;0.867
8;562.000;17.000;0.000;9.000;0.791;0.783
9;564.000;17.000;0.000;7.000;0.829;0.823
10;559.000;13.000;0.000;11.000;0.703;0.694
11;562.000;17.000;0.000;9.000;0.791;0.783
12;560.000;17.000;0.000;11.000;0.756;0.746
13;565.000;17.000;0.000;6.000;0.850;0.845
14;564.000;17.000;0.000;7.000;0.829;0.823
15;564.000;13.000;0.000;6.000;0.813;0.807
16;562.000;17.000;0.000;9.000;0.791;0.783
17;567.000;17.000;0.000;4.000;0.895;0.891
18;563.000;17.000;0.000;8.000;0.810;0.803
19;562.000;17.000;0.000;9.000;0.791;0.783
20;562.000;13.000;0.000;8.000;0.765;0.758
21;564.000;17.000;0.000;7.000;0.829;0.823
22;561.000;17.000;0.000;10.000;0.773;0.764
23;562.000;17.000;0.000;9.000;0.791;0.783
24;561.000;17.000;0.000;10.000;0.773;0.764
25;564.000;13.000;0.000;6.000;0.813;0.807
max;567.000;17.000;0.000;12.000;0.895;0.891
avg;563.000;16.200;0.000;7.800;0.807;0.801
min;559.000;13.000;0.000;4.000;0.703;0.694
