LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;556.000;18.000;3.000;4.000;0.837;0.831;0.864
2;543.000;19.000;2.000;17.000;0.667;0.651;0.896
3;556.000;18.000;3.000;4.000;0.837;0.831;0.922
4;534.000;19.000;2.000;26.000;0.576;0.554;0.838
5;556.000;20.000;1.000;0.000;0.976;0.975;0.963
6;516.000;20.000;1.000;44.000;0.471;0.440;0.899
7;530.000;21.000;0.000;30.000;0.583;0.561;0.846
8;541.000;21.000;0.000;19.000;0.689;0.673;0.918
9;553.000;17.000;4.000;7.000;0.756;0.746;0.848
10;536.000;19.000;2.000;20.000;0.633;0.615;0.884
11;553.000;19.000;2.000;7.000;0.809;0.801;0.905
12;550.000;19.000;2.000;10.000;0.760;0.749;0.887
13;528.000;19.000;2.000;32.000;0.528;0.502;0.738
14;549.000;19.000;2.000;11.000;0.745;0.734;0.910
15;554.000;19.000;2.000;2.000;0.905;0.901;0.961
16;548.000;19.000;2.000;12.000;0.731;0.719;0.918
17;521.000;21.000;0.000;39.000;0.519;0.491;0.943
18;558.000;13.000;8.000;2.000;0.722;0.714;0.714
19;556.000;20.000;1.000;4.000;0.889;0.884;0.981
20;555.000;17.000;4.000;1.000;0.872;0.867;0.921
21;548.000;21.000;0.000;12.000;0.778;0.768;0.968
22;540.000;17.000;4.000;20.000;0.586;0.566;0.843
23;556.000;17.000;4.000;4.000;0.810;0.802;0.891
24;556.000;18.000;3.000;4.000;0.837;0.831;0.852
25;551.000;20.000;1.000;5.000;0.870;0.864;0.950
max;558.000;21.000;8.000;44.000;0.976;0.975;0.981
avg;545.760;18.800;2.200;13.440;0.735;0.723;0.890
min;516.000;13.000;0.000;0.000;0.471;0.440;0.714
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;16.000;5.000;0.000;0.865;0.861
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;18.000;3.000;0.000;0.923;0.920
4;554.000;20.000;1.000;6.000;0.851;0.845
5;556.000;20.000;1.000;0.000;0.976;0.975
6;559.000;21.000;0.000;1.000;0.977;0.976
7;559.000;19.000;2.000;1.000;0.927;0.924
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;18.000;3.000;1.000;0.900;0.896
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;19.000;2.000;1.000;0.927;0.924
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;18.000;3.000;0.000;0.923;0.920
14;560.000;18.000;3.000;0.000;0.923;0.920
15;556.000;20.000;1.000;0.000;0.976;0.975
16;560.000;21.000;0.000;0.000;1.000;1.000
17;560.000;19.000;2.000;0.000;0.950;0.948
18;560.000;14.000;7.000;0.000;0.800;0.794
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;18.000;3.000;0.000;0.923;0.920
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;19.000;2.000;0.000;0.950;0.948
23;560.000;19.000;2.000;0.000;0.950;0.948
24;560.000;20.000;1.000;0.000;0.976;0.975
25;556.000;20.000;1.000;0.000;0.976;0.975
max;560.000;21.000;7.000;6.000;1.000;1.000
avg;558.720;19.000;2.000;0.480;0.938;0.936
min;554.000;14.000;0.000;0.000;0.800;0.794
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;17.000;4.000;0.000;0.895;0.891
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;18.000;3.000;0.000;0.923;0.920
4;552.000;20.000;1.000;8.000;0.816;0.808
5;556.000;20.000;1.000;0.000;0.976;0.975
