LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;182.000;9.000;2.000;128.000;0.122;0.062;0.133
2;179.000;8.000;3.000;131.000;0.107;0.046;0.103
3;167.000;9.000;2.000;143.000;0.110;0.050;0.100
4;212.000;5.000;6.000;98.000;0.088;0.027;0.133
5;212.000;5.000;4.000;94.000;0.093;0.042;0.185
6;175.000;10.000;1.000;135.000;0.128;0.069;0.150
7;192.000;7.000;4.000;118.000;0.103;0.043;0.093
8;167.000;10.000;1.000;143.000;0.122;0.062;0.152
9;196.000;6.000;5.000;114.000;0.092;0.031;0.262
10;196.000;5.000;4.000;110.000;0.081;0.029;0.051
11;212.000;6.000;5.000;98.000;0.104;0.045;0.121
12;200.000;8.000;3.000;110.000;0.124;0.065;0.234
13;176.000;8.000;3.000;134.000;0.105;0.044;0.082
14;178.000;9.000;2.000;132.000;0.118;0.059;0.098
15;203.000;7.000;2.000;103.000;0.118;0.068;0.088
16;150.000;11.000;0.000;160.000;0.121;0.060;0.310
17;190.000;7.000;4.000;120.000;0.101;0.041;0.133
18;214.000;6.000;5.000;96.000;0.106;0.047;0.066
19;211.000;9.000;2.000;99.000;0.151;0.095;0.105
20;179.000;5.000;4.000;127.000;0.071;0.018;0.096
21;195.000;7.000;4.000;115.000;0.105;0.045;0.068
22;186.000;7.000;4.000;124.000;0.099;0.038;0.103
23;157.000;11.000;0.000;153.000;0.126;0.066;0.208
24;183.000;7.000;4.000;127.000;0.097;0.035;0.205
25;228.000;6.000;3.000;78.000;0.129;0.082;0.138
max;228.000;11.000;6.000;160.000;0.151;0.095;0.310
avg;189.600;7.520;3.080;119.600;0.109;0.051;0.137
min;150.000;5.000;0.000;78.000;0.071;0.018;0.051
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;283.000;4.000;7.000;27.000;0.190;0.147
2;290.000;3.000;8.000;20.000;0.176;0.136
3;283.000;3.000;8.000;27.000;0.146;0.101
4;281.000;4.000;7.000;29.000;0.182;0.137
5;287.000;4.000;5.000;19.000;0.250;0.218
6;280.000;5.000;6.000;30.000;0.217;0.174
7;291.000;3.000;8.000;19.000;0.182;0.143
8;283.000;4.000;7.000;27.000;0.190;0.147
9;285.000;4.000;7.000;25.000;0.200;0.158
10;289.000;0.000;9.000;17.000;0.000;-0.039
11;296.000;2.000;9.000;14.000;0.148;0.112
12;292.000;6.000;5.000;18.000;0.343;0.310
13;285.000;3.000;8.000;25.000;0.154;0.110
14;287.000;4.000;7.000;23.000;0.211;0.170
15;286.000;2.000;7.000;20.000;0.129;0.092
16;295.000;2.000;9.000;15.000;0.143;0.106
17;290.000;5.000;6.000;20.000;0.278;0.242
18;287.000;2.000;9.000;23.000;0.111;0.067
19;292.000;4.000;7.000;18.000;0.242;0.206
20;273.000;2.000;7.000;33.000;0.091;0.048
21;283.000;1.000;10.000;27.000;0.051;0.002
22;290.000;6.000;5.000;20.000;0.324;0.290
23;273.000;3.000;8.000;37.000;0.118;0.068
24;284.000;1.000;10.000;26.000;0.053;0.004
25;289.000;3.000;6.000;17.000;0.207;0.174
max;296.000;6.000;10.000;37.000;0.343;0.310
avg;286.160;3.200;7.400;23.040;0.173;0.133
min;273.000;0.000;5.000;14.000;0.000;-0.039
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;1.000;10.000;23.000;0.057;0.011
2;287.000;1.000;10.000;23.000;0.057;0.011
3;288.000;3.000;8.000;22.000;0.167;0.125
4;278.000;2.000;9.000;32.000;0.089;0.039
5;280.000;2.000;7.000;26.000;0.108;0.068
