LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;211.000;10.000;1.000;76.000;0.206;0.151;0.293
2;212.000;10.000;1.000;75.000;0.208;0.153;0.307
3;237.000;10.000;1.000;50.000;0.282;0.234;0.228
4;227.000;6.000;5.000;60.000;0.156;0.099;0.128
5;224.000;6.000;1.000;61.000;0.162;0.124;0.273
6;240.000;10.000;1.000;47.000;0.294;0.248;0.259
7;230.000;9.000;2.000;57.000;0.234;0.182;0.420
8;231.000;7.000;4.000;56.000;0.189;0.135;0.353
9;231.000;9.000;2.000;56.000;0.237;0.185;0.239
10;240.000;6.000;1.000;45.000;0.207;0.172;0.430
11;232.000;11.000;0.000;55.000;0.286;0.237;0.335
12;225.000;9.000;2.000;62.000;0.220;0.166;0.334
13;234.000;8.000;3.000;53.000;0.222;0.170;0.206
14;228.000;10.000;1.000;59.000;0.250;0.199;0.416
15;234.000;5.000;2.000;51.000;0.159;0.121;0.375
16;245.000;8.000;3.000;42.000;0.262;0.215;0.405
17;233.000;9.000;2.000;54.000;0.243;0.192;0.263
18;247.000;9.000;2.000;40.000;0.300;0.255;0.222
19;236.000;8.000;3.000;51.000;0.229;0.177;0.278
20;234.000;6.000;1.000;51.000;0.188;0.151;0.441
21;240.000;9.000;2.000;47.000;0.269;0.221;0.226
22;233.000;10.000;1.000;54.000;0.267;0.217;0.454
23;228.000;8.000;3.000;59.000;0.205;0.151;0.366
24;212.000;10.000;1.000;75.000;0.208;0.153;0.458
25;253.000;4.000;3.000;32.000;0.186;0.152;0.178
max;253.000;11.000;5.000;76.000;0.300;0.255;0.458
avg;231.880;8.280;1.920;54.720;0.227;0.178;0.315
min;211.000;4.000;0.000;32.000;0.156;0.099;0.128
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;1.000;10.000;0.000;0.167;0.162
2;286.000;3.000;8.000;1.000;0.400;0.388
3;287.000;2.000;9.000;0.000;0.308;0.300
4;283.000;3.000;8.000;4.000;0.333;0.314
5;285.000;2.000;5.000;0.000;0.444;0.438
6;286.000;0.000;11.000;1.000;0.000;-0.006
7;285.000;5.000;6.000;2.000;0.556;0.542
8;285.000;2.000;9.000;2.000;0.267;0.252
9;286.000;2.000;9.000;1.000;0.286;0.274
10;284.000;1.000;6.000;1.000;0.222;0.214
11;286.000;1.000;10.000;1.000;0.154;0.144
12;286.000;2.000;9.000;1.000;0.286;0.274
13;283.000;2.000;9.000;4.000;0.235;0.215
14;286.000;4.000;7.000;1.000;0.500;0.488
15;285.000;2.000;5.000;0.000;0.444;0.438
16;287.000;3.000;8.000;0.000;0.429;0.419
17;286.000;3.000;8.000;1.000;0.400;0.388
18;283.000;2.000;9.000;4.000;0.235;0.215
19;286.000;3.000;8.000;1.000;0.400;0.388
20;285.000;4.000;3.000;0.000;0.727;0.722
21;284.000;0.000;11.000;3.000;0.000;-0.016
22;285.000;4.000;7.000;2.000;0.471;0.456
23;287.000;1.000;10.000;0.000;0.167;0.162
24;284.000;1.000;10.000;3.000;0.133;0.116
25;284.000;1.000;6.000;1.000;0.222;0.214
max;287.000;5.000;11.000;4.000;0.727;0.722
avg;285.240;2.160;8.040;1.360;0.311;0.300
min;283.000;0.000;3.000;0.000;0.000;-0.016
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;1.000;10.000;0.000;0.167;0.162
2;284.000;5.000;6.000;3.000;0.526;0.511
3;286.000;1.000;10.000;1.000;0.154;0.144
4;281.000;3.000;8.000;6.000;0.300;0.276
5;284.000;2.000;5.000;1.000;0.400;0.391
6;283.000;2.000;9.000;4.000;0.235;0.215
7;284.000;5.000;6.000;3.000;0.526;0.511
8;284.000;3.000;8.000;3.000;0.353;0.336
9;285.000;2.000;9.000;2.000;0.267;0.252
10;283.000;1.000;6.000;2.000;0.200;0.188
11;286.000;2.000;9.000;1.000;0.286;0.274
12;285.000;1.000;10.000;2.000;0.143;0.129
13;282.000;2.000;9.000;5.000;0.222;0.199
14;283.000;2.000;9.000;4.000;0.235;0.215
15;283.000;3.000;4.000;2.000;0.500;0.490
16;286.000;2.000;9.000;1.000;0.286;0.274
17;286.000;4.000;7.000;1.000;0.500;0.488
18;282.000;1.000;10.000;5.000;0.118;0.094
19;283.000;2.000;9.000;4.000;0.235;0.215
