LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;125.000;6.000;3.000;13.000;0.429;0.377;0.655
2;116.000;6.000;3.000;22.000;0.324;0.255;0.505
3;128.000;3.000;6.000;10.000;0.273;0.216;0.334
4;133.000;4.000;5.000;5.000;0.444;0.408;0.457
5;127.000;4.000;2.000;10.000;0.400;0.363;0.296
6;131.000;6.000;3.000;7.000;0.545;0.510;0.573
7;133.000;4.000;5.000;5.000;0.444;0.408;0.423
8;114.000;5.000;4.000;24.000;0.263;0.187;0.285
9;119.000;4.000;5.000;19.000;0.250;0.178;0.475
10;129.000;1.000;5.000;8.000;0.133;0.087;0.091
11;95.000;7.000;2.000;43.000;0.237;0.149;0.322
12;132.000;6.000;3.000;6.000;0.571;0.539;0.641
13;126.000;3.000;6.000;12.000;0.250;0.188;0.426
14;123.000;3.000;6.000;15.000;0.222;0.153;0.146
15;127.000;2.000;4.000;10.000;0.222;0.176;0.402
16;130.000;5.000;4.000;8.000;0.455;0.412;0.648
17;126.000;4.000;5.000;12.000;0.320;0.262;0.329
18;102.000;1.000;8.000;36.000;0.043;-0.061;0.084
19;137.000;3.000;6.000;1.000;0.462;0.440;0.686
20;123.000;4.000;2.000;14.000;0.333;0.289;0.304
21;129.000;4.000;5.000;9.000;0.364;0.314;0.305
22;123.000;3.000;6.000;15.000;0.222;0.153;0.283
23;127.000;4.000;5.000;11.000;0.333;0.278;0.351
24;128.000;8.000;1.000;10.000;0.593;0.556;0.731
25;131.000;3.000;3.000;6.000;0.400;0.368;0.638
max;137.000;8.000;8.000;43.000;0.593;0.556;0.731
avg;124.560;4.120;4.280;13.240;0.341;0.288;0.416
min;95.000;1.000;1.000;1.000;0.043;-0.061;0.084
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;134.000;5.000;4.000;4.000;0.556;0.527
2;134.000;3.000;6.000;4.000;0.375;0.340
3;132.000;4.000;5.000;6.000;0.421;0.381
4;136.000;3.000;6.000;2.000;0.429;0.402
5;132.000;2.000;4.000;5.000;0.308;0.275
6;135.000;3.000;6.000;3.000;0.400;0.369
7;134.000;4.000;5.000;4.000;0.471;0.438
8;132.000;3.000;6.000;6.000;0.333;0.290
9;133.000;4.000;5.000;5.000;0.444;0.408
10;130.000;3.000;3.000;7.000;0.375;0.340
11;131.000;3.000;6.000;7.000;0.316;0.269
12;136.000;4.000;5.000;2.000;0.533;0.509
13;132.000;3.000;6.000;6.000;0.333;0.290
14;134.000;5.000;4.000;4.000;0.556;0.527
15;130.000;2.000;4.000;7.000;0.267;0.228
16;135.000;3.000;6.000;3.000;0.400;0.369
17;127.000;5.000;4.000;11.000;0.400;0.349
18;131.000;3.000;6.000;7.000;0.316;0.269
19;136.000;2.000;7.000;2.000;0.308;0.281
20;127.000;3.000;3.000;10.000;0.316;0.274
21;133.000;2.000;7.000;5.000;0.250;0.208
22;130.000;3.000;6.000;8.000;0.300;0.249
23;133.000;3.000;6.000;5.000;0.353;0.313
24;133.000;4.000;5.000;5.000;0.444;0.408
25;137.000;3.000;3.000;0.000;0.667;0.657
max;137.000;5.000;7.000;11.000;0.667;0.657
avg;132.680;3.280;5.120;5.120;0.395;0.359
min;127.000;2.000;3.000;0.000;0.250;0.208
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;133.000;5.000;4.000;5.000;0.526;0.494
2;136.000;3.000;6.000;2.000;0.429;0.402
3;130.000;4.000;5.000;8.000;0.381;0.334
4;135.000;3.000;6.000;3.000;0.400;0.369
5;133.000;1.000;5.000;4.000;0.182;0.149
6;137.000;3.000;6.000;1.000;0.462;0.440
7;132.000;4.000;5.000;6.000;0.421;0.381
8;134.000;3.000;6.000;4.000;0.375;0.340
9;133.000;4.000;5.000;5.000;0.444;0.408
10;132.000;2.000;4.000;5.000;0.308;0.275
11;132.000;3.000;6.000;6.000;0.333;0.290
12;137.000;5.000;4.000;1.000;0.667;0.649
13;133.000;3.000;6.000;5.000;0.353;0.313
14;134.000;4.000;5.000;4.000;0.471;0.438
15;133.000;2.000;4.000;4.000;0.333;0.304
16;135.000;3.000;6.000;3.000;0.400;0.369
17;132.000;4.000;5.000;6.000;0.421;0.381
