LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;437.000;8.000;4.000;19.000;0.410;0.389;0.495
2;430.000;5.000;7.000;26.000;0.233;0.203;0.354
3;438.000;2.000;10.000;18.000;0.125;0.096;0.091
4;413.000;5.000;7.000;43.000;0.167;0.131;0.234
5;409.000;6.000;4.000;47.000;0.190;0.160;0.141
6;403.000;9.000;3.000;53.000;0.243;0.209;0.346
7;436.000;3.000;9.000;20.000;0.171;0.143;0.194
8;374.000;6.000;6.000;82.000;0.120;0.078;0.147
9;415.000;5.000;7.000;41.000;0.172;0.137;0.164
10;399.000;3.000;7.000;57.000;0.086;0.051;0.261
11;431.000;4.000;8.000;25.000;0.195;0.165;0.088
12;430.000;7.000;5.000;26.000;0.311;0.284;0.288
13;432.000;6.000;6.000;24.000;0.286;0.259;0.325
14;415.000;5.000;7.000;41.000;0.172;0.137;0.099
15;410.000;6.000;4.000;46.000;0.194;0.163;0.369
16;432.000;7.000;5.000;24.000;0.326;0.300;0.372
17;427.000;7.000;5.000;29.000;0.292;0.263;0.330
18;441.000;4.000;8.000;15.000;0.258;0.234;0.212
19;444.000;5.000;7.000;12.000;0.345;0.325;0.395
20;395.000;4.000;6.000;61.000;0.107;0.072;0.155
21;319.000;9.000;3.000;137.000;0.114;0.070;0.184
22;437.000;4.000;8.000;19.000;0.229;0.202;0.301
23;447.000;5.000;7.000;9.000;0.385;0.367;0.217
24;415.000;7.000;5.000;41.000;0.233;0.201;0.457
25;403.000;6.000;4.000;53.000;0.174;0.142;0.131
max;447.000;9.000;10.000;137.000;0.410;0.389;0.495
avg;417.280;5.520;6.080;38.720;0.221;0.191;0.254
min;319.000;2.000;3.000;9.000;0.086;0.051;0.088
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;444.000;1.000;11.000;12.000;0.080;0.055
2;450.000;5.000;7.000;6.000;0.435;0.421
3;450.000;2.000;10.000;6.000;0.200;0.183
4;447.000;4.000;8.000;9.000;0.320;0.301
5;450.000;1.000;9.000;6.000;0.118;0.102
6;450.000;4.000;8.000;6.000;0.364;0.348
7;444.000;2.000;10.000;12.000;0.154;0.130
8;447.000;2.000;10.000;9.000;0.174;0.153
9;447.000;4.000;8.000;9.000;0.320;0.301
10;446.000;2.000;8.000;10.000;0.182;0.162
11;447.000;3.000;9.000;9.000;0.250;0.230
12;446.000;3.000;9.000;10.000;0.240;0.219
13;450.000;4.000;8.000;6.000;0.364;0.348
14;447.000;0.000;12.000;9.000;0.000;-0.022
15;447.000;2.000;8.000;9.000;0.190;0.172
16;443.000;2.000;10.000;13.000;0.148;0.123
17;446.000;6.000;6.000;10.000;0.429;0.411
18;452.000;2.000;10.000;4.000;0.222;0.209
19;448.000;2.000;10.000;8.000;0.182;0.162
20;447.000;3.000;7.000;9.000;0.273;0.255
21;445.000;2.000;10.000;11.000;0.160;0.137
22;450.000;2.000;10.000;6.000;0.200;0.183
23;450.000;3.000;9.000;6.000;0.286;0.270
24;450.000;5.000;7.000;6.000;0.435;0.421
25;445.000;3.000;7.000;11.000;0.250;0.231
max;452.000;6.000;12.000;13.000;0.435;0.421
avg;447.520;2.760;8.840;8.480;0.239;0.220
min;443.000;0.000;6.000;4.000;0.000;-0.022
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;450.000;2.000;10.000;6.000;0.200;0.183
2;449.000;3.000;9.000;7.000;0.273;0.255
3;449.000;0.000;12.000;7.000;0.000;-0.019
4;448.000;3.000;9.000;8.000;0.261;0.242
5;453.000;1.000;9.000;3.000;0.143;0.132
6;450.000;2.000;10.000;6.000;0.200;0.183
7;446.000;4.000;8.000;10.000;0.308;0.288
8;454.000;0.000;12.000;2.000;0.000;-0.007
9;447.000;2.000;10.000;9.000;0.174;0.153
10;447.000;3.000;7.000;9.000;0.273;0.255
11;447.000;3.000;9.000;9.000;0.250;0.230
12;450.000;4.000;8.000;6.000;0.364;0.348
13;453.000;3.000;9.000;3.000;0.333;0.322
14;450.000;0.000;12.000;6.000;0.000;-0.017
15;447.000;4.000;6.000;9.000;0.348;0.332
16;449.000;2.000;10.000;7.000;0.190;0.172
17;449.000;6.000;6.000;7.000;0.480;0.466
18;455.000;1.000;11.000;1.000;0.143;0.137
19;452.000;2.000;10.000;4.000;0.222;0.209
20;450.000;2.000;8.000;6.000;0.222;0.207
21;447.000;2.000;10.000;9.000;0.174;0.153
22;450.000;2.000;10.000;6.000;0.200;0.183
23;452.000;4.000;8.000;4.000;0.400;0.387
24;452.000;4.000;8.000;4.000;0.400;0.387
25;449.000;3.000;7.000;7.000;0.300;0.285
max;455.000;6.000;12.000;10.000;0.480;0.466
avg;449.800;2.480;9.120;6.200;0.234;0.219
min;446.000;0.000;6.000;1.000;0.000;-0.019
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;455.000;2.000;10.000;1.000;0.267;0.259
2;456.000;2.000;10.000;0.000;0.286;0.280
3;455.000;0.000;12.000;1.000;0.000;-0.004
4;456.000;1.000;11.000;0.000;0.154;0.150
5;454.000;0.000;10.000;2.000;0.000;-0.007
6;454.000;0.000;12.000;2.000;0.000;-0.007
7;455.000;1.000;11.000;1.000;0.143;0.137
8;455.000;1.000;11.000;1.000;0.143;0.137
9;456.000;2.000;10.000;0.000;0.286;0.280
10;453.000;1.000;9.000;3.000;0.143;0.132
11;455.000;1.000;11.000;1.000;0.143;0.137
12;455.000;0.000;12.000;1.000;0.000;-0.004
13;455.000;4.000;8.000;1.000;0.471;0.462
14;454.000;0.000;12.000;2.000;0.000;-0.007
15;454.000;2.000;8.000;2.000;0.286;0.277
16;455.000;3.000;9.000;1.000;0.375;0.367
17;454.000;3.000;9.000;2.000;0.353;0.343
18;456.000;0.000;12.000;0.000;0.000;0.000
19;455.000;1.000;11.000;1.000;0.143;0.137
20;454.000;3.000;7.000;2.000;0.400;0.391
21;455.000;1.000;11.000;1.000;0.143;0.137
22;455.000;1.000;11.000;1.000;0.143;0.137
23;454.000;0.000;12.000;2.000;0.000;-0.007
24;455.000;4.000;8.000;1.000;0.471;0.462
