LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;283.000;13.000;0.000;50.000;0.342;0.298;0.339
2;275.000;13.000;0.000;58.000;0.310;0.263;0.299
3;270.000;13.000;0.000;63.000;0.292;0.244;0.363
4;284.000;13.000;0.000;49.000;0.347;0.303;0.399
5;287.000;12.000;1.000;44.000;0.348;0.305;0.419
6;283.000;13.000;0.000;50.000;0.342;0.298;0.285
7;262.000;13.000;0.000;71.000;0.268;0.217;0.335
8;292.000;12.000;1.000;41.000;0.364;0.323;0.358
9;286.000;13.000;0.000;47.000;0.356;0.314;0.311
10;271.000;13.000;0.000;60.000;0.302;0.254;0.524
11;285.000;13.000;0.000;48.000;0.351;0.309;0.308
12;291.000;13.000;0.000;42.000;0.382;0.342;0.457
13;272.000;13.000;0.000;61.000;0.299;0.251;0.337
14;283.000;13.000;0.000;50.000;0.342;0.298;0.399
15;275.000;13.000;0.000;56.000;0.317;0.271;0.388
16;281.000;13.000;0.000;52.000;0.333;0.289;0.340
17;280.000;13.000;0.000;53.000;0.329;0.284;0.571
18;275.000;13.000;0.000;58.000;0.310;0.263;0.270
19;288.000;12.000;1.000;45.000;0.343;0.300;0.275
20;286.000;13.000;0.000;45.000;0.366;0.324;0.354
21;273.000;13.000;0.000;60.000;0.302;0.255;0.317
22;288.000;11.000;2.000;45.000;0.319;0.275;0.316
23;286.000;13.000;0.000;47.000;0.356;0.314;0.341
24;277.000;13.000;0.000;56.000;0.317;0.271;0.324
25;281.000;13.000;0.000;50.000;0.342;0.298;0.490
max;292.000;13.000;2.000;71.000;0.382;0.342;0.571
avg;280.560;12.800;0.200;52.040;0.331;0.287;0.365
min;262.000;11.000;0.000;41.000;0.268;0.217;0.270
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;13.000;0.000;3.000;0.897;0.892
2;326.000;13.000;0.000;7.000;0.788;0.778
3;325.000;13.000;0.000;8.000;0.765;0.753
4;327.000;13.000;0.000;6.000;0.813;0.804
5;324.000;13.000;0.000;7.000;0.788;0.778
6;325.000;13.000;0.000;8.000;0.765;0.753
7;322.000;13.000;0.000;11.000;0.703;0.687
8;328.000;13.000;0.000;5.000;0.839;0.831
9;328.000;13.000;0.000;5.000;0.839;0.831
10;329.000;13.000;0.000;2.000;0.929;0.926
11;328.000;13.000;0.000;5.000;0.839;0.831
12;328.000;13.000;0.000;5.000;0.839;0.831
13;321.000;13.000;0.000;12.000;0.684;0.668
14;328.000;13.000;0.000;5.000;0.839;0.831
15;327.000;13.000;0.000;4.000;0.867;0.861
16;327.000;13.000;0.000;6.000;0.813;0.804
17;328.000;13.000;0.000;5.000;0.839;0.831
18;327.000;13.000;0.000;6.000;0.813;0.804
19;327.000;13.000;0.000;6.000;0.813;0.804
20;323.000;13.000;0.000;8.000;0.765;0.753
21;324.000;13.000;0.000;9.000;0.743;0.730
22;330.000;13.000;0.000;3.000;0.897;0.892
23;329.000;13.000;0.000;4.000;0.867;0.861
24;324.000;13.000;0.000;9.000;0.743;0.730
25;325.000;13.000;0.000;6.000;0.813;0.804
max;330.000;13.000;0.000;12.000;0.929;0.926
avg;326.400;13.000;0.000;6.200;0.812;0.803
min;321.000;13.000;0.000;2.000;0.684;0.668
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;13.000;0.000;3.000;0.897;0.892
2;326.000;13.000;0.000;7.000;0.788;0.778
3;325.000;13.000;0.000;8.000;0.765;0.753
4;327.000;13.000;0.000;6.000;0.813;0.804
5;324.000;13.000;0.000;7.000;0.788;0.778
6;325.000;13.000;0.000;8.000;0.765;0.753
7;322.000;13.000;0.000;11.000;0.703;0.687
8;328.000;13.000;0.000;5.000;0.839;0.831
9;328.000;13.000;0.000;5.000;0.839;0.831
10;329.000;13.000;0.000;2.000;0.929;0.926
11;328.000;13.000;0.000;5.000;0.839;0.831
12;328.000;13.000;0.000;5.000;0.839;0.831
13;321.000;13.000;0.000;12.000;0.684;0.668
14;328.000;13.000;0.000;5.000;0.839;0.831
15;327.000;13.000;0.000;4.000;0.867;0.861
16;327.000;13.000;0.000;6.000;0.813;0.804
17;328.000;13.000;0.000;5.000;0.839;0.831
18;327.000;13.000;0.000;6.000;0.813;0.804
19;327.000;13.000;0.000;6.000;0.813;0.804
20;323.000;13.000;0.000;8.000;0.765;0.753
21;324.000;13.000;0.000;9.000;0.743;0.730
22;330.000;13.000;0.000;3.000;0.897;0.892
23;329.000;13.000;0.000;4.000;0.867;0.861
24;324.000;13.000;0.000;9.000;0.743;0.730
25;325.000;13.000;0.000;6.000;0.813;0.804
max;330.000;13.000;0.000;12.000;0.929;0.926
avg;326.400;13.000;0.000;6.200;0.812;0.803
min;321.000;13.000;0.000;2.000;0.684;0.668
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;283.000;13.000;0.000;50.000;0.342;0.298
2;272.000;13.000;0.000;61.000;0.299;0.251
3;269.000;13.000;0.000;64.000;0.289;0.240
4;275.000;13.000;0.000;58.000;0.310;0.263
5;289.000;13.000;0.000;42.000;0.382;0.342
6;277.000;13.000;0.000;56.000;0.317;0.271
7;269.000;13.000;0.000;64.000;0.289;0.240
8;279.000;13.000;0.000;54.000;0.325;0.280
9;272.000;13.000;0.000;61.000;0.299;0.251
10;276.000;13.000;0.000;55.000;0.321;0.275
11;274.000;13.000;0.000;59.000;0.306;0.259
12;278.000;13.000;0.000;55.000;0.321;0.275
13;279.000;13.000;0.000;54.000;0.325;0.280
14;275.000;13.000;0.000;58.000;0.310;0.263
15;279.000;13.000;0.000;52.000;0.333;0.289
16;285.000;13.000;0.000;48.000;0.351;0.309
17;277.000;13.000;0.000;56.000;0.317;0.271
18;274.000;13.000;0.000;59.000;0.306;0.259
19;282.000;13.000;0.000;51.000;0.338;0.294
20;276.000;13.000;0.000;55.000;0.321;0.275
21;275.000;13.000;0.000;58.000;0.310;0.263
22;294.000;13.000;0.000;39.000;0.400;0.362
23;274.000;13.000;0.000;59.000;0.306;0.259
24;272.000;13.000;0.000;61.000;0.299;0.251
25;282.000;13.000;0.000;49.000;0.347;0.303
