LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;173.000;9.000;5.000;159.000;0.099;0.026;0.062
2;173.000;10.000;4.000;159.000;0.109;0.037;0.080
3;168.000;9.000;5.000;164.000;0.096;0.023;0.057
4;183.000;9.000;5.000;149.000;0.105;0.033;0.073
5;172.000;9.000;4.000;159.000;0.099;0.032;0.055
6;165.000;11.000;3.000;167.000;0.115;0.043;0.072
7;179.000;10.000;4.000;153.000;0.113;0.042;0.068
8;197.000;10.000;4.000;135.000;0.126;0.056;0.074
9;182.000;7.000;7.000;150.000;0.082;0.008;0.051
10;176.000;10.000;3.000;155.000;0.112;0.045;0.065
11;174.000;10.000;4.000;158.000;0.110;0.038;0.071
12;176.000;11.000;3.000;156.000;0.122;0.051;0.064
13;182.000;8.000;6.000;150.000;0.093;0.020;0.060
14;179.000;12.000;2.000;153.000;0.134;0.064;0.082
15;167.000;8.000;5.000;164.000;0.086;0.017;0.059
16;174.000;12.000;2.000;158.000;0.130;0.060;0.068
17;168.000;8.000;6.000;164.000;0.086;0.012;0.061
18;170.000;10.000;4.000;162.000;0.108;0.035;0.067
19;189.000;8.000;6.000;143.000;0.097;0.025;0.057
20;176.000;11.000;2.000;155.000;0.123;0.057;0.089
21;185.000;6.000;8.000;147.000;0.072;-0.002;0.056
22;188.000;8.000;6.000;144.000;0.096;0.024;0.072
23;167.000;11.000;3.000;165.000;0.116;0.044;0.072
24;183.000;10.000;4.000;149.000;0.116;0.045;0.083
25;181.000;9.000;4.000;150.000;0.105;0.037;0.061
max;197.000;12.000;8.000;167.000;0.134;0.064;0.089
avg;177.080;9.440;4.360;154.720;0.106;0.035;0.067
min;165.000;6.000;2.000;135.000;0.072;-0.002;0.051
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;304.000;14.000;0.000;28.000;0.500;0.468
2;300.000;14.000;0.000;32.000;0.467;0.431
3;311.000;14.000;0.000;21.000;0.571;0.545
4;311.000;14.000;0.000;21.000;0.571;0.545
5;310.000;13.000;0.000;21.000;0.553;0.527
6;312.000;14.000;0.000;20.000;0.583;0.558
7;316.000;14.000;0.000;16.000;0.636;0.615
8;306.000;14.000;0.000;26.000;0.519;0.488
9;296.000;14.000;0.000;36.000;0.438;0.400
10;306.000;13.000;0.000;25.000;0.510;0.481
11;306.000;14.000;0.000;26.000;0.519;0.488
12;312.000;14.000;0.000;20.000;0.583;0.558
13;308.000;14.000;0.000;24.000;0.538;0.509
14;305.000;14.000;0.000;27.000;0.509;0.478
15;305.000;13.000;0.000;26.000;0.500;0.470
16;315.000;14.000;0.000;17.000;0.622;0.600
17;304.000;14.000;0.000;28.000;0.500;0.468
18;304.000;14.000;0.000;28.000;0.500;0.468
19;308.000;14.000;0.000;24.000;0.538;0.509
20;305.000;13.000;0.000;26.000;0.500;0.470
21;303.000;14.000;0.000;29.000;0.491;0.458
22;314.000;14.000;0.000;18.000;0.609;0.585
23;301.000;14.000;0.000;31.000;0.475;0.440
24;309.000;14.000;0.000;23.000;0.549;0.521
25;309.000;13.000;0.000;22.000;0.542;0.515
max;316.000;14.000;0.000;36.000;0.636;0.615
avg;307.200;13.800;0.000;24.600;0.533;0.504
min;296.000;13.000;0.000;16.000;0.438;0.400
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;304.000;14.000;0.000;28.000;0.500;0.468
2;300.000;14.000;0.000;32.000;0.467;0.431
3;311.000;14.000;0.000;21.000;0.571;0.545
4;311.000;14.000;0.000;21.000;0.571;0.545
5;310.000;13.000;0.000;21.000;0.553;0.527
6;312.000;14.000;0.000;20.000;0.583;0.558
7;316.000;14.000;0.000;16.000;0.636;0.615
8;306.000;14.000;0.000;26.000;0.519;0.488
9;296.000;14.000;0.000;36.000;0.438;0.400
10;306.000;13.000;0.000;25.000;0.510;0.481
11;306.000;14.000;0.000;26.000;0.519;0.488
12;312.000;14.000;0.000;20.000;0.583;0.558
13;308.000;14.000;0.000;24.000;0.538;0.509
14;305.000;14.000;0.000;27.000;0.509;0.478
15;305.000;13.000;0.000;26.000;0.500;0.470
16;315.000;14.000;0.000;17.000;0.622;0.600
17;304.000;14.000;0.000;28.000;0.500;0.468
18;304.000;14.000;0.000;28.000;0.500;0.468
19;308.000;14.000;0.000;24.000;0.538;0.509
20;305.000;13.000;0.000;26.000;0.500;0.470
21;303.000;14.000;0.000;29.000;0.491;0.458
22;314.000;14.000;0.000;18.000;0.609;0.585
23;301.000;14.000;0.000;31.000;0.475;0.440
24;309.000;14.000;0.000;23.000;0.549;0.521
25;309.000;13.000;0.000;22.000;0.542;0.515
max;316.000;14.000;0.000;36.000;0.636;0.615
avg;307.200;13.800;0.000;24.600;0.533;0.504
min;296.000;13.000;0.000;16.000;0.438;0.400
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;229.000;14.000;0.000;103.000;0.214;0.152
2;226.000;14.000;0.000;106.000;0.209;0.147
3;240.000;14.000;0.000;92.000;0.233;0.174
4;244.000;14.000;0.000;88.000;0.241;0.183
5;241.000;13.000;0.000;90.000;0.224;0.168
6;254.000;14.000;0.000;78.000;0.264;0.209
7;246.000;14.000;0.000;86.000;0.246;0.188
8;242.000;14.000;0.000;90.000;0.237;0.179
9;215.000;14.000;0.000;117.000;0.193;0.129
10;229.000;13.000;0.000;102.000;0.203;0.145
11;228.000;14.000;0.000;104.000;0.212;0.151
12;242.000;14.000;0.000;90.000;0.237;0.179
13;247.000;14.000;0.000;85.000;0.248;0.190
14;248.000;14.000;0.000;84.000;0.250;0.193
15;217.000;13.000;0.000;114.000;0.186;0.126
16;248.000;14.000;0.000;84.000;0.250;0.193
17;234.000;14.000;0.000;98.000;0.222;0.162
18;242.000;14.000;0.000;90.000;0.237;0.179
19;247.000;14.000;0.000;85.000;0.248;0.190
20;235.000;13.000;0.000;96.000;0.213;0.156
21;248.000;14.000;0.000;84.000;0.250;0.193
22;232.000;14.000;0.000;100.000;0.219;0.158
23;231.000;14.000;0.000;101.000;0.217;0.156
24;239.000;14.000;0.000;93.000;0.231;0.172
25;252.000;13.000;0.000;79.000;0.248;0.194
max;254.000;14.000;0.000;117.000;0.264;0.209
avg;238.240;13.800;0.000;93.560;0.229;0.171
min;215.000;13.000;0.000;78.000;0.186;0.126
