LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;176.000;3.000;6.000;29.000;0.146;0.086;0.084
2;191.000;7.000;2.000;14.000;0.467;0.433;0.387
3;186.000;7.000;2.000;19.000;0.400;0.360;0.316
4;191.000;7.000;2.000;14.000;0.467;0.433;0.695
5;184.000;4.000;3.000;19.000;0.267;0.227;0.166
6;186.000;6.000;3.000;19.000;0.353;0.310;0.411
7;182.000;6.000;3.000;23.000;0.316;0.269;0.240
8;184.000;7.000;2.000;21.000;0.378;0.336;0.293
9;186.000;4.000;5.000;19.000;0.250;0.202;0.262
10;178.000;6.000;1.000;25.000;0.316;0.276;0.325
11;190.000;8.000;1.000;15.000;0.500;0.468;0.510
12;171.000;6.000;3.000;34.000;0.245;0.189;0.247
13;184.000;6.000;3.000;21.000;0.333;0.288;0.239
14;190.000;4.000;5.000;15.000;0.286;0.242;0.211
15;167.000;5.000;2.000;36.000;0.208;0.161;0.263
16;186.000;4.000;5.000;19.000;0.250;0.202;0.145
17;184.000;6.000;3.000;21.000;0.333;0.288;0.513
18;179.000;5.000;4.000;26.000;0.250;0.198;0.235
19;185.000;7.000;2.000;20.000;0.389;0.348;0.340
20;184.000;7.000;0.000;19.000;0.424;0.392;0.529
21;185.000;4.000;5.000;20.000;0.242;0.193;0.244
22;180.000;7.000;2.000;25.000;0.341;0.295;0.289
23;175.000;9.000;0.000;30.000;0.375;0.329;0.387
24;191.000;3.000;6.000;14.000;0.231;0.186;0.207
25;177.000;5.000;2.000;26.000;0.263;0.221;0.268
max;191.000;9.000;6.000;36.000;0.500;0.468;0.695
avg;182.880;5.720;2.880;21.720;0.321;0.277;0.312
min;167.000;3.000;0.000;14.000;0.146;0.086;0.084
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;178.000;3.000;6.000;27.000;0.154;0.095
2;186.000;4.000;5.000;19.000;0.250;0.202
3;189.000;4.000;5.000;16.000;0.276;0.231
4;193.000;4.000;5.000;12.000;0.320;0.281
5;181.000;3.000;4.000;22.000;0.188;0.143
6;186.000;4.000;5.000;19.000;0.250;0.202
7;185.000;5.000;4.000;20.000;0.294;0.248
8;188.000;4.000;5.000;17.000;0.267;0.221
9;186.000;3.000;6.000;19.000;0.194;0.142
10;179.000;4.000;3.000;24.000;0.229;0.185
11;187.000;6.000;3.000;18.000;0.364;0.322
12;175.000;3.000;6.000;30.000;0.143;0.082
13;179.000;4.000;5.000;26.000;0.205;0.150
14;186.000;5.000;4.000;19.000;0.303;0.258
15;179.000;4.000;3.000;24.000;0.229;0.185
16;187.000;1.000;8.000;18.000;0.071;0.015
17;182.000;5.000;4.000;23.000;0.270;0.221
18;179.000;5.000;4.000;26.000;0.250;0.198
19;187.000;5.000;4.000;18.000;0.312;0.268
20;183.000;7.000;0.000;20.000;0.412;0.379
21;189.000;6.000;3.000;16.000;0.387;0.348
22;179.000;4.000;5.000;26.000;0.205;0.150
23;180.000;8.000;1.000;25.000;0.381;0.337
24;192.000;4.000;5.000;13.000;0.308;0.267
25;178.000;5.000;2.000;25.000;0.270;0.229
max;193.000;8.000;8.000;30.000;0.412;0.379
avg;183.720;4.400;4.200;20.880;0.261;0.214
min;175.000;1.000;0.000;12.000;0.071;0.015
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;180.000;2.000;7.000;25.000;0.111;0.051
2;196.000;6.000;3.000;9.000;0.500;0.472
3;188.000;4.000;5.000;17.000;0.267;0.221
4;193.000;5.000;4.000;12.000;0.385;0.349
5;187.000;4.000;3.000;16.000;0.296;0.260
6;192.000;3.000;6.000;13.000;0.240;0.197
7;191.000;6.000;3.000;14.000;0.414;0.378
8;191.000;5.000;4.000;14.000;0.357;0.318
9;187.000;4.000;5.000;18.000;0.258;0.211
10;183.000;6.000;1.000;20.000;0.364;0.328
11;190.000;8.000;1.000;15.000;0.500;0.468
12;179.000;5.000;4.000;26.000;0.250;0.198
13;192.000;5.000;4.000;13.000;0.370;0.333
14;194.000;3.000;6.000;11.000;0.261;0.221
15;188.000;4.000;3.000;15.000;0.308;0.272
16;188.000;2.000;7.000;17.000;0.143;0.091
17;186.000;6.000;3.000;19.000;0.353;0.310
18;186.000;4.000;5.000;19.000;0.250;0.202
19;189.000;6.000;3.000;16.000;0.387;0.348
20;184.000;7.000;0.000;19.000;0.424;0.392
21;189.000;5.000;4.000;16.000;0.333;0.292
22;189.000;6.000;3.000;16.000;0.387;0.348
23;183.000;7.000;2.000;22.000;0.368;0.325
24;196.000;3.000;6.000;9.000;0.286;0.250
25;186.000;5.000;2.000;17.000;0.345;0.310
max;196.000;8.000;7.000;26.000;0.500;0.472
avg;188.280;4.840;3.760;16.320;0.326;0.286
min;179.000;2.000;0.000;9.000;0.111;0.051
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;174.000;4.000;5.000;31.000;0.182;0.123
