LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;484.000;24.000;7.000;119.000;0.276;0.213;0.246
2;489.000;22.000;9.000;114.000;0.263;0.200;0.169
3;481.000;24.000;7.000;122.000;0.271;0.207;0.200
4;498.000;25.000;6.000;105.000;0.311;0.251;0.198
5;492.000;22.000;5.000;108.000;0.280;0.225;0.286
6;476.000;24.000;7.000;127.000;0.264;0.199;0.194
7;494.000;24.000;7.000;109.000;0.293;0.232;0.260
8;511.000;27.000;4.000;92.000;0.360;0.306;0.289
9;509.000;20.000;11.000;94.000;0.276;0.216;0.191
10;498.000;22.000;5.000;102.000;0.291;0.237;0.218
11;498.000;24.000;7.000;105.000;0.300;0.240;0.221
12;508.000;23.000;8.000;95.000;0.309;0.251;0.212
13;494.000;26.000;5.000;109.000;0.313;0.254;0.306
14;512.000;25.000;6.000;91.000;0.340;0.285;0.307
15;491.000;21.000;6.000;109.000;0.268;0.211;0.199
16;501.000;21.000;10.000;102.000;0.273;0.211;0.178
17;492.000;24.000;7.000;111.000;0.289;0.228;0.209
18;487.000;27.000;4.000;116.000;0.310;0.250;0.270
19;479.000;26.000;5.000;124.000;0.287;0.224;0.212
20;506.000;20.000;7.000;94.000;0.284;0.230;0.237
21;483.000;24.000;7.000;120.000;0.274;0.211;0.186
22;507.000;23.000;8.000;96.000;0.307;0.248;0.229
23;456.000;28.000;3.000;147.000;0.272;0.206;0.241
24;499.000;27.000;4.000;104.000;0.333;0.276;0.277
25;523.000;18.000;9.000;77.000;0.295;0.244;0.165
max;523.000;28.000;11.000;147.000;0.360;0.306;0.307
avg;494.720;23.640;6.560;107.680;0.294;0.234;0.228
min;456.000;18.000;3.000;77.000;0.263;0.199;0.165
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;593.000;28.000;3.000;10.000;0.812;0.801
2;587.000;29.000;2.000;16.000;0.763;0.749
3;586.000;30.000;1.000;17.000;0.769;0.755
4;592.000;28.000;3.000;11.000;0.800;0.788
5;589.000;24.000;3.000;11.000;0.774;0.763
6;589.000;29.000;2.000;14.000;0.784;0.771
7;581.000;30.000;1.000;22.000;0.723;0.705
8;595.000;29.000;2.000;8.000;0.853;0.845
9;586.000;26.000;5.000;17.000;0.703;0.685
10;585.000;25.000;2.000;15.000;0.746;0.733
11;594.000;31.000;0.000;9.000;0.873;0.866
12;580.000;28.000;3.000;23.000;0.683;0.662
13;585.000;25.000;6.000;18.000;0.676;0.656
14;588.000;29.000;2.000;15.000;0.773;0.760
15;582.000;26.000;1.000;18.000;0.732;0.717
16;587.000;27.000;4.000;16.000;0.730;0.713
17;594.000;29.000;2.000;9.000;0.841;0.832
18;591.000;27.000;4.000;12.000;0.771;0.758
19;589.000;30.000;1.000;14.000;0.800;0.788
20;583.000;23.000;4.000;17.000;0.687;0.670
21;590.000;29.000;2.000;13.000;0.795;0.782
22;590.000;29.000;2.000;13.000;0.795;0.782
23;592.000;25.000;6.000;11.000;0.746;0.732
24;585.000;31.000;0.000;18.000;0.775;0.761
25;583.000;24.000;3.000;17.000;0.706;0.690
max;595.000;31.000;6.000;23.000;0.873;0.866
avg;587.840;27.640;2.560;14.560;0.764;0.750
min;580.000;23.000;0.000;8.000;0.676;0.656
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;589.000;29.000;2.000;14.000;0.784;0.771
2;584.000;29.000;2.000;19.000;0.734;0.717
3;585.000;30.000;1.000;18.000;0.759;0.744
4;589.000;28.000;3.000;14.000;0.767;0.753
5;587.000;24.000;3.000;13.000;0.750;0.737
6;587.000;29.000;2.000;16.000;0.763;0.749
7;586.000;31.000;0.000;17.000;0.785;0.771
8;589.000;29.000;2.000;14.000;0.784;0.771
9;585.000;26.000;5.000;18.000;0.693;0.675
10;587.000;25.000;2.000;13.000;0.769;0.757
11;593.000;30.000;1.000;10.000;0.845;0.836
12;576.000;28.000;3.000;27.000;0.651;0.628
13;581.000;26.000;5.000;22.000;0.658;0.637
14;588.000;28.000;3.000;15.000;0.757;0.742
15;583.000;26.000;1.000;17.000;0.743;0.728
16;581.000;28.000;3.000;22.000;0.691;0.672
17;591.000;30.000;1.000;12.000;0.822;0.811
18;590.000;28.000;3.000;13.000;0.778;0.765
19;587.000;31.000;0.000;16.000;0.795;0.782
20;580.000;23.000;4.000;20.000;0.657;0.638
21;589.000;29.000;2.000;14.000;0.784;0.771
22;585.000;29.000;2.000;18.000;0.744;0.728
23;582.000;27.000;4.000;21.000;0.684;0.664
24;586.000;31.000;0.000;17.000;0.785;0.771
25;585.000;24.000;3.000;15.000;0.727;0.713
max;593.000;31.000;5.000;27.000;0.845;0.836
avg;585.800;27.920;2.280;16.600;0.748;0.733
min;576.000;23.000;0.000;10.000;0.651;0.628
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;581.000;24.000;7.000;22.000;0.623;0.600
2;580.000;27.000;4.000;23.000;0.667;0.645
3;578.000;19.000;12.000;25.000;0.507;0.477
4;583.000;22.000;9.000;20.000;0.603;0.579
5;581.000;19.000;8.000;19.000;0.585;0.563
6;583.000;21.000;10.000;20.000;0.583;0.559
7;588.000;27.000;4.000;15.000;0.740;0.724
8;579.000;23.000;8.000;24.000;0.590;0.564
9;579.000;20.000;11.000;24.000;0.533;0.505
10;580.000;22.000;5.000;20.000;0.638;0.618
11;594.000;21.000;10.000;9.000;0.689;0.673
12;570.000;25.000;6.000;33.000;0.562;0.532
13;575.000;21.000;10.000;28.000;0.525;0.495
14;575.000;24.000;7.000;28.000;0.578;0.551
15;582.000;23.000;4.000;18.000;0.676;0.659
16;585.000;22.000;9.000;18.000;0.620;0.598
17;588.000;23.000;8.000;15.000;0.667;0.648
18;582.000;25.000;6.000;21.000;0.649;0.628
19;571.000;22.000;9.000;32.000;0.518;0.486
20;573.000;22.000;5.000;27.000;0.579;0.554
21;581.000;24.000;7.000;22.000;0.623;0.600
22;580.000;22.000;9.000;23.000;0.579;0.553
23;580.000;24.000;7.000;23.000;0.615;0.591
24;581.000;24.000;7.000;22.000;0.623;0.600
25;578.000;18.000;9.000;22.000;0.537;0.512
max;594.000;27.000;12.000;33.000;0.740;0.724
avg;580.280;22.560;7.640;22.120;0.604;0.580
min;570.000;18.000;4.000;9.000;0.507;0.477
