LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;547.000;17.000;0.000;24.000;0.586;0.569;1.000
2;553.000;17.000;0.000;18.000;0.654;0.640;0.993
3;545.000;17.000;0.000;26.000;0.567;0.548;0.997
4;532.000;17.000;0.000;39.000;0.466;0.441;0.994
5;551.000;13.000;0.000;19.000;0.578;0.564;0.995
6;540.000;17.000;0.000;31.000;0.523;0.502;1.000
7;545.000;17.000;0.000;26.000;0.567;0.548;0.994
8;550.000;17.000;0.000;21.000;0.618;0.602;0.969
9;552.000;17.000;0.000;19.000;0.642;0.627;0.991
10;536.000;13.000;0.000;34.000;0.433;0.413;0.990
11;552.000;17.000;0.000;19.000;0.642;0.627;0.989
12;548.000;17.000;0.000;23.000;0.596;0.579;0.997
13;542.000;17.000;0.000;29.000;0.540;0.519;0.991
14;554.000;17.000;0.000;17.000;0.667;0.653;0.997
15;543.000;13.000;0.000;27.000;0.491;0.473;0.990
16;538.000;17.000;0.000;33.000;0.507;0.485;0.997
17;540.000;17.000;0.000;31.000;0.523;0.502;1.000
18;548.000;17.000;0.000;23.000;0.596;0.579;0.985
19;551.000;17.000;0.000;20.000;0.630;0.614;0.988
20;554.000;13.000;0.000;16.000;0.619;0.607;0.990
21;544.000;17.000;0.000;27.000;0.557;0.538;1.000
22;549.000;17.000;0.000;22.000;0.607;0.591;0.973
23;550.000;17.000;0.000;21.000;0.618;0.602;1.000
24;540.000;17.000;0.000;31.000;0.523;0.502;0.993
25;556.000;13.000;0.000;14.000;0.650;0.639;1.000
max;556.000;17.000;0.000;39.000;0.667;0.653;1.000
avg;546.400;16.200;0.000;24.400;0.576;0.559;0.992
min;532.000;13.000;0.000;14.000;0.433;0.413;0.969
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;17.000;0.000;12.000;0.739;0.729
2;566.000;17.000;0.000;5.000;0.872;0.867
3;562.000;17.000;0.000;9.000;0.791;0.783
4;558.000;17.000;0.000;13.000;0.723;0.713
5;563.000;13.000;0.000;7.000;0.788;0.782
6;564.000;17.000;0.000;7.000;0.829;0.823
7;567.000;17.000;0.000;4.000;0.895;0.891
8;558.000;17.000;0.000;13.000;0.723;0.713
9;563.000;17.000;0.000;8.000;0.810;0.803
10;560.000;13.000;0.000;10.000;0.722;0.714
11;565.000;17.000;0.000;6.000;0.850;0.845
12;564.000;17.000;0.000;7.000;0.829;0.823
13;561.000;17.000;0.000;10.000;0.773;0.764
14;566.000;17.000;0.000;5.000;0.872;0.867
15;562.000;13.000;0.000;8.000;0.765;0.758
16;558.000;17.000;0.000;13.000;0.723;0.713
17;559.000;17.000;0.000;12.000;0.739;0.729
18;559.000;17.000;0.000;12.000;0.739;0.729
19;566.000;17.000;0.000;5.000;0.872;0.867
20;562.000;13.000;0.000;8.000;0.765;0.758
21;563.000;17.000;0.000;8.000;0.810;0.803
22;563.000;17.000;0.000;8.000;0.810;0.803
23;561.000;17.000;0.000;10.000;0.773;0.764
24;561.000;17.000;0.000;10.000;0.773;0.764
25;563.000;13.000;0.000;7.000;0.788;0.782
max;567.000;17.000;0.000;13.000;0.895;0.891
avg;562.120;16.200;0.000;8.680;0.791;0.784
min;558.000;13.000;0.000;4.000;0.722;0.713
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;558.000;17.000;0.000;13.000;0.723;0.713
2;564.000;17.000;0.000;7.000;0.829;0.823
3;561.000;17.000;0.000;10.000;0.773;0.764
4;557.000;17.000;0.000;14.000;0.708;0.697
5;559.000;13.000;0.000;11.000;0.703;0.694
6;561.000;17.000;0.000;10.000;0.773;0.764
7;560.000;17.000;0.000;11.000;0.756;0.746
8;557.000;17.000;0.000;14.000;0.708;0.697
9;561.000;17.000;0.000;10.000;0.773;0.764
10;559.000;13.000;0.000;11.000;0.703;0.694
11;561.000;17.000;0.000;10.000;0.773;0.764
12;564.000;17.000;0.000;7.000;0.829;0.823
13;559.000;17.000;0.000;12.000;0.739;0.729
14;561.000;17.000;0.000;10.000;0.773;0.764
15;560.000;13.000;0.000;10.000;0.722;0.714
16;558.000;17.000;0.000;13.000;0.723;0.713
17;558.000;17.000;0.000;13.000;0.723;0.713
18;558.000;17.000;0.000;13.000;0.723;0.713
19;562.000;17.000;0.000;9.000;0.791;0.783
20;564.000;13.000;0.000;6.000;0.813;0.807
21;562.000;17.000;0.000;9.000;0.791;0.783
22;557.000;17.000;0.000;14.000;0.708;0.697
23;559.000;17.000;0.000;12.000;0.739;0.729
24;559.000;17.000;0.000;12.000;0.739;0.729
25;561.000;13.000;0.000;9.000;0.743;0.735
max;564.000;17.000;0.000;14.000;0.829;0.823
avg;560.000;16.200;0.000;10.800;0.751;0.742
min;557.000;13.000;0.000;6.000;0.703;0.694
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;551.000;17.000;0.000;20.000;0.630;0.614
2;555.000;17.000;0.000;16.000;0.680;0.667
3;555.000;17.000;0.000;16.000;0.680;0.667
4;547.000;17.000;0.000;24.000;0.586;0.569
5;554.000;13.000;0.000;16.000;0.619;0.607
6;556.000;17.000;0.000;15.000;0.694;0.682
7;554.000;17.000;0.000;17.000;0.667;0.653
8;552.000;17.000;0.000;19.000;0.642;0.627
9;557.000;17.000;0.000;14.000;0.708;0.697
10;548.000;13.000;0.000;22.000;0.542;0.526
11;555.000;17.000;0.000;16.000;0.680;0.667
12;557.000;17.000;0.000;14.000;0.708;0.697
13;553.000;17.000;0.000;18.000;0.654;0.640
14;555.000;17.000;0.000;16.000;0.680;0.667
15;549.000;13.000;0.000;21.000;0.553;0.538
16;548.000;17.000;0.000;23.000;0.596;0.579
17;552.000;17.000;0.000;19.000;0.642;0.627
18;550.000;17.000;0.000;21.000;0.618;0.602
19;553.000;17.000;0.000;18.000;0.654;0.640
20;558.000;13.000;0.000;12.000;0.684;0.675
21;555.000;17.000;0.000;16.000;0.680;0.667
22;550.000;17.000;0.000;21.000;0.618;0.602
23;553.000;17.000;0.000;18.000;0.654;0.640
24;550.000;17.000;0.000;21.000;0.618;0.602
25;559.000;13.000;0.000;11.000;0.703;0.694
max;559.000;17.000;0.000;24.000;0.708;0.697
avg;553.040;16.200;0.000;17.760;0.648;0.634
min;547.000;13.000;0.000;11.000;0.542;0.526
