LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;496.000;21.000;0.000;64.000;0.396;0.359;0.889
2;500.000;21.000;0.000;60.000;0.412;0.376;0.903
3;494.000;21.000;0.000;66.000;0.389;0.351;0.833
4;491.000;21.000;0.000;69.000;0.378;0.340;0.800
5;495.000;21.000;0.000;61.000;0.408;0.371;0.910
6;487.000;21.000;0.000;73.000;0.365;0.325;0.883
7;504.000;21.000;0.000;56.000;0.429;0.394;0.819
8;503.000;21.000;0.000;57.000;0.424;0.389;0.906
9;481.000;21.000;0.000;79.000;0.347;0.306;0.845
10;487.000;21.000;0.000;69.000;0.378;0.339;0.841
11;506.000;21.000;0.000;54.000;0.438;0.404;0.914
12;511.000;21.000;0.000;49.000;0.462;0.430;0.876
13;498.000;21.000;0.000;62.000;0.404;0.367;0.781
14;489.000;21.000;0.000;71.000;0.372;0.332;0.890
15;487.000;21.000;0.000;69.000;0.378;0.339;0.877
16;499.000;21.000;0.000;61.000;0.408;0.372;0.897
17;486.000;21.000;0.000;74.000;0.362;0.322;0.913
18;497.000;21.000;0.000;63.000;0.400;0.363;0.748
19;501.000;21.000;0.000;59.000;0.416;0.380;0.889
20;497.000;21.000;0.000;59.000;0.416;0.380;0.900
21;495.000;21.000;0.000;65.000;0.393;0.355;0.927
22;491.000;21.000;0.000;69.000;0.378;0.340;0.844
23;496.000;21.000;0.000;64.000;0.396;0.359;0.838
24;501.000;21.000;0.000;59.000;0.416;0.380;0.845
25;489.000;21.000;0.000;67.000;0.385;0.347;0.884
max;511.000;21.000;0.000;79.000;0.462;0.430;0.927
avg;495.240;21.000;0.000;63.960;0.398;0.361;0.866
min;481.000;21.000;0.000;49.000;0.347;0.306;0.748
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;541.000;21.000;0.000;19.000;0.689;0.673
2;545.000;21.000;0.000;15.000;0.737;0.724
3;535.000;21.000;0.000;25.000;0.627;0.607
4;529.000;21.000;0.000;31.000;0.575;0.552
5;539.000;21.000;0.000;17.000;0.712;0.698
6;540.000;21.000;0.000;20.000;0.677;0.661
7;542.000;21.000;0.000;18.000;0.700;0.685
8;546.000;21.000;0.000;14.000;0.750;0.738
9;539.000;21.000;0.000;21.000;0.667;0.650
10;537.000;21.000;0.000;19.000;0.689;0.673
11;539.000;21.000;0.000;21.000;0.667;0.650
12;547.000;21.000;0.000;13.000;0.764;0.753
13;540.000;21.000;0.000;20.000;0.677;0.661
14;546.000;21.000;0.000;14.000;0.750;0.738
15;535.000;21.000;0.000;21.000;0.667;0.650
16;543.000;21.000;0.000;17.000;0.712;0.698
17;544.000;21.000;0.000;16.000;0.724;0.711
18;547.000;21.000;0.000;13.000;0.764;0.753
19;552.000;21.000;0.000;8.000;0.840;0.833
20;535.000;21.000;0.000;21.000;0.667;0.650
21;535.000;21.000;0.000;25.000;0.627;0.607
22;542.000;21.000;0.000;18.000;0.700;0.685
23;543.000;21.000;0.000;17.000;0.712;0.698
24;546.000;21.000;0.000;14.000;0.750;0.738
25;541.000;21.000;0.000;15.000;0.737;0.724
max;552.000;21.000;0.000;31.000;0.840;0.833
avg;541.120;21.000;0.000;18.080;0.703;0.688
min;529.000;21.000;0.000;8.000;0.575;0.552
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;535.000;21.000;0.000;25.000;0.627;0.607
2;540.000;21.000;0.000;20.000;0.677;0.661
3;531.000;21.000;0.000;29.000;0.592;0.570
4;529.000;21.000;0.000;31.000;0.575;0.552
5;537.000;21.000;0.000;19.000;0.689;0.673
6;531.000;21.000;0.000;29.000;0.592;0.570
7;539.000;21.000;0.000;21.000;0.667;0.650
8;540.000;21.000;0.000;20.000;0.677;0.661
9;531.000;21.000;0.000;29.000;0.592;0.570
10;534.000;21.000;0.000;22.000;0.656;0.639
11;538.000;21.000;0.000;22.000;0.656;0.639
12;540.000;21.000;0.000;20.000;0.677;0.661
13;530.000;21.000;0.000;30.000;0.583;0.561
14;539.000;21.000;0.000;21.000;0.667;0.650
15;528.000;21.000;0.000;28.000;0.600;0.579
16;532.000;21.000;0.000;28.000;0.600;0.579
17;537.000;21.000;0.000;23.000;0.646;0.628
18;538.000;21.000;0.000;22.000;0.656;0.639
19;538.000;21.000;0.000;22.000;0.656;0.639
20;530.000;21.000;0.000;26.000;0.618;0.597
21;528.000;21.000;0.000;32.000;0.568;0.544
22;535.000;21.000;0.000;25.000;0.627;0.607
23;541.000;21.000;0.000;19.000;0.689;0.673
24;544.000;21.000;0.000;16.000;0.724;0.711
25;532.000;21.000;0.000;24.000;0.636;0.617
max;544.000;21.000;0.000;32.000;0.724;0.711
avg;535.080;21.000;0.000;24.120;0.638;0.619
min;528.000;21.000;0.000;16.000;0.568;0.544
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;537.000;21.000;0.000;23.000;0.646;0.628
2;548.000;21.000;0.000;12.000;0.778;0.768
3;538.000;21.000;0.000;22.000;0.656;0.639
4;532.000;21.000;0.000;28.000;0.600;0.579
5;542.000;21.000;0.000;14.000;0.750;0.738
6;544.000;21.000;0.000;16.000;0.724;0.711
7;546.000;21.000;0.000;14.000;0.750;0.738
8;551.000;21.000;0.000;9.000;0.824;0.816
9;538.000;21.000;0.000;22.000;0.656;0.639
10;538.000;21.000;0.000;18.000;0.700;0.685
11;539.000;21.000;0.000;21.000;0.667;0.650
12;548.000;21.000;0.000;12.000;0.778;0.768
13;541.000;21.000;0.000;19.000;0.689;0.673
14;547.000;21.000;0.000;13.000;0.764;0.753
15;535.000;21.000;0.000;21.000;0.667;0.650
16;544.000;21.000;0.000;16.000;0.724;0.711
17;547.000;21.000;0.000;13.000;0.764;0.753
18;545.000;21.000;0.000;15.000;0.737;0.724
19;552.000;21.000;0.000;8.000;0.840;0.833
20;536.000;21.000;0.000;20.000;0.677;0.661
21;539.000;21.000;0.000;21.000;0.667;0.650
22;545.000;21.000;0.000;15.000;0.737;0.724
23;545.000;21.000;0.000;15.000;0.737;0.724
24;546.000;21.000;0.000;14.000;0.750;0.738
25;544.000;20.000;1.000;12.000;0.755;0.743
max;552.000;21.000;1.000;28.000;0.840;0.833
avg;542.680;20.960;0.040;16.520;0.721;0.708
min;532.000;20.000;0.000;8.000;0.600;0.579
