LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;273.000;1.000;10.000;37.000;0.041;-0.013;0.043
2;284.000;6.000;5.000;26.000;0.279;0.240;0.151
3;232.000;4.000;7.000;78.000;0.086;0.027;0.044
4;271.000;3.000;8.000;39.000;0.113;0.062;0.108
5;283.000;2.000;7.000;23.000;0.118;0.079;0.095
6;282.000;4.000;7.000;28.000;0.186;0.142;0.130
7;251.000;3.000;8.000;59.000;0.082;0.025;0.049
8;290.000;1.000;10.000;20.000;0.062;0.018;0.077
9;271.000;3.000;8.000;39.000;0.113;0.062;0.157
10;274.000;3.000;6.000;32.000;0.136;0.095;0.187
11;261.000;3.000;8.000;49.000;0.095;0.041;0.065
12;255.000;3.000;8.000;55.000;0.087;0.031;0.071
13;291.000;3.000;8.000;19.000;0.182;0.143;0.074
14;269.000;4.000;7.000;41.000;0.143;0.093;0.133
15;265.000;2.000;7.000;41.000;0.077;0.031;0.060
16;295.000;3.000;8.000;15.000;0.207;0.172;0.226
17;276.000;5.000;6.000;34.000;0.200;0.155;0.163
18;266.000;4.000;7.000;44.000;0.136;0.085;0.045
19;289.000;3.000;8.000;21.000;0.171;0.131;0.145
20;269.000;1.000;8.000;37.000;0.043;-0.004;0.036
21;266.000;3.000;8.000;44.000;0.103;0.051;0.127
22;282.000;4.000;7.000;28.000;0.186;0.142;0.185
23;242.000;2.000;9.000;68.000;0.049;-0.010;0.045
24;266.000;5.000;6.000;44.000;0.167;0.117;0.161
25;253.000;4.000;5.000;53.000;0.121;0.076;0.118
max;295.000;6.000;10.000;78.000;0.279;0.240;0.226
avg;270.240;3.160;7.440;38.960;0.127;0.080;0.108
min;232.000;1.000;5.000;15.000;0.041;-0.013;0.036
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;298.000;1.000;10.000;12.000;0.083;0.048
2;301.000;3.000;8.000;9.000;0.261;0.233
3;301.000;0.000;11.000;9.000;0.000;-0.032
4;297.000;3.000;8.000;13.000;0.222;0.189
5;299.000;1.000;8.000;7.000;0.118;0.093
6;299.000;3.000;8.000;11.000;0.240;0.210
7;300.000;1.000;10.000;10.000;0.091;0.059
8;309.000;0.000;11.000;1.000;0.000;-0.006
9;300.000;2.000;9.000;10.000;0.174;0.143
10;297.000;2.000;7.000;9.000;0.200;0.174
11;301.000;3.000;8.000;9.000;0.261;0.233
12;294.000;1.000;10.000;16.000;0.071;0.031
13;303.000;1.000;10.000;7.000;0.105;0.079
14;304.000;2.000;9.000;6.000;0.211;0.187
15;291.000;2.000;7.000;15.000;0.154;0.121
16;305.000;2.000;9.000;5.000;0.222;0.201
17;296.000;2.000;9.000;14.000;0.148;0.112
18;292.000;0.000;11.000;18.000;0.000;-0.044
19;302.000;3.000;8.000;8.000;0.273;0.247
20;297.000;0.000;9.000;9.000;0.000;-0.029
21;304.000;1.000;10.000;6.000;0.111;0.087
22;306.000;2.000;9.000;4.000;0.235;0.216
23;300.000;1.000;10.000;10.000;0.091;0.059
24;301.000;4.000;7.000;9.000;0.333;0.308
25;299.000;2.000;7.000;7.000;0.222;0.199
max;309.000;4.000;11.000;18.000;0.333;0.308
avg;299.840;1.680;8.920;9.360;0.153;0.125
min;291.000;0.000;7.000;1.000;0.000;-0.044
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;301.000;2.000;9.000;9.000;0.182;0.153
2;301.000;2.000;9.000;9.000;0.182;0.153
3;302.000;0.000;11.000;8.000;0.000;-0.030
4;302.000;4.000;7.000;8.000;0.348;0.324
5;299.000;1.000;8.000;7.000;0.118;0.093
6;299.000;1.000;10.000;11.000;0.087;0.053
7;308.000;0.000;11.000;2.000;0.000;-0.011
8;307.000;1.000;10.000;3.000;0.133;0.117
9;301.000;1.000;10.000;9.000;0.095;0.065
10;299.000;1.000;8.000;7.000;0.118;0.093
11;302.000;1.000;10.000;8.000;0.100;0.071
12;298.000;1.000;10.000;12.000;0.083;0.048
13;302.000;1.000;10.000;8.000;0.100;0.071
14;305.000;2.000;9.000;5.000;0.222;0.201
15;298.000;1.000;8.000;8.000;0.111;0.085
16;308.000;2.000;9.000;2.000;0.267;0.253
17;302.000;2.000;9.000;8.000;0.190;0.163
18;298.000;0.000;11.000;12.000;0.000;-0.037
19;305.000;2.000;9.000;5.000;0.222;0.201
20;299.000;0.000;9.000;7.000;0.000;-0.026
21;302.000;0.000;11.000;8.000;0.000;-0.030
22;305.000;3.000;8.000;5.000;0.316;0.295
23;299.000;1.000;10.000;11.000;0.087;0.053
24;303.000;3.000;8.000;7.000;0.286;0.262
25;303.000;0.000;9.000;3.000;0.000;-0.014
max;308.000;4.000;11.000;12.000;0.348;0.324
avg;301.920;1.280;9.320;7.280;0.130;0.104
min;298.000;0.000;7.000;2.000;0.000;-0.037
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;0.000;11.000;23.000;0.000;-0.049
2;278.000;1.000;10.000;32.000;0.045;-0.006
3;285.000;2.000;9.000;25.000;0.105;0.059
4;289.000;0.000;11.000;21.000;0.000;-0.047
5;290.000;1.000;8.000;16.000;0.077;0.041
6;288.000;2.000;9.000;22.000;0.114;0.071
7;279.000;1.000;10.000;31.000;0.047;-0.005
8;298.000;1.000;10.000;12.000;0.083;0.048
9;272.000;0.000;11.000;38.000;0.000;-0.056
10;281.000;1.000;8.000;25.000;0.057;0.015
11;296.000;1.000;10.000;14.000;0.077;0.039
12;266.000;1.000;10.000;44.000;0.036;-0.020
13;292.000;2.000;9.000;18.000;0.129;0.089
14;278.000;0.000;11.000;32.000;0.000;-0.054
15;283.000;0.000;9.000;23.000;0.000;-0.043
16;278.000;0.000;11.000;32.000;0.000;-0.054
17;287.000;2.000;9.000;23.000;0.111;0.067
18;287.000;1.000;10.000;23.000;0.057;0.011
19;288.000;0.000;11.000;22.000;0.000;-0.048
20;278.000;0.000;9.000;28.000;0.000;-0.045
21;292.000;2.000;9.000;18.000;0.129;0.089
22;288.000;2.000;9.000;22.000;0.114;0.071
23;276.000;0.000;11.000;34.000;0.000;-0.055
24;281.000;0.000;11.000;29.000;0.000;-0.052
25;288.000;0.000;9.000;18.000;0.000;-0.040
max;298.000;2.000;11.000;44.000;0.129;0.089
avg;284.200;0.800;9.800;25.000;0.047;0.001
