LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;270.000;8.000;3.000;17.000;0.444;0.414;0.264
2;259.000;7.000;4.000;28.000;0.304;0.263;0.255
3;260.000;5.000;6.000;27.000;0.233;0.188;0.134
4;270.000;4.000;7.000;17.000;0.250;0.212;0.214
5;252.000;7.000;0.000;33.000;0.298;0.268;0.205
6;272.000;5.000;6.000;15.000;0.323;0.289;0.230
7;236.000;5.000;6.000;51.000;0.149;0.093;0.091
8;261.000;6.000;5.000;26.000;0.279;0.237;0.179
9;264.000;8.000;3.000;23.000;0.381;0.345;0.222
10;253.000;1.000;6.000;32.000;0.050;0.011;0.071
11;268.000;5.000;6.000;19.000;0.286;0.248;0.191
12;270.000;8.000;3.000;17.000;0.444;0.414;0.345
13;254.000;4.000;7.000;33.000;0.167;0.116;0.169
14;237.000;5.000;6.000;50.000;0.152;0.096;0.091
15;240.000;2.000;5.000;45.000;0.074;0.034;0.044
16;220.000;10.000;1.000;67.000;0.227;0.174;0.285
17;259.000;1.000;10.000;28.000;0.050;-0.004;0.047
18;258.000;4.000;7.000;29.000;0.182;0.134;0.098
19;258.000;5.000;6.000;29.000;0.222;0.176;0.156
20;229.000;2.000;5.000;56.000;0.062;0.020;0.036
21;270.000;5.000;6.000;17.000;0.303;0.267;0.172
22;262.000;4.000;7.000;25.000;0.200;0.155;0.149
23;232.000;8.000;3.000;55.000;0.216;0.164;0.414
24;244.000;9.000;2.000;43.000;0.286;0.239;0.187
25;241.000;5.000;2.000;44.000;0.179;0.143;0.118
max;272.000;10.000;10.000;67.000;0.444;0.414;0.414
avg;253.560;5.320;4.880;33.040;0.230;0.188;0.175
min;220.000;1.000;0.000;15.000;0.050;-0.004;0.036
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;278.000;5.000;6.000;9.000;0.400;0.374
2;270.000;7.000;4.000;17.000;0.400;0.368
3;280.000;4.000;7.000;7.000;0.364;0.339
4;277.000;5.000;6.000;10.000;0.385;0.357
5;278.000;3.000;4.000;7.000;0.353;0.334
6;275.000;6.000;5.000;12.000;0.414;0.386
7;269.000;6.000;5.000;18.000;0.343;0.308
8;274.000;8.000;3.000;13.000;0.500;0.475
9;278.000;4.000;7.000;9.000;0.333;0.306
10;276.000;1.000;6.000;9.000;0.118;0.092
11;279.000;4.000;7.000;8.000;0.348;0.322
12;273.000;7.000;4.000;14.000;0.437;0.409
13;277.000;4.000;7.000;10.000;0.320;0.291
14;270.000;6.000;5.000;17.000;0.353;0.319
15;275.000;4.000;3.000;10.000;0.381;0.361
16;271.000;3.000;8.000;16.000;0.200;0.161
17;278.000;4.000;7.000;9.000;0.333;0.306
18;271.000;2.000;9.000;16.000;0.138;0.097
19;271.000;5.000;6.000;16.000;0.312;0.277
20;279.000;4.000;3.000;6.000;0.471;0.455
21;278.000;3.000;8.000;9.000;0.261;0.231
22;278.000;8.000;3.000;9.000;0.571;0.551
23;275.000;4.000;7.000;12.000;0.296;0.264
24;272.000;4.000;7.000;15.000;0.267;0.231
25;275.000;6.000;1.000;10.000;0.522;0.505
max;280.000;8.000;9.000;18.000;0.571;0.551
avg;275.080;4.680;5.520;11.520;0.353;0.325
min;269.000;1.000;1.000;6.000;0.118;0.092
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;280.000;4.000;7.000;7.000;0.364;0.339
2;271.000;4.000;7.000;16.000;0.258;0.221
3;281.000;2.000;9.000;6.000;0.211;0.185
4;279.000;4.000;7.000;8.000;0.348;0.322
5;281.000;3.000;4.000;4.000;0.429;0.415
6;278.000;4.000;7.000;9.000;0.333;0.306
7;270.000;3.000;8.000;17.000;0.194;0.153
8;279.000;4.000;7.000;8.000;0.348;0.322
9;279.000;3.000;8.000;8.000;0.273;0.245
10;280.000;0.000;7.000;5.000;0.000;-0.020
11;279.000;3.000;8.000;8.000;0.273;0.245
12;275.000;4.000;7.000;12.000;0.296;0.264
13;279.000;3.000;8.000;8.000;0.273;0.245
14;274.000;3.000;8.000;13.000;0.222;0.187
15;280.000;2.000;5.000;5.000;0.286;0.268
16;276.000;2.000;9.000;11.000;0.167;0.132
17;279.000;3.000;8.000;8.000;0.273;0.245
18;275.000;4.000;7.000;12.000;0.296;0.264
19;271.000;4.000;7.000;16.000;0.258;0.221
20;282.000;3.000;4.000;3.000;0.462;0.449
21;283.000;2.000;9.000;4.000;0.235;0.215
22;280.000;6.000;5.000;7.000;0.500;0.479
23;273.000;2.000;9.000;14.000;0.148;0.109
24;276.000;1.000;10.000;11.000;0.087;0.050
25;274.000;4.000;3.000;11.000;0.364;0.342
max;283.000;6.000;10.000;17.000;0.500;0.479
avg;277.360;3.080;7.120;9.240;0.276;0.248
min;270.000;0.000;3.000;3.000;0.000;-0.020
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;283.000;5.000;6.000;4.000;0.500;0.483
2;278.000;6.000;5.000;9.000;0.462;0.438
3;273.000;5.000;6.000;14.000;0.333;0.301
4;279.000;3.000;8.000;8.000;0.273;0.245
5;272.000;4.000;3.000;13.000;0.333;0.310
6;278.000;3.000;8.000;9.000;0.261;0.231
7;262.000;7.000;4.000;25.000;0.326;0.286
8;274.000;6.000;5.000;13.000;0.400;0.371
9;279.000;4.000;7.000;8.000;0.348;0.322
10;278.000;0.000;7.000;7.000;0.000;-0.025
11;274.000;7.000;4.000;13.000;0.452;0.424
12;277.000;4.000;7.000;10.000;0.320;0.291
13;280.000;4.000;7.000;7.000;0.364;0.339
14;263.000;6.000;5.000;24.000;0.293;0.252
15;266.000;4.000;3.000;19.000;0.267;0.239
16;278.000;3.000;8.000;9.000;0.261;0.231
17;277.000;2.000;9.000;10.000;0.174;0.141
18;275.000;2.000;9.000;12.000;0.160;0.124
19;270.000;4.000;7.000;17.000;0.250;0.212
20;276.000;3.000;4.000;9.000;0.316;0.294
21;279.000;5.000;6.000;8.000;0.417;0.392
22;275.000;8.000;3.000;12.000;0.516;0.492
23;275.000;7.000;4.000;12.000;0.467;0.441
24;269.000;2.000;9.000;18.000;0.129;0.085
25;273.000;4.000;3.000;12.000;0.348;0.325
max;283.000;8.000;9.000;25.000;0.516;0.492
avg;274.520;4.320;5.880;12.080;0.319;0.290
min;262.000;0.000;3.000;4.000;0.000;-0.025
