LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;279.000;8.000;1.000;9.000;0.615;0.600;0.932
2;277.000;9.000;0.000;11.000;0.621;0.604;0.701
3;275.000;9.000;0.000;13.000;0.581;0.562;0.582
4;278.000;8.000;1.000;10.000;0.593;0.575;0.688
5;269.000;8.000;0.000;19.000;0.457;0.434;0.646
6;277.000;9.000;0.000;11.000;0.621;0.604;0.776
7;272.000;6.000;3.000;16.000;0.387;0.360;0.309
8;278.000;9.000;0.000;10.000;0.643;0.628;0.681
9;271.000;9.000;0.000;17.000;0.514;0.491;0.850
10;267.000;8.000;0.000;21.000;0.432;0.407;0.601
11;271.000;9.000;0.000;17.000;0.514;0.491;0.672
12;261.000;9.000;0.000;27.000;0.400;0.369;0.535
13;281.000;9.000;0.000;7.000;0.720;0.709;0.881
14;271.000;9.000;0.000;17.000;0.514;0.491;0.711
15;262.000;8.000;0.000;26.000;0.381;0.353;0.314
16;267.000;9.000;0.000;21.000;0.462;0.435;0.533
17;257.000;9.000;0.000;31.000;0.367;0.334;0.546
18;275.000;9.000;0.000;13.000;0.581;0.562;0.640
19;282.000;9.000;0.000;6.000;0.750;0.740;0.682
20;268.000;8.000;0.000;20.000;0.444;0.420;0.558
21;261.000;9.000;0.000;27.000;0.400;0.369;0.743
22;279.000;9.000;0.000;9.000;0.667;0.653;0.874
23;271.000;9.000;0.000;17.000;0.514;0.491;0.672
24;271.000;8.000;1.000;17.000;0.471;0.446;0.651
25;268.000;7.000;1.000;20.000;0.400;0.374;0.350
max;282.000;9.000;3.000;31.000;0.750;0.740;0.932
avg;271.520;8.520;0.280;16.480;0.522;0.500;0.645
min;257.000;6.000;0.000;6.000;0.367;0.334;0.309
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;284.000;6.000;3.000;4.000;0.632;0.619
2;282.000;9.000;0.000;6.000;0.750;0.740
3;280.000;9.000;0.000;8.000;0.692;0.680
4;286.000;6.000;3.000;2.000;0.706;0.697
5;281.000;6.000;2.000;7.000;0.571;0.557
6;281.000;9.000;0.000;7.000;0.720;0.709
7;278.000;7.000;2.000;10.000;0.538;0.519
8;284.000;7.000;2.000;4.000;0.700;0.690
9;282.000;9.000;0.000;6.000;0.750;0.740
10;286.000;5.000;3.000;2.000;0.667;0.658
11;282.000;7.000;2.000;6.000;0.636;0.623
12;279.000;7.000;2.000;9.000;0.560;0.542
13;286.000;8.000;1.000;2.000;0.842;0.837
14;279.000;5.000;4.000;9.000;0.435;0.413
15;280.000;7.000;1.000;8.000;0.609;0.594
16;280.000;8.000;1.000;8.000;0.640;0.625
17;276.000;7.000;2.000;12.000;0.500;0.479
18;280.000;7.000;2.000;8.000;0.583;0.567
19;287.000;6.000;3.000;1.000;0.750;0.743
20;283.000;7.000;1.000;5.000;0.700;0.690
21;275.000;9.000;0.000;13.000;0.581;0.562
22;285.000;7.000;2.000;3.000;0.737;0.728
23;282.000;8.000;1.000;6.000;0.696;0.684
24;283.000;6.000;3.000;5.000;0.600;0.586
25;277.000;8.000;0.000;11.000;0.593;0.576
max;287.000;9.000;4.000;13.000;0.842;0.837
avg;281.520;7.200;1.600;6.480;0.647;0.634
min;275.000;5.000;0.000;1.000;0.435;0.413
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;284.000;6.000;3.000;4.000;0.632;0.619
2;282.000;8.000;1.000;6.000;0.696;0.684
3;280.000;7.000;2.000;8.000;0.583;0.567
4;286.000;6.000;3.000;2.000;0.706;0.697
5;279.000;7.000;1.000;9.000;0.583;0.568
