LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;123.000;9.000;0.000;15.000;0.545;0.501;0.904
2;131.000;6.000;3.000;7.000;0.545;0.510;0.542
3;129.000;9.000;0.000;9.000;0.667;0.637;0.833
4;127.000;7.000;2.000;11.000;0.519;0.476;0.527
5;126.000;5.000;1.000;11.000;0.455;0.419;0.487
6;123.000;8.000;1.000;15.000;0.500;0.452;0.674
7;130.000;8.000;1.000;8.000;0.640;0.609;0.771
8;132.000;7.000;2.000;6.000;0.636;0.608;0.703
9;125.000;8.000;1.000;13.000;0.533;0.490;0.690
10;128.000;5.000;1.000;9.000;0.500;0.469;0.569
11;127.000;7.000;2.000;11.000;0.519;0.476;0.593
12;131.000;9.000;0.000;7.000;0.720;0.696;0.906
13;132.000;5.000;4.000;6.000;0.500;0.464;0.693
14;117.000;8.000;1.000;21.000;0.421;0.361;0.649
15;124.000;5.000;1.000;13.000;0.417;0.377;0.553
16;128.000;5.000;4.000;10.000;0.417;0.368;0.534
17;124.000;7.000;2.000;14.000;0.467;0.417;0.711
18;129.000;8.000;1.000;9.000;0.615;0.582;0.692
19;123.000;9.000;0.000;15.000;0.545;0.501;0.928
20;130.000;5.000;1.000;7.000;0.556;0.529;0.588
21;121.000;8.000;1.000;17.000;0.471;0.418;0.734
22;128.000;9.000;0.000;10.000;0.643;0.610;0.738
23;126.000;6.000;3.000;12.000;0.444;0.395;0.526
24;130.000;8.000;1.000;8.000;0.640;0.609;0.931
25;127.000;6.000;0.000;10.000;0.545;0.516;0.797
max;132.000;9.000;4.000;21.000;0.720;0.696;0.931
avg;126.840;7.080;1.320;10.960;0.538;0.500;0.691
min;117.000;5.000;0.000;6.000;0.417;0.361;0.487
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;136.000;1.000;8.000;2.000;0.167;0.140
2;135.000;3.000;6.000;3.000;0.400;0.369
3;135.000;2.000;7.000;3.000;0.286;0.253
4;135.000;3.000;6.000;3.000;0.400;0.369
5;135.000;2.000;4.000;2.000;0.400;0.379
6;137.000;4.000;5.000;1.000;0.571;0.552
7;137.000;3.000;6.000;1.000;0.462;0.440
8;131.000;1.000;8.000;7.000;0.118;0.064
9;132.000;2.000;7.000;6.000;0.235;0.189
10;134.000;3.000;3.000;3.000;0.500;0.478
11;134.000;1.000;8.000;4.000;0.143;0.104
12;136.000;5.000;4.000;2.000;0.625;0.604
13;133.000;1.000;8.000;5.000;0.133;0.089
14;134.000;2.000;7.000;4.000;0.267;0.229
15;133.000;1.000;5.000;4.000;0.182;0.149
16;134.000;3.000;6.000;4.000;0.375;0.340
17;132.000;4.000;5.000;6.000;0.421;0.381
18;136.000;2.000;7.000;2.000;0.308;0.281
19;134.000;2.000;7.000;4.000;0.267;0.229
20;131.000;2.000;4.000;6.000;0.286;0.250
21;135.000;1.000;8.000;3.000;0.154;0.121
22;134.000;1.000;8.000;4.000;0.143;0.104
23;136.000;2.000;7.000;2.000;0.308;0.281
24;133.000;4.000;5.000;5.000;0.444;0.408
25;134.000;3.000;3.000;3.000;0.500;0.478
max;137.000;5.000;8.000;7.000;0.625;0.604
avg;134.240;2.320;6.080;3.560;0.324;0.291
min;131.000;1.000;3.000;1.000;0.118;0.064
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;136.000;4.000;5.000;2.000;0.533;0.509
2;135.000;2.000;7.000;3.000;0.286;0.253
3;133.000;4.000;5.000;5.000;0.444;0.408
4;134.000;4.000;5.000;4.000;0.471;0.438
5;134.000;2.000;4.000;3.000;0.364;0.338
