LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;404.000;12.000;0.000;52.000;0.316;0.285;0.462
2;406.000;10.000;2.000;50.000;0.278;0.246;0.634
3;419.000;8.000;4.000;37.000;0.281;0.250;0.329
4;411.000;11.000;1.000;45.000;0.324;0.294;0.571
5;417.000;7.000;3.000;39.000;0.250;0.223;0.289
6;412.000;11.000;1.000;44.000;0.328;0.299;0.629
7;397.000;12.000;0.000;59.000;0.289;0.257;0.497
8;406.000;9.000;3.000;50.000;0.254;0.220;0.254
9;423.000;9.000;3.000;33.000;0.333;0.306;0.520
10;415.000;6.000;4.000;41.000;0.211;0.182;0.421
11;412.000;9.000;3.000;44.000;0.277;0.245;0.522
12;406.000;8.000;4.000;50.000;0.229;0.194;0.326
13;421.000;11.000;1.000;35.000;0.379;0.353;0.541
14;409.000;9.000;3.000;47.000;0.265;0.232;0.314
15;405.000;10.000;0.000;51.000;0.282;0.254;0.647
16;402.000;11.000;1.000;54.000;0.286;0.253;0.593
17;396.000;11.000;1.000;60.000;0.265;0.231;0.635
18;420.000;10.000;2.000;36.000;0.345;0.317;0.419
19;413.000;10.000;2.000;43.000;0.308;0.277;0.493
20;422.000;8.000;2.000;34.000;0.308;0.283;0.365
21;400.000;10.000;2.000;56.000;0.256;0.223;0.380
22;417.000;10.000;2.000;39.000;0.328;0.299;0.354
23;417.000;10.000;2.000;39.000;0.328;0.299;0.368
24;408.000;11.000;1.000;48.000;0.310;0.279;0.707
25;408.000;9.000;1.000;48.000;0.269;0.241;0.402
max;423.000;12.000;4.000;60.000;0.379;0.353;0.707
avg;410.640;9.680;1.920;45.360;0.292;0.262;0.467
min;396.000;6.000;0.000;33.000;0.211;0.182;0.254
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;454.000;1.000;11.000;2.000;0.133;0.124
2;453.000;2.000;10.000;3.000;0.235;0.224
3;453.000;0.000;12.000;3.000;0.000;-0.010
4;451.000;4.000;8.000;5.000;0.381;0.367
5;454.000;1.000;9.000;2.000;0.154;0.145
6;450.000;2.000;10.000;6.000;0.200;0.183
7;450.000;4.000;8.000;6.000;0.364;0.348
8;453.000;3.000;9.000;3.000;0.333;0.322
9;453.000;0.000;12.000;3.000;0.000;-0.010
10;454.000;3.000;7.000;2.000;0.400;0.391
11;453.000;3.000;9.000;3.000;0.333;0.322
12;451.000;4.000;8.000;5.000;0.381;0.367
13;454.000;4.000;8.000;2.000;0.444;0.435
14;453.000;0.000;12.000;3.000;0.000;-0.010
15;454.000;4.000;6.000;2.000;0.500;0.492
16;455.000;2.000;10.000;1.000;0.267;0.259
17;453.000;3.000;9.000;3.000;0.333;0.322
18;452.000;2.000;10.000;4.000;0.222;0.209
19;452.000;1.000;11.000;4.000;0.118;0.104
20;449.000;3.000;7.000;7.000;0.300;0.285
21;454.000;0.000;12.000;2.000;0.000;-0.007
22;451.000;0.000;12.000;5.000;0.000;-0.015
23;454.000;3.000;9.000;2.000;0.353;0.343
24;451.000;0.000;12.000;5.000;0.000;-0.015
25;450.000;4.000;6.000;6.000;0.400;0.387
max;455.000;4.000;12.000;7.000;0.500;0.492
avg;452.440;2.120;9.480;3.560;0.234;0.222
min;449.000;0.000;6.000;1.000;0.000;-0.015
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;445.000;4.000;8.000;11.000;0.296;0.276
2;444.000;5.000;7.000;12.000;0.345;0.325
3;441.000;4.000;8.000;15.000;0.258;0.234
4;442.000;4.000;8.000;14.000;0.267;0.243
5;444.000;2.000;8.000;12.000;0.167;0.145
6;440.000;3.000;9.000;16.000;0.194;0.167
7;440.000;8.000;4.000;16.000;0.444;0.425
8;442.000;3.000;9.000;14.000;0.207;0.182
9;449.000;4.000;8.000;7.000;0.348;0.331
10;437.000;4.000;6.000;19.000;0.242;0.219
11;441.000;4.000;8.000;15.000;0.258;0.234
12;439.000;5.000;7.000;17.000;0.294;0.270
13;441.000;8.000;4.000;15.000;0.457;0.438
14;451.000;1.000;11.000;5.000;0.111;0.096
15;445.000;6.000;4.000;11.000;0.444;0.429
16;447.000;6.000;6.000;9.000;0.444;0.428
17;442.000;5.000;7.000;14.000;0.323;0.301
18;445.000;4.000;8.000;11.000;0.296;0.276
19;444.000;2.000;10.000;12.000;0.154;0.130
20;445.000;4.000;6.000;11.000;0.320;0.302
21;443.000;3.000;9.000;13.000;0.214;0.191
22;444.000;1.000;11.000;12.000;0.080;0.055
23;447.000;5.000;7.000;9.000;0.385;0.367
24;440.000;5.000;7.000;16.000;0.303;0.280
25;443.000;6.000;4.000;13.000;0.414;0.397
max;451.000;8.000;11.000;19.000;0.457;0.438
avg;443.240;4.240;7.360;12.760;0.291;0.270
min;437.000;1.000;4.000;5.000;0.080;0.055
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;423.000;8.000;4.000;33.000;0.302;0.273
2;413.000;10.000;2.000;43.000;0.308;0.277
3;421.000;7.000;5.000;35.000;0.259;0.228
4;412.000;10.000;2.000;44.000;0.303;0.273
5;420.000;4.000;6.000;36.000;0.160;0.130
6;416.000;9.000;3.000;40.000;0.295;0.265
7;403.000;11.000;1.000;53.000;0.289;0.257
8;416.000;8.000;4.000;40.000;0.267;0.235
9;424.000;6.000;6.000;32.000;0.240;0.209
10;422.000;8.000;2.000;34.000;0.308;0.283
11;417.000;10.000;2.000;39.000;0.328;0.299
12;424.000;9.000;3.000;32.000;0.340;0.312
13;419.000;8.000;4.000;37.000;0.281;0.250
14;428.000;7.000;5.000;28.000;0.298;0.270
15;427.000;8.000;2.000;29.000;0.340;0.317
16;419.000;11.000;1.000;37.000;0.367;0.340
17;415.000;10.000;2.000;41.000;0.317;0.288
18;425.000;7.000;5.000;31.000;0.280;0.251
19;423.000;6.000;6.000;33.000;0.235;0.204
20;426.000;7.000;3.000;30.000;0.298;0.273
21;421.000;6.000;6.000;35.000;0.226;0.194
22;414.000;10.000;2.000;42.000;0.312;0.283
23;424.000;9.000;3.000;32.000;0.340;0.312
24;417.000;8.000;4.000;39.000;0.271;0.240
25;417.000;8.000;2.000;39.000;0.281;0.254
max;428.000;11.000;6.000;53.000;0.367;0.340
avg;419.440;8.200;3.400;36.560;0.290;0.261
min;403.000;4.000;1.000;28.000;0.160;0.130
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;419.000;10.000;2.000;37.000;0.339;0.311
2;414.000;11.000;1.000;42.000;0.338;0.310
3;442.000;8.000;4.000;14.000;0.471;0.452
4;408.000;11.000;1.000;48.000;0.310;0.279
5;412.000;8.000;2.000;44.000;0.258;0.230
6;417.000;11.000;1.000;39.000;0.355;0.327
7;400.000;12.000;0.000;56.000;0.300;0.268
8;399.000;10.000;2.000;57.000;0.253;0.219
9;424.000;8.000;4.000;32.000;0.308;0.279
10;415.000;7.000;3.000;41.000;0.241;0.213
11;402.000;10.000;2.000;54.000;0.263;0.230
12;431.000;6.000;6.000;25.000;0.279;0.251
13;422.000;10.000;2.000;34.000;0.357;0.330
14;418.000;9.000;3.000;38.000;0.305;0.275
15;411.000;9.000;1.000;45.000;0.281;0.254
16;407.000;11.000;1.000;49.000;0.306;0.275
17;407.000;11.000;1.000;49.000;0.306;0.275
18;412.000;9.000;3.000;44.000;0.277;0.245
19;419.000;10.000;2.000;37.000;0.339;0.311
20;428.000;6.000;4.000;28.000;0.273;0.248
21;406.000;8.000;4.000;50.000;0.229;0.194
22;421.000;9.000;3.000;35.000;0.321;0.293
23;409.000;10.000;2.000;47.000;0.290;0.258
24;412.000;11.000;1.000;44.000;0.328;0.299
25;426.000;8.000;2.000;30.000;0.333;0.310
max;442.000;12.000;6.000;57.000;0.471;0.452
avg;415.240;9.320;2.280;40.760;0.306;0.278
min;399.000;6.000;0.000;14.000;0.229;0.194
