LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;285.000;13.000;0.000;48.000;0.351;0.309;0.356
2;295.000;12.000;1.000;38.000;0.381;0.342;0.301
3;283.000;13.000;0.000;50.000;0.342;0.298;0.410
4;293.000;13.000;0.000;40.000;0.394;0.355;0.359
5;300.000;11.000;2.000;31.000;0.400;0.363;0.437
6;292.000;13.000;0.000;41.000;0.388;0.349;0.292
7;277.000;13.000;0.000;56.000;0.317;0.271;0.265
8;294.000;11.000;2.000;39.000;0.349;0.308;0.325
9;298.000;13.000;0.000;35.000;0.426;0.390;0.288
10;288.000;13.000;0.000;43.000;0.377;0.336;0.524
11;294.000;12.000;1.000;39.000;0.375;0.335;0.266
12;296.000;13.000;0.000;37.000;0.413;0.375;0.396
13;279.000;13.000;0.000;54.000;0.325;0.280;0.333
14;297.000;13.000;0.000;36.000;0.419;0.383;0.384
15;295.000;11.000;2.000;36.000;0.367;0.327;0.382
16;295.000;12.000;1.000;38.000;0.381;0.342;0.333
17;290.000;12.000;1.000;43.000;0.353;0.311;0.521
18;288.000;13.000;0.000;45.000;0.366;0.325;0.311
19;295.000;12.000;1.000;38.000;0.381;0.342;0.290
20;286.000;13.000;0.000;45.000;0.366;0.324;0.325
21;272.000;13.000;0.000;61.000;0.299;0.251;0.333
22;299.000;10.000;3.000;34.000;0.351;0.311;0.361
23;304.000;12.000;1.000;29.000;0.444;0.411;0.334
24;284.000;13.000;0.000;49.000;0.347;0.303;0.281
25;292.000;13.000;0.000;39.000;0.400;0.361;0.468
max;304.000;13.000;3.000;61.000;0.444;0.411;0.524
avg;290.840;12.400;0.600;41.760;0.373;0.332;0.355
min;272.000;10.000;0.000;29.000;0.299;0.251;0.265
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;12.000;1.000;1.000;0.923;0.920
2;333.000;11.000;2.000;0.000;0.917;0.914
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;10.000;3.000;0.000;0.870;0.865
5;330.000;11.000;2.000;1.000;0.880;0.875
6;333.000;11.000;2.000;0.000;0.917;0.914
7;331.000;12.000;1.000;2.000;0.889;0.884
8;332.000;11.000;2.000;1.000;0.880;0.876
9;333.000;10.000;3.000;0.000;0.870;0.865
10;331.000;13.000;0.000;0.000;1.000;1.000
11;332.000;9.000;4.000;1.000;0.783;0.775
12;333.000;11.000;2.000;0.000;0.917;0.914
13;333.000;12.000;1.000;0.000;0.960;0.959
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;10.000;3.000;0.000;0.870;0.865
16;333.000;12.000;1.000;0.000;0.960;0.959
17;333.000;12.000;1.000;0.000;0.960;0.959
18;332.000;13.000;0.000;1.000;0.963;0.961
19;332.000;7.000;6.000;1.000;0.667;0.657
20;331.000;11.000;2.000;0.000;0.917;0.914
21;333.000;13.000;0.000;0.000;1.000;1.000
22;333.000;8.000;5.000;0.000;0.762;0.755
23;333.000;13.000;0.000;0.000;1.000;1.000
24;332.000;12.000;1.000;1.000;0.923;0.920
25;331.000;12.000;1.000;0.000;0.960;0.958
max;333.000;13.000;6.000;2.000;1.000;1.000
avg;332.240;11.240;1.760;0.360;0.910;0.907
min;330.000;7.000;0.000;0.000;0.667;0.657
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;331.000;13.000;0.000;2.000;0.929;0.926
2;333.000;13.000;0.000;0.000;1.000;1.000
3;332.000;12.000;1.000;1.000;0.923;0.920
4;333.000;13.000;0.000;0.000;1.000;1.000
5;328.000;12.000;1.000;3.000;0.857;0.851
