LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;176.000;9.000;5.000;156.000;0.101;0.028;0.059
2;180.000;10.000;4.000;152.000;0.114;0.042;0.083
3;175.000;9.000;5.000;157.000;0.100;0.027;0.058
4;181.000;11.000;3.000;151.000;0.125;0.055;0.076
5;179.000;9.000;4.000;152.000;0.103;0.036;0.057
6;163.000;10.000;4.000;169.000;0.104;0.031;0.065
7;183.000;10.000;4.000;149.000;0.116;0.045;0.059
8;191.000;10.000;4.000;141.000;0.121;0.051;0.071
9;192.000;6.000;8.000;140.000;0.075;0.001;0.051
10;187.000;8.000;5.000;144.000;0.097;0.029;0.074
11;169.000;11.000;3.000;163.000;0.117;0.046;0.076
12;188.000;11.000;3.000;144.000;0.130;0.060;0.066
13;181.000;8.000;6.000;151.000;0.092;0.020;0.056
14;184.000;12.000;2.000;148.000;0.138;0.069;0.081
15;176.000;8.000;5.000;155.000;0.091;0.022;0.049
16;182.000;11.000;3.000;150.000;0.126;0.055;0.067
17;180.000;8.000;6.000;152.000;0.092;0.019;0.062
18;173.000;10.000;4.000;159.000;0.109;0.037;0.070
19;194.000;8.000;6.000;138.000;0.100;0.028;0.055
20;180.000;11.000;2.000;151.000;0.126;0.060;0.080
21;183.000;6.000;8.000;149.000;0.071;-0.003;0.050
22;189.000;10.000;4.000;143.000;0.120;0.049;0.069
23;164.000;11.000;3.000;168.000;0.114;0.042;0.073
24;178.000;11.000;3.000;154.000;0.123;0.052;0.059
25;179.000;9.000;4.000;152.000;0.103;0.036;0.063
max;194.000;12.000;8.000;169.000;0.138;0.069;0.083
avg;180.280;9.480;4.320;151.520;0.108;0.038;0.065
min;163.000;6.000;2.000;138.000;0.071;-0.003;0.049
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;10.000;4.000;0.000;0.833;0.828
2;332.000;9.000;5.000;0.000;0.783;0.775
3;330.000;8.000;6.000;2.000;0.667;0.655
4;331.000;4.000;10.000;1.000;0.421;0.408
5;329.000;4.000;9.000;2.000;0.421;0.407
6;331.000;9.000;5.000;1.000;0.750;0.741
7;332.000;9.000;5.000;0.000;0.783;0.775
8;332.000;7.000;7.000;0.000;0.667;0.657
9;332.000;4.000;10.000;0.000;0.444;0.434
10;331.000;6.000;7.000;0.000;0.632;0.623
11;332.000;7.000;7.000;0.000;0.667;0.657
12;330.000;6.000;8.000;2.000;0.545;0.532
13;332.000;7.000;7.000;0.000;0.667;0.657
14;331.000;8.000;6.000;1.000;0.696;0.686
15;331.000;8.000;5.000;0.000;0.762;0.755
16;332.000;9.000;5.000;0.000;0.783;0.775
17;332.000;3.000;11.000;0.000;0.353;0.344
18;331.000;6.000;8.000;1.000;0.571;0.560
19;332.000;7.000;7.000;0.000;0.667;0.657
20;330.000;5.000;8.000;1.000;0.526;0.515
21;329.000;5.000;9.000;3.000;0.455;0.438
22;332.000;8.000;6.000;0.000;0.727;0.719
23;330.000;10.000;4.000;2.000;0.769;0.760
24;332.000;6.000;8.000;0.000;0.600;0.590
25;330.000;7.000;6.000;1.000;0.667;0.657
max;332.000;10.000;11.000;3.000;0.833;0.828
avg;331.120;6.880;6.920;0.680;0.634;0.624
min;329.000;3.000;4.000;0.000;0.353;0.344
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;10.000;4.000;2.000;0.769;0.760
2;330.000;10.000;4.000;2.000;0.769;0.760
3;331.000;8.000;6.000;1.000;0.696;0.686
4;330.000;7.000;7.000;2.000;0.609;0.596
5;328.000;10.000;3.000;3.000;0.769;0.760
6;331.000;10.000;4.000;1.000;0.800;0.793
7;330.000;11.000;3.000;2.000;0.815;0.807
8;332.000;6.000;8.000;0.000;0.600;0.590
9;331.000;10.000;4.000;1.000;0.800;0.793
10;328.000;10.000;3.000;3.000;0.769;0.760
11;331.000;11.000;3.000;1.000;0.846;0.840
12;330.000;14.000;0.000;2.000;0.933;0.930
13;330.000;5.000;9.000;2.000;0.476;0.462
14;332.000;7.000;7.000;0.000;0.667;0.657
15;328.000;9.000;4.000;3.000;0.720;0.709
16;332.000;9.000;5.000;0.000;0.783;0.775
17;330.000;7.000;7.000;2.000;0.609;0.596
18;330.000;9.000;5.000;2.000;0.720;0.710
19;330.000;10.000;4.000;2.000;0.769;0.760
20;329.000;5.000;8.000;2.000;0.500;0.486
21;328.000;8.000;6.000;4.000;0.615;0.600
22;330.000;6.000;8.000;2.000;0.545;0.532
23;329.000;9.000;5.000;3.000;0.692;0.680
24;330.000;9.000;5.000;2.000;0.720;0.710
25;331.000;10.000;3.000;0.000;0.870;0.865
max;332.000;14.000;9.000;4.000;0.933;0.930
avg;330.040;8.800;5.000;1.760;0.714;0.705
min;328.000;5.000;0.000;0.000;0.476;0.462
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;311.000;13.000;1.000;21.000;0.542;0.514
2;303.000;13.000;1.000;29.000;0.464;0.430
3;303.000;12.000;2.000;29.000;0.436;0.400
4;317.000;14.000;0.000;15.000;0.651;0.631
5;312.000;11.000;2.000;19.000;0.512;0.484
6;320.000;12.000;2.000;12.000;0.632;0.612
7;302.000;13.000;1.000;30.000;0.456;0.421
8;309.000;11.000;3.000;23.000;0.458;0.425
9;315.000;12.000;2.000;17.000;0.558;0.533
10;304.000;13.000;0.000;27.000;0.491;0.460
11;320.000;13.000;1.000;12.000;0.667;0.648
12;319.000;14.000;0.000;13.000;0.683;0.665
13;320.000;12.000;2.000;12.000;0.632;0.612
14;316.000;14.000;0.000;16.000;0.636;0.615
15;277.000;12.000;1.000;54.000;0.304;0.257
16;328.000;14.000;0.000;4.000;0.875;0.869
17;312.000;14.000;0.000;20.000;0.583;0.558
18;302.000;14.000;0.000;30.000;0.483;0.449
19;307.000;14.000;0.000;25.000;0.528;0.498
20;304.000;12.000;1.000;27.000;0.462;0.429
21;307.000;12.000;2.000;25.000;0.471;0.438
22;322.000;14.000;0.000;10.000;0.737;0.723
23;302.000;13.000;1.000;30.000;0.456;0.421
24;308.000;13.000;1.000;24.000;0.510;0.479
25;321.000;13.000;0.000;10.000;0.722;0.708
max;328.000;14.000;3.000;54.000;0.875;0.869
avg;310.440;12.880;0.920;21.360;0.558;0.531
min;277.000;11.000;0.000;4.000;0.304;0.257
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;328.000;14.000;0.000;4.000;0.875;0.869
2;326.000;12.000;2.000;6.000;0.750;0.738
3;327.000;12.000;2.000;5.000;0.774;0.764
4;323.000;11.000;3.000;9.000;0.647;0.629
5;324.000;11.000;2.000;7.000;0.710;0.696
6;325.000;12.000;2.000;7.000;0.727;0.714
7;328.000;13.000;1.000;4.000;0.839;0.831
8;327.000;13.000;1.000;5.000;0.813;0.804
9;326.000;9.000;5.000;6.000;0.621;0.604
10;327.000;8.000;5.000;4.000;0.640;0.626
11;327.000;12.000;2.000;5.000;0.774;0.764
12;325.000;11.000;3.000;7.000;0.688;0.673
13;330.000;8.000;6.000;2.000;0.667;0.655
14;329.000;11.000;3.000;3.000;0.786;0.777
15;326.000;11.000;2.000;5.000;0.759;0.748
16;328.000;12.000;2.000;4.000;0.800;0.791
17;327.000;8.000;6.000;5.000;0.593;0.576
18;324.000;12.000;2.000;8.000;0.706;0.691
19;330.000;9.000;5.000;2.000;0.720;0.710
20;327.000;10.000;3.000;4.000;0.741;0.730
21;328.000;12.000;2.000;4.000;0.800;0.791
22;331.000;11.000;3.000;1.000;0.846;0.840
23;326.000;11.000;3.000;6.000;0.710;0.696
24;330.000;9.000;5.000;2.000;0.720;0.710
25;325.000;13.000;0.000;6.000;0.813;0.804
max;331.000;14.000;6.000;9.000;0.875;0.869
avg;326.960;11.000;2.800;4.840;0.741;0.729
min;323.000;8.000;0.000;1.000;0.593;0.576
