LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;171.000;4.000;5.000;34.000;0.170;0.110;0.086
2;155.000;8.000;1.000;50.000;0.239;0.179;0.339
3;176.000;5.000;4.000;29.000;0.233;0.178;0.336
4;180.000;9.000;0.000;25.000;0.419;0.377;0.673
5;171.000;4.000;3.000;32.000;0.186;0.138;0.281
6;168.000;7.000;2.000;37.000;0.264;0.209;0.424
7;172.000;6.000;3.000;33.000;0.250;0.195;0.361
8;175.000;6.000;3.000;30.000;0.267;0.214;0.228
9;185.000;5.000;4.000;20.000;0.294;0.248;0.290
10;165.000;7.000;0.000;38.000;0.269;0.224;0.370
11;187.000;7.000;2.000;18.000;0.412;0.373;0.724
12;164.000;7.000;2.000;41.000;0.246;0.188;0.203
13;169.000;7.000;2.000;36.000;0.269;0.215;0.434
14;182.000;5.000;4.000;23.000;0.270;0.221;0.284
15;162.000;6.000;1.000;41.000;0.222;0.174;0.239
16;167.000;8.000;1.000;38.000;0.291;0.237;0.221
17;182.000;7.000;2.000;23.000;0.359;0.315;0.561
18;167.000;5.000;4.000;38.000;0.192;0.132;0.199
19;170.000;9.000;0.000;35.000;0.340;0.290;0.379
20;171.000;6.000;1.000;32.000;0.267;0.223;0.624
21;173.000;5.000;4.000;32.000;0.217;0.161;0.204
22;172.000;8.000;1.000;33.000;0.320;0.270;0.439
23;177.000;9.000;0.000;28.000;0.391;0.347;0.446
24;180.000;5.000;4.000;25.000;0.256;0.205;0.188
25;163.000;5.000;2.000;40.000;0.192;0.143;0.326
max;187.000;9.000;5.000;50.000;0.419;0.377;0.724
avg;172.160;6.400;2.200;32.440;0.273;0.223;0.354
min;155.000;4.000;0.000;18.000;0.170;0.110;0.086
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;199.000;0.000;9.000;6.000;0.000;-0.035
2;201.000;1.000;8.000;4.000;0.143;0.116
3;203.000;0.000;9.000;2.000;0.000;-0.016
4;204.000;1.000;8.000;1.000;0.182;0.169
5;198.000;0.000;7.000;5.000;0.000;-0.029
6;202.000;1.000;8.000;3.000;0.154;0.131
7;203.000;0.000;9.000;2.000;0.000;-0.016
8;203.000;0.000;9.000;2.000;0.000;-0.016
9;203.000;1.000;8.000;2.000;0.167;0.149
10;202.000;0.000;7.000;1.000;0.000;-0.008
11;204.000;0.000;9.000;1.000;0.000;-0.008
12;197.000;2.000;7.000;8.000;0.211;0.174
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;204.000;0.000;9.000;1.000;0.000;-0.008
15;196.000;0.000;7.000;7.000;0.000;-0.034
16;199.000;0.000;9.000;6.000;0.000;-0.035
17;202.000;0.000;9.000;3.000;0.000;-0.021
18;204.000;1.000;8.000;1.000;0.182;0.169
19;202.000;1.000;8.000;3.000;0.154;0.131
20;201.000;0.000;7.000;2.000;0.000;-0.015
21;203.000;1.000;8.000;2.000;0.167;0.149
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;1.000;8.000;0.000;0.200;0.193
24;202.000;0.000;9.000;3.000;0.000;-0.021
25;196.000;0.000;7.000;7.000;0.000;-0.034
max;205.000;2.000;9.000;8.000;0.211;0.193
avg;201.640;0.400;8.200;2.960;0.062;0.043
min;196.000;0.000;7.000;0.000;0.000;-0.035
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;204.000;0.000;9.000;1.000;0.000;-0.008
2;203.000;1.000;8.000;2.000;0.167;0.149
3;205.000;1.000;8.000;0.000;0.200;0.193
4;204.000;2.000;7.000;1.000;0.333;0.319
5;200.000;0.000;7.000;3.000;0.000;-0.020
6;203.000;1.000;8.000;2.000;0.167;0.149
7;203.000;0.000;9.000;2.000;0.000;-0.016
8;205.000;1.000;8.000;0.000;0.200;0.193
9;204.000;1.000;8.000;1.000;0.182;0.169
10;201.000;1.000;6.000;2.000;0.200;0.184
11;205.000;0.000;9.000;0.000;0.000;0.000
12;204.000;3.000;6.000;1.000;0.462;0.447
13;203.000;0.000;9.000;2.000;0.000;-0.016
14;205.000;0.000;9.000;0.000;0.000;0.000
15;198.000;1.000;6.000;5.000;0.154;0.127
16;200.000;0.000;9.000;5.000;0.000;-0.031
17;202.000;1.000;8.000;3.000;0.154;0.131
18;205.000;1.000;8.000;0.000;0.200;0.193
19;203.000;3.000;6.000;2.000;0.429;0.411
20;202.000;0.000;7.000;1.000;0.000;-0.008
21;204.000;1.000;8.000;1.000;0.182;0.169
22;205.000;0.000;9.000;0.000;0.000;0.000
23;205.000;1.000;8.000;0.000;0.200;0.193
24;203.000;0.000;9.000;2.000;0.000;-0.016
25;196.000;2.000;5.000;7.000;0.250;0.221
max;205.000;3.000;9.000;7.000;0.462;0.447
avg;202.880;0.840;7.760;1.720;0.139;0.125
min;196.000;0.000;5.000;0.000;0.000;-0.031
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;175.000;5.000;4.000;30.000;0.227;0.172
2;169.000;6.000;3.000;36.000;0.235;0.178
3;179.000;5.000;4.000;26.000;0.250;0.198
4;184.000;6.000;3.000;21.000;0.333;0.288
5;173.000;5.000;2.000;30.000;0.238;0.193
6;179.000;6.000;3.000;26.000;0.293;0.243
7;176.000;7.000;2.000;29.000;0.311;0.261
8;182.000;5.000;4.000;23.000;0.270;0.221
9;183.000;5.000;4.000;22.000;0.278;0.229
10;174.000;6.000;1.000;29.000;0.286;0.244
11;196.000;7.000;2.000;9.000;0.560;0.535
12;165.000;5.000;4.000;40.000;0.185;0.124
13;171.000;6.000;3.000;34.000;0.245;0.189
14;178.000;6.000;3.000;27.000;0.286;0.235
15;182.000;2.000;5.000;21.000;0.133;0.087
16;178.000;6.000;3.000;27.000;0.286;0.235
17;184.000;4.000;5.000;21.000;0.235;0.185
18;179.000;5.000;4.000;26.000;0.250;0.198
19;177.000;7.000;2.000;28.000;0.318;0.269
20;170.000;4.000;3.000;33.000;0.182;0.133
21;180.000;7.000;2.000;25.000;0.341;0.295
22;175.000;6.000;3.000;30.000;0.267;0.214
23;173.000;7.000;2.000;32.000;0.292;0.240
24;189.000;4.000;5.000;16.000;0.276;0.231
25;173.000;3.000;4.000;30.000;0.150;0.101
max;196.000;7.000;5.000;40.000;0.560;0.535
avg;177.760;5.400;3.200;26.840;0.269;0.220
min;165.000;2.000;1.000;9.000;0.133;0.087
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;185.000;4.000;5.000;20.000;0.242;0.193
2;183.000;6.000;3.000;22.000;0.324;0.278
3;187.000;5.000;4.000;18.000;0.312;0.268
4;194.000;3.000;6.000;11.000;0.261;0.221
5;177.000;4.000;3.000;26.000;0.216;0.171
6;185.000;7.000;2.000;20.000;0.389;0.348
7;188.000;4.000;5.000;17.000;0.267;0.221
8;186.000;4.000;5.000;19.000;0.250;0.202
9;196.000;4.000;5.000;9.000;0.364;0.330
10;177.000;6.000;1.000;26.000;0.308;0.268
11;198.000;7.000;2.000;7.000;0.609;0.588
12;182.000;5.000;4.000;23.000;0.270;0.221
13;186.000;5.000;4.000;19.000;0.303;0.258
14;193.000;5.000;4.000;12.000;0.385;0.349
15;182.000;3.000;4.000;21.000;0.194;0.150
16;189.000;6.000;3.000;16.000;0.387;0.348
17;199.000;4.000;5.000;6.000;0.421;0.394
18;186.000;6.000;3.000;19.000;0.353;0.310
19;183.000;6.000;3.000;22.000;0.324;0.278
20;187.000;4.000;3.000;16.000;0.296;0.260
21;186.000;5.000;4.000;19.000;0.303;0.258
22;184.000;6.000;3.000;21.000;0.333;0.288
23;186.000;6.000;3.000;19.000;0.353;0.310
24;197.000;4.000;5.000;8.000;0.381;0.350
25;178.000;3.000;4.000;25.000;0.171;0.125
max;199.000;7.000;6.000;26.000;0.609;0.588
avg;186.960;4.880;3.720;17.640;0.321;0.279
min;177.000;3.000;1.000;6.000;0.171;0.125
