LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;524.000;27.000;4.000;79.000;0.394;0.345;0.485
2;517.000;28.000;3.000;86.000;0.386;0.335;0.469
3;514.000;25.000;6.000;89.000;0.345;0.290;0.356
4;504.000;27.000;4.000;99.000;0.344;0.288;0.415
5;518.000;25.000;2.000;82.000;0.373;0.327;0.542
6;531.000;24.000;7.000;72.000;0.378;0.328;0.448
7;537.000;25.000;6.000;66.000;0.410;0.363;0.433
8;509.000;30.000;1.000;94.000;0.387;0.335;0.570
9;510.000;25.000;6.000;93.000;0.336;0.280;0.275
10;496.000;26.000;1.000;104.000;0.331;0.280;0.485
11;511.000;26.000;5.000;92.000;0.349;0.294;0.478
12;530.000;21.000;10.000;73.000;0.336;0.283;0.287
13;511.000;30.000;1.000;92.000;0.392;0.341;0.538
14;512.000;29.000;2.000;91.000;0.384;0.332;0.489
15;517.000;21.000;6.000;83.000;0.321;0.271;0.295
16;524.000;26.000;5.000;79.000;0.382;0.332;0.397
17;525.000;26.000;5.000;78.000;0.385;0.335;0.443
18;506.000;29.000;2.000;97.000;0.369;0.316;0.571
19;497.000;28.000;3.000;106.000;0.339;0.282;0.457
20;520.000;20.000;7.000;80.000;0.315;0.265;0.424
21;521.000;25.000;6.000;82.000;0.362;0.310;0.441
22;531.000;25.000;6.000;72.000;0.391;0.342;0.517
23;504.000;29.000;2.000;99.000;0.365;0.310;0.508
24;508.000;27.000;4.000;95.000;0.353;0.298;0.588
25;525.000;22.000;5.000;75.000;0.355;0.308;0.317
max;537.000;30.000;10.000;106.000;0.410;0.363;0.588
avg;516.080;25.840;4.360;86.320;0.363;0.312;0.449
min;496.000;20.000;1.000;66.000;0.315;0.265;0.275
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;597.000;26.000;5.000;6.000;0.825;0.816
2;594.000;27.000;4.000;9.000;0.806;0.795
3;600.000;26.000;5.000;3.000;0.867;0.860
4;600.000;18.000;13.000;3.000;0.692;0.680
5;596.000;20.000;7.000;4.000;0.784;0.775
6;596.000;24.000;7.000;7.000;0.774;0.763
7;598.000;22.000;9.000;5.000;0.759;0.747
8;598.000;20.000;11.000;5.000;0.714;0.701
9;597.000;24.000;7.000;6.000;0.787;0.776
10;595.000;23.000;4.000;5.000;0.836;0.829
11;601.000;19.000;12.000;2.000;0.731;0.720
12;595.000;27.000;4.000;8.000;0.818;0.808
13;598.000;25.000;6.000;5.000;0.820;0.811
14;594.000;20.000;11.000;9.000;0.667;0.650
15;595.000;23.000;4.000;5.000;0.836;0.829
16;596.000;22.000;9.000;7.000;0.733;0.720
17;598.000;26.000;5.000;5.000;0.839;0.830
18;599.000;23.000;8.000;4.000;0.793;0.783
19;600.000;28.000;3.000;3.000;0.903;0.898
20;596.000;20.000;7.000;4.000;0.784;0.775
21;598.000;23.000;8.000;5.000;0.780;0.769
22;601.000;22.000;9.000;2.000;0.800;0.791
23;598.000;20.000;11.000;5.000;0.714;0.701
24;598.000;24.000;7.000;5.000;0.800;0.790
25;593.000;18.000;9.000;7.000;0.692;0.679
max;601.000;28.000;13.000;9.000;0.903;0.898
avg;597.240;22.800;7.400;5.160;0.782;0.772
min;593.000;18.000;3.000;2.000;0.667;0.650
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;592.000;26.000;5.000;11.000;0.765;0.751
2;589.000;29.000;2.000;14.000;0.784;0.771
3;589.000;27.000;4.000;14.000;0.750;0.735
4;595.000;24.000;7.000;8.000;0.762;0.749
5;592.000;24.000;3.000;8.000;0.814;0.804
