LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;546.000;19.000;2.000;14.000;0.704;0.690;0.864
2;547.000;21.000;0.000;13.000;0.764;0.753;0.915
3;537.000;21.000;0.000;23.000;0.646;0.628;0.810
4;541.000;19.000;2.000;19.000;0.644;0.627;0.880
5;541.000;21.000;0.000;15.000;0.737;0.724;0.989
6;546.000;20.000;1.000;14.000;0.727;0.715;0.934
7;554.000;19.000;2.000;6.000;0.826;0.819;0.930
8;543.000;21.000;0.000;17.000;0.712;0.698;0.907
9;538.000;21.000;0.000;22.000;0.656;0.639;0.872
10;536.000;21.000;0.000;20.000;0.677;0.661;0.911
11;546.000;21.000;0.000;14.000;0.750;0.738;0.940
12;552.000;20.000;1.000;8.000;0.816;0.808;0.895
13;537.000;20.000;1.000;23.000;0.625;0.606;0.846
14;541.000;20.000;1.000;19.000;0.667;0.650;0.938
15;532.000;21.000;0.000;24.000;0.636;0.617;0.895
16;547.000;20.000;1.000;13.000;0.741;0.729;0.915
17;537.000;21.000;0.000;23.000;0.646;0.628;0.950
18;544.000;17.000;4.000;16.000;0.630;0.613;0.788
19;541.000;21.000;0.000;19.000;0.689;0.673;0.914
20;546.000;20.000;1.000;10.000;0.784;0.775;0.930
21;539.000;21.000;0.000;21.000;0.667;0.650;0.960
22;542.000;21.000;0.000;18.000;0.700;0.685;0.901
23;544.000;20.000;1.000;16.000;0.702;0.687;0.856
24;538.000;20.000;1.000;22.000;0.635;0.616;0.867
25;542.000;20.000;1.000;14.000;0.727;0.714;0.913
max;554.000;21.000;4.000;24.000;0.826;0.819;0.989
avg;542.280;20.240;0.760;16.920;0.700;0.686;0.901
min;532.000;17.000;0.000;6.000;0.625;0.606;0.788
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;16.000;5.000;0.000;0.865;0.861
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;18.000;3.000;0.000;0.923;0.920
4;556.000;19.000;2.000;4.000;0.864;0.858
5;556.000;20.000;1.000;0.000;0.976;0.975
6;558.000;21.000;0.000;2.000;0.955;0.953
7;560.000;19.000;2.000;0.000;0.950;0.948
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;20.000;1.000;0.000;0.976;0.975
11;559.000;20.000;1.000;1.000;0.952;0.951
12;560.000;19.000;2.000;0.000;0.950;0.948
13;560.000;18.000;3.000;0.000;0.923;0.920
14;560.000;20.000;1.000;0.000;0.976;0.975
15;556.000;20.000;1.000;0.000;0.976;0.975
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;15.000;6.000;0.000;0.833;0.828
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;18.000;3.000;0.000;0.923;0.920
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;18.000;3.000;0.000;0.923;0.920
23;560.000;19.000;2.000;0.000;0.950;0.948
24;558.000;20.000;1.000;2.000;0.930;0.928
25;556.000;21.000;0.000;0.000;1.000;1.000
max;560.000;21.000;6.000;4.000;1.000;1.000
avg;558.640;19.200;1.800;0.560;0.941;0.939
min;556.000;15.000;0.000;0.000;0.833;0.828
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;19.000;2.000;0.000;0.950;0.948
2;560.000;20.000;1.000;0.000;0.976;0.975
3;559.000;20.000;1.000;1.000;0.952;0.951
4;558.000;21.000;0.000;2.000;0.955;0.953
5;556.000;20.000;1.000;0.000;0.976;0.975
