LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;210.000;5.000;6.000;100.000;0.086;0.026;0.095
2;226.000;7.000;4.000;84.000;0.137;0.081;0.114
3;188.000;10.000;1.000;122.000;0.140;0.082;0.246
4;241.000;5.000;6.000;69.000;0.118;0.062;0.138
5;227.000;5.000;4.000;79.000;0.108;0.059;0.219
6;203.000;8.000;3.000;107.000;0.127;0.069;0.132
7;230.000;7.000;4.000;80.000;0.143;0.087;0.165
8;220.000;8.000;3.000;90.000;0.147;0.091;0.154
9;211.000;6.000;5.000;99.000;0.103;0.044;0.282
10;229.000;6.000;3.000;77.000;0.130;0.083;0.143
11;228.000;6.000;5.000;82.000;0.121;0.064;0.164
12;207.000;8.000;3.000;103.000;0.131;0.073;0.250
13;216.000;7.000;4.000;94.000;0.125;0.067;0.069
14;201.000;9.000;2.000;109.000;0.140;0.082;0.175
15;218.000;7.000;2.000;88.000;0.135;0.087;0.112
16;232.000;9.000;2.000;78.000;0.184;0.131;0.425
17;219.000;8.000;3.000;91.000;0.145;0.089;0.169
18;224.000;6.000;5.000;86.000;0.117;0.059;0.103
19;218.000;10.000;1.000;92.000;0.177;0.123;0.129
20;207.000;4.000;5.000;99.000;0.071;0.020;0.058
21;239.000;6.000;5.000;71.000;0.136;0.081;0.081
22;217.000;6.000;5.000;93.000;0.109;0.051;0.102
23;205.000;10.000;1.000;105.000;0.159;0.103;0.269
24;213.000;7.000;4.000;97.000;0.122;0.064;0.221
25;231.000;6.000;3.000;75.000;0.133;0.086;0.141
max;241.000;10.000;6.000;122.000;0.184;0.131;0.425
avg;218.400;7.040;3.560;90.800;0.130;0.075;0.166
min;188.000;4.000;1.000;69.000;0.071;0.020;0.058
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;309.000;0.000;11.000;1.000;0.000;-0.006
2;303.000;2.000;9.000;7.000;0.200;0.175
3;305.000;1.000;10.000;5.000;0.118;0.096
4;305.000;0.000;11.000;5.000;0.000;-0.022
5;306.000;0.000;9.000;0.000;0.000;0.000
6;302.000;1.000;10.000;8.000;0.100;0.071
7;309.000;0.000;11.000;1.000;0.000;-0.006
8;301.000;1.000;10.000;9.000;0.095;0.065
9;307.000;1.000;10.000;3.000;0.133;0.117
10;305.000;1.000;8.000;1.000;0.182;0.173
11;307.000;0.000;11.000;3.000;0.000;-0.015
12;308.000;2.000;9.000;2.000;0.267;0.253
13;304.000;0.000;11.000;6.000;0.000;-0.025
14;304.000;1.000;10.000;6.000;0.111;0.087
15;300.000;0.000;9.000;6.000;0.000;-0.023
16;310.000;0.000;11.000;0.000;0.000;0.000
17;308.000;1.000;10.000;2.000;0.143;0.130
18;306.000;1.000;10.000;4.000;0.125;0.106
19;307.000;2.000;9.000;3.000;0.250;0.234
20;298.000;0.000;9.000;8.000;0.000;-0.028
21;306.000;0.000;11.000;4.000;0.000;-0.019
22;301.000;0.000;11.000;9.000;0.000;-0.032
23;308.000;0.000;11.000;2.000;0.000;-0.011
24;305.000;1.000;10.000;5.000;0.118;0.096
25;302.000;1.000;8.000;4.000;0.143;0.125
max;310.000;2.000;11.000;9.000;0.267;0.253
avg;305.040;0.640;9.960;4.160;0.079;0.062
min;298.000;0.000;8.000;0.000;0.000;-0.032
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;284.000;0.000;11.000;26.000;0.000;-0.051
2;292.000;2.000;9.000;18.000;0.129;0.089
3;282.000;6.000;5.000;28.000;0.267;0.227
4;291.000;1.000;10.000;19.000;0.065;0.021
5;291.000;0.000;9.000;15.000;0.000;-0.037
6;287.000;4.000;7.000;23.000;0.211;0.170
7;301.000;0.000;11.000;9.000;0.000;-0.032
8;295.000;2.000;9.000;15.000;0.143;0.106
9;297.000;2.000;9.000;13.000;0.154;0.119
10;291.000;3.000;6.000;15.000;0.222;0.191
11;301.000;0.000;11.000;9.000;0.000;-0.032
12;289.000;2.000;9.000;21.000;0.118;0.075
13;285.000;5.000;6.000;25.000;0.244;0.204
14;287.000;3.000;8.000;23.000;0.162;0.120
15;292.000;2.000;7.000;14.000;0.160;0.128
16;302.000;1.000;10.000;8.000;0.100;0.071
17;290.000;2.000;9.000;20.000;0.121;0.079
18;292.000;2.000;9.000;18.000;0.129;0.089
19;290.000;6.000;5.000;20.000;0.324;0.290
20;277.000;1.000;8.000;29.000;0.051;0.008
21;293.000;2.000;9.000;17.000;0.133;0.094
22;287.000;2.000;9.000;23.000;0.111;0.067
