LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;260.000;7.000;0.000;30.000;0.318;0.290;0.725
2;261.000;5.000;2.000;29.000;0.244;0.213;0.431
3;265.000;6.000;1.000;25.000;0.316;0.288;0.316
4;269.000;5.000;2.000;21.000;0.303;0.276;0.533
5;245.000;7.000;0.000;44.000;0.241;0.208;0.565
6;264.000;7.000;0.000;26.000;0.350;0.324;0.678
7;249.000;7.000;0.000;41.000;0.255;0.223;0.222
8;261.000;6.000;1.000;29.000;0.286;0.257;0.537
9;258.000;5.000;2.000;32.000;0.227;0.195;0.561
10;266.000;6.000;1.000;23.000;0.333;0.307;0.504
11;264.000;6.000;1.000;26.000;0.308;0.280;0.636
12;252.000;7.000;0.000;38.000;0.269;0.238;0.799
13;269.000;5.000;2.000;21.000;0.303;0.276;0.432
14;259.000;7.000;0.000;31.000;0.311;0.283;0.374
15;270.000;6.000;1.000;19.000;0.375;0.351;0.370
16;275.000;6.000;1.000;15.000;0.429;0.408;0.732
17;257.000;7.000;0.000;33.000;0.298;0.269;0.242
18;251.000;6.000;1.000;39.000;0.231;0.198;0.658
19;262.000;6.000;1.000;28.000;0.293;0.264;0.637
20;266.000;5.000;2.000;23.000;0.286;0.258;0.678
21;248.000;7.000;0.000;42.000;0.250;0.218;0.504
22;262.000;4.000;3.000;28.000;0.205;0.173;0.218
23;264.000;7.000;0.000;26.000;0.350;0.324;0.754
24;254.000;7.000;0.000;36.000;0.280;0.250;0.318
25;269.000;5.000;2.000;20.000;0.312;0.286;0.394
max;275.000;7.000;3.000;44.000;0.429;0.408;0.799
avg;260.800;6.080;0.920;29.000;0.295;0.266;0.513
min;245.000;4.000;0.000;15.000;0.205;0.173;0.218
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;289.000;3.000;4.000;1.000;0.545;0.538
2;287.000;3.000;4.000;3.000;0.462;0.450
3;290.000;2.000;5.000;0.000;0.444;0.439
4;289.000;3.000;4.000;1.000;0.545;0.538
5;289.000;3.000;4.000;0.000;0.600;0.594
6;287.000;3.000;4.000;3.000;0.462;0.450
7;289.000;3.000;4.000;1.000;0.545;0.538
8;289.000;2.000;5.000;1.000;0.400;0.391
9;289.000;2.000;5.000;1.000;0.400;0.391
10;289.000;2.000;5.000;0.000;0.444;0.439
11;289.000;2.000;5.000;1.000;0.400;0.391
12;290.000;4.000;3.000;0.000;0.727;0.723
13;290.000;1.000;6.000;0.000;0.250;0.246
14;288.000;4.000;3.000;2.000;0.615;0.607
15;289.000;1.000;6.000;0.000;0.250;0.246
16;290.000;3.000;4.000;0.000;0.600;0.594
17;288.000;2.000;5.000;2.000;0.364;0.353
18;286.000;4.000;3.000;4.000;0.533;0.521
19;290.000;3.000;4.000;0.000;0.600;0.594
20;289.000;3.000;4.000;0.000;0.600;0.594
21;288.000;4.000;3.000;2.000;0.615;0.607
22;289.000;2.000;5.000;1.000;0.400;0.391
23;288.000;6.000;1.000;2.000;0.800;0.795
24;290.000;2.000;5.000;0.000;0.444;0.439
25;288.000;2.000;5.000;1.000;0.400;0.391
max;290.000;6.000;6.000;4.000;0.800;0.795
avg;288.760;2.760;4.240;1.040;0.498;0.490
min;286.000;1.000;1.000;0.000;0.250;0.246
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;3.000;4.000;3.000;0.462;0.450
2;286.000;4.000;3.000;4.000;0.533;0.521
3;290.000;2.000;5.000;0.000;0.444;0.439
4;288.000;3.000;4.000;2.000;0.500;0.490
5;289.000;4.000;3.000;0.000;0.727;0.722
6;287.000;3.000;4.000;3.000;0.462;0.450
7;288.000;3.000;4.000;2.000;0.500;0.490
8;288.000;3.000;4.000;2.000;0.500;0.490
9;287.000;2.000;5.000;3.000;0.333;0.320
10;289.000;1.000;6.000;0.000;0.250;0.246
11;289.000;4.000;3.000;1.000;0.667;0.660
12;289.000;3.000;4.000;1.000;0.545;0.538
13;288.000;3.000;4.000;2.000;0.500;0.490
14;285.000;4.000;3.000;5.000;0.500;0.486
15;288.000;0.000;7.000;1.000;0.000;-0.006
16;289.000;4.000;3.000;1.000;0.667;0.660
17;286.000;3.000;4.000;4.000;0.429;0.415
18;287.000;4.000;3.000;3.000;0.571;0.561
19;289.000;3.000;4.000;1.000;0.545;0.538
20;288.000;2.000;5.000;1.000;0.400;0.391
21;288.000;4.000;3.000;2.000;0.615;0.607
22;288.000;3.000;4.000;2.000;0.500;0.490
23;288.000;6.000;1.000;2.000;0.800;0.795
24;289.000;2.000;5.000;1.000;0.400;0.391
25;288.000;2.000;5.000;1.000;0.400;0.391
max;290.000;6.000;7.000;5.000;0.800;0.795
avg;287.920;3.000;4.000;1.880;0.490;0.481
min;285.000;0.000;1.000;0.000;0.000;-0.006
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;261.000;5.000;2.000;29.000;0.244;0.213
2;263.000;5.000;2.000;27.000;0.256;0.226
3;273.000;6.000;1.000;17.000;0.400;0.378
4;272.000;6.000;1.000;18.000;0.387;0.364
5;258.000;7.000;0.000;31.000;0.311;0.282
6;265.000;6.000;1.000;25.000;0.316;0.288
7;258.000;7.000;0.000;32.000;0.304;0.275
8;272.000;5.000;2.000;18.000;0.333;0.308
9;269.000;4.000;3.000;21.000;0.250;0.221
10;271.000;4.000;3.000;18.000;0.276;0.249
11;272.000;6.000;1.000;18.000;0.387;0.364
12;256.000;7.000;0.000;34.000;0.292;0.262
13;275.000;5.000;2.000;15.000;0.370;0.348
14;263.000;5.000;2.000;27.000;0.256;0.226
15;279.000;6.000;1.000;10.000;0.522;0.505
16;274.000;6.000;1.000;16.000;0.414;0.392
17;268.000;6.000;1.000;22.000;0.343;0.317
18;259.000;7.000;0.000;31.000;0.311;0.283
19;263.000;6.000;1.000;27.000;0.300;0.272
20;275.000;5.000;2.000;14.000;0.385;0.363
21;262.000;6.000;1.000;28.000;0.293;0.264
22;271.000;4.000;3.000;19.000;0.267;0.239
23;272.000;7.000;0.000;18.000;0.438;0.416
24;274.000;6.000;1.000;16.000;0.414;0.392
25;273.000;5.000;2.000;16.000;0.357;0.334
max;279.000;7.000;3.000;34.000;0.522;0.505
avg;267.920;5.680;1.320;21.880;0.337;0.311
min;256.000;4.000;0.000;10.000;0.244;0.213
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;274.000;6.000;1.000;16.000;0.414;0.392
2;257.000;5.000;2.000;33.000;0.222;0.190
3;280.000;6.000;1.000;10.000;0.522;0.506
4;279.000;5.000;2.000;11.000;0.435;0.416
5;253.000;6.000;1.000;36.000;0.245;0.213
6;275.000;6.000;1.000;15.000;0.429;0.408
7;253.000;7.000;0.000;37.000;0.275;0.244
8;266.000;6.000;1.000;24.000;0.324;0.297
