LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;127.000;8.000;1.000;11.000;0.571;0.533;0.920
2;130.000;6.000;3.000;8.000;0.522;0.483;0.571
3;132.000;8.000;1.000;6.000;0.696;0.671;0.799
4;134.000;5.000;4.000;4.000;0.556;0.527;0.634
5;133.000;4.000;2.000;4.000;0.571;0.550;0.484
6;131.000;7.000;2.000;7.000;0.609;0.577;0.615
7;132.000;7.000;2.000;6.000;0.636;0.608;0.779
8;134.000;7.000;2.000;4.000;0.700;0.678;0.730
9;133.000;6.000;3.000;5.000;0.600;0.571;0.740
10;129.000;5.000;1.000;8.000;0.526;0.497;0.645
11;131.000;4.000;5.000;7.000;0.400;0.357;0.526
12;134.000;9.000;0.000;4.000;0.818;0.804;0.825
13;132.000;5.000;4.000;6.000;0.500;0.464;0.670
14;128.000;7.000;2.000;10.000;0.538;0.498;0.668
15;131.000;4.000;2.000;6.000;0.500;0.472;0.533
16;130.000;4.000;5.000;8.000;0.381;0.334;0.530
17;131.000;6.000;3.000;7.000;0.545;0.510;0.688
18;129.000;8.000;1.000;9.000;0.615;0.582;0.671
19;133.000;9.000;0.000;5.000;0.783;0.765;0.897
20;132.000;4.000;2.000;5.000;0.533;0.509;0.626
21;127.000;7.000;2.000;11.000;0.519;0.476;0.694
22;130.000;7.000;2.000;8.000;0.583;0.549;0.689
23;131.000;5.000;4.000;7.000;0.476;0.437;0.543
24;131.000;8.000;1.000;7.000;0.667;0.639;0.882
25;132.000;4.000;2.000;5.000;0.533;0.509;0.827
max;134.000;9.000;5.000;11.000;0.818;0.804;0.920
avg;131.080;6.160;2.240;6.720;0.575;0.544;0.687
min;127.000;4.000;0.000;4.000;0.381;0.334;0.484
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;138.000;3.000;6.000;0.000;0.500;0.484
2;137.000;1.000;8.000;1.000;0.182;0.163
3;136.000;2.000;7.000;2.000;0.308;0.281
4;138.000;2.000;7.000;0.000;0.364;0.349
5;137.000;1.000;5.000;0.000;0.286;0.277
6;136.000;4.000;5.000;2.000;0.533;0.509
7;136.000;2.000;7.000;2.000;0.308;0.281
8;135.000;1.000;8.000;3.000;0.154;0.121
9;134.000;2.000;7.000;4.000;0.267;0.229
10;136.000;2.000;4.000;1.000;0.444;0.428
11;135.000;2.000;7.000;3.000;0.286;0.253
12;136.000;1.000;8.000;2.000;0.167;0.140
13;135.000;2.000;7.000;3.000;0.286;0.253
14;138.000;3.000;6.000;0.000;0.500;0.484
15;136.000;1.000;5.000;1.000;0.250;0.234
16;136.000;3.000;6.000;2.000;0.429;0.402
17;135.000;3.000;6.000;3.000;0.400;0.369
18;138.000;2.000;7.000;0.000;0.364;0.349
19;138.000;2.000;7.000;0.000;0.364;0.349
20;136.000;3.000;3.000;1.000;0.600;0.586
21;138.000;0.000;9.000;0.000;0.000;0.000
22;138.000;2.000;7.000;0.000;0.364;0.349
23;136.000;2.000;7.000;2.000;0.308;0.281
24;136.000;3.000;6.000;2.000;0.429;0.402
25;136.000;3.000;3.000;1.000;0.600;0.586
max;138.000;4.000;9.000;4.000;0.600;0.586
avg;136.400;2.080;6.320;1.400;0.348;0.326
min;134.000;0.000;3.000;0.000;0.000;0.000
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;137.000;3.000;6.000;1.000;0.462;0.440
2;136.000;1.000;8.000;2.000;0.167;0.140
3;137.000;1.000;8.000;1.000;0.182;0.163
4;137.000;4.000;5.000;1.000;0.571;0.552
5;136.000;1.000;5.000;1.000;0.250;0.234
