LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;420.000;12.000;0.000;36.000;0.400;0.374;0.471
2;417.000;10.000;2.000;39.000;0.328;0.299;0.626
3;419.000;9.000;3.000;37.000;0.310;0.281;0.340
4;415.000;10.000;2.000;41.000;0.317;0.288;0.564
5;428.000;7.000;3.000;28.000;0.311;0.287;0.305
6;414.000;11.000;1.000;42.000;0.338;0.310;0.634
7;407.000;12.000;0.000;49.000;0.329;0.299;0.545
8;420.000;10.000;2.000;36.000;0.345;0.317;0.270
9;425.000;9.000;3.000;31.000;0.346;0.319;0.528
10;419.000;7.000;3.000;37.000;0.259;0.232;0.425
11;427.000;9.000;3.000;29.000;0.360;0.334;0.539
12;417.000;8.000;4.000;39.000;0.271;0.240;0.355
13;419.000;11.000;1.000;37.000;0.367;0.340;0.445
14;422.000;9.000;3.000;34.000;0.327;0.299;0.318
15;410.000;10.000;0.000;46.000;0.303;0.277;0.599
16;415.000;11.000;1.000;41.000;0.344;0.315;0.606
17;416.000;11.000;1.000;40.000;0.349;0.321;0.620
18;421.000;10.000;2.000;35.000;0.351;0.323;0.419
19;433.000;8.000;4.000;23.000;0.372;0.348;0.486
20;421.000;8.000;2.000;35.000;0.302;0.277;0.340
21;426.000;9.000;3.000;30.000;0.353;0.327;0.382
22;420.000;10.000;2.000;36.000;0.345;0.317;0.358
23;426.000;10.000;2.000;30.000;0.385;0.359;0.377
24;425.000;11.000;1.000;31.000;0.407;0.383;0.712
25;417.000;9.000;1.000;39.000;0.310;0.285;0.439
max;433.000;12.000;4.000;49.000;0.407;0.383;0.712
avg;419.960;9.640;1.960;36.040;0.337;0.310;0.468
min;407.000;7.000;0.000;23.000;0.259;0.232;0.270
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;452.000;3.000;9.000;4.000;0.316;0.303
2;450.000;3.000;9.000;6.000;0.286;0.270
3;454.000;2.000;10.000;2.000;0.250;0.240
4;451.000;3.000;9.000;5.000;0.300;0.285
5;455.000;1.000;9.000;1.000;0.167;0.161
6;451.000;3.000;9.000;5.000;0.300;0.285
7;453.000;2.000;10.000;3.000;0.235;0.224
8;453.000;3.000;9.000;3.000;0.333;0.322
9;452.000;3.000;9.000;4.000;0.316;0.303
10;454.000;2.000;8.000;2.000;0.286;0.277
11;451.000;3.000;9.000;5.000;0.300;0.285
12;449.000;1.000;11.000;7.000;0.100;0.081
13;454.000;5.000;7.000;2.000;0.526;0.517
14;455.000;0.000;12.000;1.000;0.000;-0.004
15;452.000;4.000;6.000;4.000;0.444;0.434
16;455.000;4.000;8.000;1.000;0.471;0.462
17;455.000;3.000;9.000;1.000;0.375;0.367
18;453.000;2.000;10.000;3.000;0.235;0.224
19;453.000;0.000;12.000;3.000;0.000;-0.010
20;450.000;6.000;4.000;6.000;0.545;0.535
21;454.000;2.000;10.000;2.000;0.250;0.240
22;449.000;2.000;10.000;7.000;0.190;0.172
23;454.000;3.000;9.000;2.000;0.353;0.343
24;451.000;0.000;12.000;5.000;0.000;-0.015
25;451.000;4.000;6.000;5.000;0.421;0.409
max;455.000;6.000;12.000;7.000;0.545;0.535
avg;452.440;2.560;9.040;3.560;0.280;0.268
min;449.000;0.000;4.000;1.000;0.000;-0.015
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;453.000;4.000;8.000;3.000;0.421;0.410
2;452.000;5.000;7.000;4.000;0.476;0.464
3;453.000;3.000;9.000;3.000;0.333;0.322
4;454.000;3.000;9.000;2.000;0.353;0.343
5;454.000;0.000;10.000;2.000;0.000;-0.007
6;449.000;3.000;9.000;7.000;0.273;0.255
7;452.000;3.000;9.000;4.000;0.316;0.303
8;452.000;2.000;10.000;4.000;0.222;0.209
9;453.000;4.000;8.000;3.000;0.421;0.410
10;449.000;3.000;7.000;7.000;0.300;0.285
11;452.000;3.000;9.000;4.000;0.316;0.303
12;449.000;1.000;11.000;7.000;0.100;0.081
13;451.000;6.000;6.000;5.000;0.522;0.510
14;454.000;0.000;12.000;2.000;0.000;-0.007
15;452.000;2.000;8.000;4.000;0.250;0.238
16;455.000;5.000;7.000;1.000;0.556;0.548
17;454.000;2.000;10.000;2.000;0.250;0.240
18;456.000;1.000;11.000;0.000;0.154;0.150
19;451.000;1.000;11.000;5.000;0.111;0.096
20;447.000;4.000;6.000;9.000;0.348;0.332
21;452.000;2.000;10.000;4.000;0.222;0.209
22;451.000;2.000;10.000;5.000;0.211;0.195
23;453.000;3.000;9.000;3.000;0.333;0.322
24;451.000;3.000;9.000;5.000;0.300;0.285
25;450.000;5.000;5.000;6.000;0.476;0.464
max;456.000;6.000;12.000;9.000;0.556;0.548
avg;451.960;2.800;8.800;4.040;0.291;0.278
min;447.000;0.000;5.000;0.000;0.000;-0.007
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;448.000;4.000;8.000;8.000;0.333;0.316
