LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;303.000;12.000;1.000;30.000;0.436;0.402;0.365
2;300.000;10.000;3.000;33.000;0.357;0.318;0.292
3;295.000;13.000;0.000;38.000;0.406;0.368;0.400
4;305.000;12.000;1.000;28.000;0.453;0.420;0.377
5;308.000;10.000;3.000;23.000;0.435;0.402;0.430
6;309.000;8.000;5.000;24.000;0.356;0.319;0.285
7;294.000;13.000;0.000;39.000;0.400;0.362;0.329
8;303.000;11.000;2.000;30.000;0.407;0.372;0.334
9;306.000;13.000;0.000;27.000;0.491;0.460;0.298
10;303.000;12.000;1.000;28.000;0.453;0.420;0.559
11;304.000;11.000;2.000;29.000;0.415;0.380;0.310
12;309.000;13.000;0.000;24.000;0.520;0.492;0.433
13;298.000;12.000;1.000;35.000;0.400;0.362;0.326
14;298.000;12.000;1.000;35.000;0.400;0.362;0.386
15;306.000;10.000;3.000;25.000;0.417;0.383;0.386
16;305.000;12.000;1.000;28.000;0.453;0.420;0.420
17;297.000;12.000;1.000;36.000;0.393;0.355;0.514
18;298.000;12.000;1.000;35.000;0.400;0.362;0.312
19;304.000;10.000;3.000;29.000;0.385;0.348;0.277
20;302.000;11.000;2.000;29.000;0.415;0.380;0.333
21;292.000;13.000;0.000;41.000;0.388;0.349;0.291
22;312.000;10.000;3.000;21.000;0.455;0.424;0.338
23;313.000;10.000;3.000;20.000;0.465;0.436;0.338
24;296.000;12.000;1.000;37.000;0.387;0.348;0.295
25;301.000;13.000;0.000;30.000;0.464;0.431;0.479
max;313.000;13.000;5.000;41.000;0.520;0.492;0.559
avg;302.440;11.480;1.520;30.160;0.422;0.387;0.364
min;292.000;8.000;0.000;20.000;0.356;0.318;0.277
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;11.000;2.000;0.000;0.917;0.914
2;333.000;10.000;3.000;0.000;0.870;0.865
3;333.000;11.000;2.000;0.000;0.917;0.914
4;333.000;12.000;1.000;0.000;0.960;0.959
5;330.000;11.000;2.000;1.000;0.880;0.875
6;332.000;12.000;1.000;1.000;0.923;0.920
7;333.000;13.000;0.000;0.000;1.000;1.000
8;333.000;11.000;2.000;0.000;0.917;0.914
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;10.000;3.000;0.000;0.870;0.865
12;333.000;13.000;0.000;0.000;1.000;1.000
13;333.000;13.000;0.000;0.000;1.000;1.000
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;8.000;5.000;0.000;0.762;0.755
16;333.000;13.000;0.000;0.000;1.000;1.000
17;332.000;11.000;2.000;1.000;0.880;0.876
18;333.000;13.000;0.000;0.000;1.000;1.000
19;333.000;10.000;3.000;0.000;0.870;0.865
20;330.000;11.000;2.000;1.000;0.880;0.875
21;333.000;10.000;3.000;0.000;0.870;0.865
22;333.000;10.000;3.000;0.000;0.870;0.865
23;333.000;13.000;0.000;0.000;1.000;1.000
24;333.000;12.000;1.000;0.000;0.960;0.959
25;330.000;12.000;1.000;1.000;0.923;0.920
max;333.000;13.000;5.000;1.000;1.000;1.000
avg;332.400;11.520;1.480;0.200;0.929;0.927
min;330.000;8.000;0.000;0.000;0.762;0.755
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;12.000;1.000;0.000;0.960;0.959
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;13.000;0.000;0.000;1.000;1.000
5;329.000;13.000;0.000;2.000;0.929;0.926
6;333.000;13.000;0.000;0.000;1.000;1.000
7;333.000;13.000;0.000;0.000;1.000;1.000
8;333.000;13.000;0.000;0.000;1.000;1.000
9;333.000;10.000;3.000;0.000;0.870;0.865
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;11.000;2.000;0.000;0.917;0.914
12;332.000;13.000;0.000;1.000;0.963;0.961
13;333.000;13.000;0.000;0.000;1.000;1.000
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;13.000;0.000;0.000;1.000;1.000
16;333.000;12.000;1.000;0.000;0.960;0.959
17;333.000;13.000;0.000;0.000;1.000;1.000
18;333.000;13.000;0.000;0.000;1.000;1.000
19;333.000;13.000;0.000;0.000;1.000;1.000
20;331.000;13.000;0.000;0.000;1.000;1.000
21;333.000;13.000;0.000;0.000;1.000;1.000
22;333.000;13.000;0.000;0.000;1.000;1.000
23;333.000;13.000;0.000;0.000;1.000;1.000
24;333.000;13.000;0.000;0.000;1.000;1.000
25;331.000;13.000;0.000;0.000;1.000;1.000
max;333.000;13.000;3.000;2.000;1.000;1.000
avg;332.480;12.680;0.320;0.120;0.982;0.982
min;329.000;10.000;0.000;0.000;0.870;0.865
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;12.000;1.000;0.000;0.960;0.959
2;330.000;13.000;0.000;3.000;0.897;0.892
3;326.000;11.000;2.000;7.000;0.710;0.696
4;332.000;12.000;1.000;1.000;0.923;0.920
5;329.000;13.000;0.000;2.000;0.929;0.926
6;330.000;12.000;1.000;3.000;0.857;0.851
7;326.000;12.000;1.000;7.000;0.750;0.738
8;332.000;10.000;3.000;1.000;0.833;0.827
9;332.000;11.000;2.000;1.000;0.880;0.876
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;10.000;3.000;0.000;0.870;0.865
12;332.000;12.000;1.000;1.000;0.923;0.920
13;332.000;12.000;1.000;1.000;0.923;0.920
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;11.000;2.000;0.000;0.917;0.914
16;331.000;11.000;2.000;2.000;0.846;0.840
17;333.000;9.000;4.000;0.000;0.818;0.812
18;330.000;13.000;0.000;3.000;0.897;0.892
19;332.000;12.000;1.000;1.000;0.923;0.920
20;324.000;12.000;1.000;7.000;0.750;0.738
21;330.000;13.000;0.000;3.000;0.897;0.892
22;330.000;12.000;1.000;3.000;0.857;0.851
23;333.000;10.000;3.000;0.000;0.870;0.865
24;329.000;13.000;0.000;4.000;0.867;0.861
25;330.000;11.000;2.000;1.000;0.880;0.875
max;333.000;13.000;4.000;7.000;1.000;1.000
avg;330.560;11.720;1.280;2.040;0.879;0.874
min;324.000;9.000;0.000;0.000;0.710;0.696
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;331.000;7.000;6.000;2.000;0.636;0.625
2;332.000;9.000;4.000;1.000;0.783;0.775
3;327.000;9.000;4.000;6.000;0.643;0.628
4;331.000;9.000;4.000;2.000;0.750;0.741
5;329.000;9.000;4.000;2.000;0.750;0.741
6;331.000;8.000;5.000;2.000;0.696;0.685
7;332.000;9.000;4.000;1.000;0.783;0.775
8;331.000;10.000;3.000;2.000;0.800;0.793
9;327.000;8.000;5.000;6.000;0.593;0.576
10;326.000;10.000;3.000;5.000;0.714;0.702
11;331.000;6.000;7.000;2.000;0.571;0.559
12;331.000;11.000;2.000;2.000;0.846;0.840
13;332.000;10.000;3.000;1.000;0.833;0.827
14;331.000;10.000;3.000;2.000;0.800;0.793
15;327.000;10.000;3.000;4.000;0.741;0.730
16;333.000;7.000;6.000;0.000;0.700;0.692
17;332.000;9.000;4.000;1.000;0.783;0.775
18;329.000;11.000;2.000;4.000;0.786;0.777
19;329.000;6.000;7.000;4.000;0.522;0.506
20;328.000;9.000;4.000;3.000;0.720;0.709
21;332.000;10.000;3.000;1.000;0.833;0.827
22;331.000;7.000;6.000;2.000;0.636;0.625
23;330.000;8.000;5.000;3.000;0.667;0.655
24;329.000;11.000;2.000;4.000;0.786;0.777
25;328.000;8.000;5.000;3.000;0.667;0.655
max;333.000;11.000;7.000;6.000;0.846;0.840
avg;330.000;8.840;4.160;2.600;0.721;0.712
min;326.000;6.000;2.000;0.000;0.522;0.506
