LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;176.000;9.000;5.000;156.000;0.101;0.028;0.065
2;191.000;13.000;1.000;141.000;0.155;0.087;0.088
3;179.000;9.000;5.000;153.000;0.102;0.030;0.058
4;193.000;9.000;5.000;139.000;0.111;0.040;0.078
5;182.000;9.000;4.000;149.000;0.105;0.038;0.055
6;167.000;10.000;4.000;165.000;0.106;0.033;0.072
7;177.000;10.000;4.000;155.000;0.112;0.040;0.074
8;193.000;9.000;5.000;139.000;0.111;0.040;0.072
9;190.000;6.000;8.000;142.000;0.074;0.000;0.049
10;191.000;8.000;5.000;140.000;0.099;0.032;0.081
11;177.000;11.000;3.000;155.000;0.122;0.051;0.079
12;204.000;9.000;5.000;128.000;0.119;0.049;0.072
13;186.000;8.000;6.000;146.000;0.095;0.023;0.058
14;180.000;12.000;2.000;152.000;0.135;0.065;0.084
15;179.000;8.000;5.000;152.000;0.092;0.024;0.059
16;182.000;10.000;4.000;150.000;0.115;0.044;0.070
17;186.000;9.000;5.000;146.000;0.107;0.035;0.070
18;186.000;9.000;5.000;146.000;0.107;0.035;0.071
19;197.000;8.000;6.000;135.000;0.102;0.030;0.057
20;181.000;12.000;1.000;150.000;0.137;0.072;0.076
21;181.000;6.000;8.000;151.000;0.070;-0.004;0.055
22;195.000;8.000;6.000;137.000;0.101;0.029;0.081
23;167.000;10.000;4.000;165.000;0.106;0.033;0.088
24;180.000;10.000;4.000;152.000;0.114;0.042;0.081
25;188.000;10.000;3.000;143.000;0.120;0.055;0.067
max;204.000;13.000;8.000;165.000;0.155;0.087;0.088
avg;184.320;9.280;4.520;147.480;0.109;0.038;0.070
min;167.000;6.000;1.000;128.000;0.070;-0.004;0.049
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;11.000;3.000;0.000;0.880;0.876
2;332.000;8.000;6.000;0.000;0.727;0.719
3;332.000;8.000;6.000;0.000;0.727;0.719
4;332.000;4.000;10.000;0.000;0.444;0.434
5;331.000;2.000;11.000;0.000;0.267;0.259
6;332.000;9.000;5.000;0.000;0.783;0.775
7;332.000;7.000;7.000;0.000;0.667;0.657
8;332.000;6.000;8.000;0.000;0.600;0.590
9;332.000;4.000;10.000;0.000;0.444;0.434
10;331.000;7.000;6.000;0.000;0.700;0.692
11;332.000;9.000;5.000;0.000;0.783;0.775
12;332.000;7.000;7.000;0.000;0.667;0.657
13;332.000;10.000;4.000;0.000;0.833;0.828
14;331.000;6.000;8.000;1.000;0.571;0.560
15;331.000;8.000;5.000;0.000;0.762;0.755
16;332.000;9.000;5.000;0.000;0.783;0.775
17;332.000;4.000;10.000;0.000;0.444;0.434
18;331.000;8.000;6.000;1.000;0.696;0.686
19;332.000;9.000;5.000;0.000;0.783;0.775
20;330.000;7.000;6.000;1.000;0.667;0.657
21;331.000;6.000;8.000;1.000;0.571;0.560
22;332.000;8.000;6.000;0.000;0.727;0.719
23;330.000;9.000;5.000;2.000;0.720;0.710
24;332.000;5.000;9.000;0.000;0.526;0.516
25;331.000;7.000;6.000;0.000;0.700;0.692
max;332.000;11.000;11.000;2.000;0.880;0.876
avg;331.560;7.120;6.680;0.240;0.659;0.650
min;330.000;2.000;3.000;0.000;0.267;0.259
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;327.000;14.000;0.000;5.000;0.848;0.841
2;331.000;10.000;4.000;1.000;0.800;0.793
3;331.000;10.000;4.000;1.000;0.800;0.793
4;332.000;11.000;3.000;0.000;0.880;0.876
5;328.000;11.000;2.000;3.000;0.815;0.807
6;331.000;12.000;2.000;1.000;0.889;0.884
7;331.000;13.000;1.000;1.000;0.929;0.926
8;332.000;10.000;4.000;0.000;0.833;0.828
9;330.000;12.000;2.000;2.000;0.857;0.851
10;329.000;10.000;3.000;2.000;0.800;0.792
11;332.000;11.000;3.000;0.000;0.880;0.876
12;330.000;13.000;1.000;2.000;0.897;0.892
13;330.000;11.000;3.000;2.000;0.815;0.807
14;332.000;12.000;2.000;0.000;0.923;0.920
15;329.000;12.000;1.000;2.000;0.889;0.884
16;332.000;14.000;0.000;0.000;1.000;1.000
17;332.000;12.000;2.000;0.000;0.923;0.920
18;330.000;12.000;2.000;2.000;0.857;0.851
19;331.000;13.000;1.000;1.000;0.929;0.926
20;327.000;8.000;5.000;4.000;0.640;0.626
21;331.000;13.000;1.000;1.000;0.929;0.926
22;331.000;12.000;2.000;1.000;0.889;0.884
23;327.000;13.000;1.000;5.000;0.813;0.804
24;331.000;10.000;4.000;1.000;0.800;0.793
25;330.000;13.000;0.000;1.000;0.963;0.961
max;332.000;14.000;5.000;5.000;1.000;1.000
avg;330.280;11.680;2.120;1.520;0.864;0.858
min;327.000;8.000;0.000;0.000;0.640;0.626
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;299.000;14.000;0.000;33.000;0.459;0.423
2;305.000;14.000;0.000;27.000;0.509;0.478
3;300.000;14.000;0.000;32.000;0.467;0.431
4;305.000;14.000;0.000;27.000;0.509;0.478
5;309.000;13.000;0.000;22.000;0.542;0.515
6;319.000;12.000;2.000;13.000;0.615;0.594
7;309.000;14.000;0.000;23.000;0.549;0.521
8;312.000;13.000;1.000;20.000;0.553;0.526
9;284.000;14.000;0.000;48.000;0.368;0.324
10;310.000;13.000;0.000;21.000;0.553;0.527
11;302.000;14.000;0.000;30.000;0.483;0.449
12;306.000;14.000;0.000;26.000;0.519;0.488
13;313.000;12.000;2.000;19.000;0.533;0.506
14;304.000;14.000;0.000;28.000;0.500;0.468
15;299.000;13.000;0.000;32.000;0.448;0.414
16;316.000;14.000;0.000;16.000;0.636;0.615
17;324.000;6.000;8.000;8.000;0.429;0.404
18;310.000;13.000;1.000;22.000;0.531;0.502
19;314.000;13.000;1.000;18.000;0.578;0.553
20;302.000;13.000;0.000;29.000;0.473;0.440
21;304.000;13.000;1.000;28.000;0.473;0.439
22;307.000;14.000;0.000;25.000;0.528;0.498
23;295.000;14.000;0.000;37.000;0.431;0.392
24;309.000;14.000;0.000;23.000;0.549;0.521
25;305.000;13.000;0.000;26.000;0.500;0.470
max;324.000;14.000;8.000;48.000;0.636;0.615
avg;306.480;13.160;0.640;25.320;0.509;0.479
min;284.000;6.000;0.000;8.000;0.368;0.324
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;12.000;2.000;2.000;0.857;0.851
2;330.000;6.000;8.000;2.000;0.545;0.532
3;331.000;10.000;4.000;1.000;0.800;0.793
4;324.000;10.000;4.000;8.000;0.625;0.607
5;328.000;8.000;5.000;3.000;0.667;0.655
6;329.000;9.000;5.000;3.000;0.692;0.680
7;324.000;12.000;2.000;8.000;0.706;0.691
8;328.000;11.000;3.000;4.000;0.759;0.748
9;329.000;8.000;6.000;3.000;0.640;0.627
10;327.000;5.000;8.000;4.000;0.455;0.437
11;327.000;12.000;2.000;5.000;0.774;0.764
12;325.000;10.000;4.000;7.000;0.645;0.629
13;327.000;7.000;7.000;5.000;0.538;0.521
14;326.000;13.000;1.000;6.000;0.788;0.778
15;322.000;9.000;4.000;9.000;0.581;0.561
16;329.000;9.000;5.000;3.000;0.692;0.680
17;326.000;5.000;9.000;6.000;0.400;0.378
18;321.000;5.000;9.000;11.000;0.333;0.303
19;327.000;11.000;3.000;5.000;0.733;0.721
20;328.000;8.000;5.000;3.000;0.667;0.655
21;326.000;11.000;3.000;6.000;0.710;0.696
22;331.000;10.000;4.000;1.000;0.800;0.793
23;327.000;10.000;4.000;5.000;0.690;0.676
24;330.000;8.000;6.000;2.000;0.667;0.655
25;321.000;13.000;0.000;10.000;0.722;0.708
max;331.000;13.000;9.000;11.000;0.857;0.851
avg;326.920;9.280;4.520;4.880;0.659;0.646
min;321.000;5.000;0.000;1.000;0.333;0.303
