LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;183.000;1.000;8.000;22.000;0.062;0.002;0.089
2;167.000;9.000;0.000;38.000;0.321;0.270;0.382
3;181.000;6.000;3.000;24.000;0.308;0.260;0.504
4;190.000;9.000;0.000;15.000;0.545;0.516;0.796
5;182.000;4.000;3.000;21.000;0.250;0.209;0.218
6;178.000;7.000;2.000;27.000;0.326;0.278;0.422
7;176.000;5.000;4.000;29.000;0.233;0.178;0.374
8;180.000;6.000;3.000;25.000;0.300;0.251;0.386
9;193.000;4.000;5.000;12.000;0.320;0.281;0.295
10;176.000;7.000;0.000;27.000;0.341;0.303;0.392
11;188.000;8.000;1.000;17.000;0.471;0.436;0.820
12;176.000;7.000;2.000;29.000;0.311;0.261;0.247
13;192.000;6.000;3.000;13.000;0.429;0.394;0.349
14;191.000;4.000;5.000;14.000;0.296;0.254;0.235
15;173.000;5.000;2.000;30.000;0.238;0.193;0.265
16;184.000;5.000;4.000;21.000;0.286;0.238;0.193
17;193.000;5.000;4.000;12.000;0.385;0.349;0.605
18;184.000;5.000;4.000;21.000;0.286;0.238;0.271
19;179.000;8.000;1.000;26.000;0.372;0.327;0.395
20;186.000;6.000;1.000;17.000;0.400;0.368;0.434
21;184.000;4.000;5.000;21.000;0.235;0.185;0.264
22;184.000;6.000;3.000;21.000;0.333;0.288;0.360
23;183.000;9.000;0.000;22.000;0.450;0.412;0.503
24;195.000;4.000;5.000;10.000;0.348;0.313;0.209
25;171.000;5.000;2.000;32.000;0.227;0.181;0.390
max;195.000;9.000;8.000;38.000;0.545;0.516;0.820
avg;182.760;5.800;2.800;21.840;0.323;0.279;0.376
min;167.000;1.000;0.000;10.000;0.062;0.002;0.089
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;198.000;1.000;8.000;7.000;0.118;0.081
2;200.000;1.000;8.000;5.000;0.133;0.103
3;202.000;0.000;9.000;3.000;0.000;-0.021
4;204.000;1.000;8.000;1.000;0.182;0.169
5;199.000;0.000;7.000;4.000;0.000;-0.025
6;202.000;2.000;7.000;3.000;0.286;0.264
7;202.000;1.000;8.000;3.000;0.154;0.131
8;203.000;1.000;8.000;2.000;0.167;0.149
9;202.000;1.000;8.000;3.000;0.154;0.131
10;201.000;1.000;6.000;2.000;0.200;0.184
11;204.000;0.000;9.000;1.000;0.000;-0.008
12;198.000;3.000;6.000;7.000;0.316;0.284
13;203.000;0.000;9.000;2.000;0.000;-0.016
14;204.000;0.000;9.000;1.000;0.000;-0.008
15;196.000;1.000;6.000;7.000;0.133;0.101
16;199.000;0.000;9.000;6.000;0.000;-0.035
17;202.000;0.000;9.000;3.000;0.000;-0.021
18;204.000;2.000;7.000;1.000;0.333;0.319
19;203.000;2.000;7.000;2.000;0.308;0.289
20;201.000;0.000;7.000;2.000;0.000;-0.015
21;204.000;1.000;8.000;1.000;0.182;0.169
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;1.000;8.000;0.000;0.200;0.193
24;201.000;0.000;9.000;4.000;0.000;-0.027
25;196.000;1.000;6.000;7.000;0.133;0.101
max;205.000;3.000;9.000;7.000;0.333;0.319
avg;201.480;0.800;7.800;3.120;0.120;0.099
min;196.000;0.000;6.000;0.000;0.000;-0.035
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;201.000;1.000;8.000;4.000;0.143;0.116
2;202.000;2.000;7.000;3.000;0.286;0.264
3;205.000;1.000;8.000;0.000;0.200;0.193
4;205.000;2.000;7.000;0.000;0.364;0.354
5;199.000;3.000;4.000;4.000;0.429;0.409
