LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;533.000;26.000;5.000;70.000;0.409;0.362;0.443
2;514.000;28.000;3.000;89.000;0.378;0.326;0.456
3;516.000;24.000;7.000;87.000;0.338;0.283;0.331
4;508.000;27.000;4.000;95.000;0.353;0.298;0.398
5;528.000;24.000;3.000;72.000;0.390;0.346;0.548
6;523.000;26.000;5.000;80.000;0.380;0.329;0.478
7;539.000;25.000;6.000;64.000;0.417;0.371;0.448
8;521.000;28.000;3.000;82.000;0.397;0.347;0.549
9;515.000;25.000;6.000;88.000;0.347;0.293;0.274
10;504.000;26.000;1.000;96.000;0.349;0.300;0.437
11;509.000;26.000;5.000;94.000;0.344;0.289;0.466
12;536.000;21.000;10.000;67.000;0.353;0.303;0.288
13;514.000;30.000;1.000;89.000;0.400;0.350;0.548
14;515.000;29.000;2.000;88.000;0.392;0.341;0.475
15;525.000;21.000;6.000;75.000;0.341;0.294;0.341
16;528.000;26.000;5.000;75.000;0.394;0.345;0.403
17;541.000;25.000;6.000;62.000;0.424;0.379;0.438
18;518.000;28.000;3.000;85.000;0.389;0.338;0.584
19;506.000;29.000;2.000;97.000;0.369;0.316;0.470
20;523.000;21.000;6.000;77.000;0.336;0.288;0.403
21;528.000;26.000;5.000;75.000;0.394;0.345;0.411
22;529.000;26.000;5.000;74.000;0.397;0.348;0.505
23;513.000;30.000;1.000;90.000;0.397;0.347;0.514
24;527.000;27.000;4.000;76.000;0.403;0.354;0.584
25;528.000;22.000;5.000;72.000;0.364;0.318;0.306
max;541.000;30.000;10.000;97.000;0.424;0.379;0.584
avg;521.640;25.840;4.360;80.760;0.378;0.328;0.444
min;504.000;21.000;1.000;62.000;0.336;0.283;0.274
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;598.000;25.000;6.000;5.000;0.820;0.811
2;594.000;27.000;4.000;9.000;0.806;0.795
3;599.000;25.000;6.000;4.000;0.833;0.825
4;600.000;19.000;12.000;3.000;0.717;0.705
5;596.000;22.000;5.000;4.000;0.830;0.823
6;597.000;24.000;7.000;6.000;0.787;0.776
7;598.000;23.000;8.000;5.000;0.780;0.769
8;599.000;22.000;9.000;4.000;0.772;0.761
9;596.000;24.000;7.000;7.000;0.774;0.763
10;595.000;24.000;3.000;5.000;0.857;0.850
11;601.000;20.000;11.000;2.000;0.755;0.744
12;595.000;28.000;3.000;8.000;0.836;0.827
13;598.000;24.000;7.000;5.000;0.800;0.790
14;596.000;22.000;9.000;7.000;0.733;0.720
15;598.000;24.000;3.000;2.000;0.906;0.901
16;597.000;25.000;6.000;6.000;0.806;0.797
17;598.000;23.000;8.000;5.000;0.780;0.769
18;598.000;22.000;9.000;5.000;0.759;0.747
19;601.000;27.000;4.000;2.000;0.900;0.895
20;594.000;19.000;8.000;6.000;0.731;0.719
21;599.000;24.000;7.000;4.000;0.814;0.804
22;600.000;27.000;4.000;3.000;0.885;0.879
23;600.000;21.000;10.000;3.000;0.764;0.753
24;597.000;26.000;5.000;6.000;0.825;0.816
25;594.000;17.000;10.000;6.000;0.680;0.667
max;601.000;28.000;12.000;9.000;0.906;0.901
avg;597.520;23.360;6.840;4.880;0.798;0.788
min;594.000;17.000;3.000;2.000;0.680;0.667
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;595.000;26.000;5.000;8.000;0.800;0.789
2;592.000;27.000;4.000;11.000;0.783;0.770
3;590.000;29.000;2.000;13.000;0.795;0.782
4;596.000;24.000;7.000;7.000;0.774;0.763
5;594.000;23.000;4.000;6.000;0.821;0.813
6;590.000;27.000;4.000;13.000;0.761;0.747
7;595.000;28.000;3.000;8.000;0.836;0.827
8;596.000;25.000;6.000;7.000;0.794;0.783
9;594.000;25.000;6.000;9.000;0.769;0.757
10;591.000;23.000;4.000;9.000;0.780;0.769
11;601.000;26.000;5.000;2.000;0.881;0.876
12;591.000;28.000;3.000;12.000;0.789;0.776
13;591.000;26.000;5.000;12.000;0.754;0.740
14;592.000;25.000;6.000;11.000;0.746;0.732
15;595.000;26.000;1.000;5.000;0.897;0.892
16;592.000;28.000;3.000;11.000;0.800;0.788
17;595.000;27.000;4.000;8.000;0.818;0.808
18;596.000;26.000;5.000;7.000;0.812;0.803
19;596.000;28.000;3.000;7.000;0.848;0.840
20;592.000;23.000;4.000;8.000;0.793;0.783
21;595.000;27.000;4.000;8.000;0.818;0.808
22;595.000;29.000;2.000;8.000;0.853;0.845
23;593.000;21.000;10.000;10.000;0.677;0.661
24;593.000;28.000;3.000;10.000;0.812;0.801
25;592.000;23.000;4.000;8.000;0.793;0.783
max;601.000;29.000;10.000;13.000;0.897;0.892
avg;593.680;25.920;4.280;8.720;0.800;0.789
min;590.000;21.000;1.000;2.000;0.677;0.661
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;582.000;25.000;6.000;21.000;0.649;0.628
2;571.000;25.000;6.000;32.000;0.568;0.539
3;580.000;25.000;6.000;23.000;0.633;0.610
4;578.000;20.000;11.000;25.000;0.526;0.497
5;573.000;23.000;4.000;27.000;0.597;0.574
6;582.000;25.000;6.000;21.000;0.649;0.628
7;581.000;24.000;7.000;22.000;0.623;0.600
8;580.000;22.000;9.000;23.000;0.579;0.553
9;578.000;23.000;8.000;25.000;0.582;0.556
