LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;556.000;19.000;2.000;4.000;0.864;0.858;0.878
2;557.000;17.000;4.000;3.000;0.829;0.823;0.943
3;554.000;19.000;2.000;6.000;0.826;0.819;0.931
4;552.000;19.000;2.000;8.000;0.792;0.783;0.904
5;552.000;20.000;1.000;4.000;0.889;0.884;0.981
6;556.000;19.000;2.000;4.000;0.864;0.858;0.939
7;560.000;19.000;2.000;0.000;0.950;0.948;0.916
8;556.000;21.000;0.000;4.000;0.913;0.909;0.961
9;550.000;18.000;3.000;10.000;0.735;0.723;0.899
10;549.000;19.000;2.000;7.000;0.809;0.800;0.946
11;558.000;19.000;2.000;2.000;0.905;0.901;0.945
12;557.000;17.000;4.000;3.000;0.829;0.823;0.918
13;547.000;19.000;2.000;13.000;0.717;0.704;0.889
14;551.000;20.000;1.000;9.000;0.800;0.791;0.946
15;550.000;21.000;0.000;6.000;0.875;0.870;0.978
16;556.000;19.000;2.000;4.000;0.864;0.858;0.934
17;550.000;20.000;1.000;10.000;0.784;0.775;0.983
18;555.000;14.000;7.000;5.000;0.700;0.689;0.785
19;554.000;21.000;0.000;6.000;0.875;0.870;0.973
20;554.000;19.000;2.000;2.000;0.905;0.901;0.948
21;557.000;19.000;2.000;3.000;0.884;0.879;0.975
22;557.000;17.000;4.000;3.000;0.829;0.823;0.919
23;553.000;19.000;2.000;7.000;0.809;0.801;0.897
24;554.000;19.000;2.000;6.000;0.826;0.819;0.921
25;549.000;20.000;1.000;7.000;0.833;0.826;0.934
max;560.000;21.000;7.000;13.000;0.950;0.948;0.983
avg;553.760;18.920;2.080;5.440;0.836;0.830;0.930
min;547.000;14.000;0.000;0.000;0.700;0.689;0.785
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;17.000;4.000;0.000;0.895;0.891
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;19.000;2.000;0.000;0.950;0.948
4;555.000;21.000;0.000;5.000;0.894;0.889
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;20.000;1.000;0.000;0.976;0.975
7;560.000;18.000;3.000;0.000;0.923;0.920
8;560.000;19.000;2.000;0.000;0.950;0.948
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;19.000;2.000;1.000;0.927;0.924
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;18.000;3.000;0.000;0.923;0.920
14;560.000;20.000;1.000;0.000;0.976;0.975
15;556.000;20.000;1.000;0.000;0.976;0.975
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;16.000;5.000;0.000;0.865;0.861
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;19.000;2.000;0.000;0.950;0.948
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;18.000;3.000;0.000;0.923;0.920
23;560.000;19.000;2.000;0.000;0.950;0.948
24;560.000;20.000;1.000;0.000;0.976;0.975
25;556.000;20.000;1.000;0.000;0.976;0.975
max;560.000;21.000;5.000;5.000;0.976;0.975
avg;558.760;19.240;1.760;0.440;0.946;0.944
min;555.000;16.000;0.000;0.000;0.865;0.861
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;19.000;2.000;0.000;0.950;0.948
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;21.000;0.000;0.000;1.000;1.000
4;555.000;21.000;0.000;5.000;0.894;0.889
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;20.000;1.000;0.000;0.976;0.975
7;560.000;20.000;1.000;0.000;0.976;0.975
8;560.000;21.000;0.000;0.000;1.000;1.000
9;559.000;20.000;1.000;1.000;0.952;0.951
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;20.000;1.000;1.000;0.952;0.951
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;21.000;0.000;0.000;1.000;1.000
14;560.000;20.000;1.000;0.000;0.976;0.975
15;555.000;21.000;0.000;1.000;0.977;0.976
16;560.000;21.000;0.000;0.000;1.000;1.000
17;560.000;21.000;0.000;0.000;1.000;1.000
18;560.000;20.000;1.000;0.000;0.976;0.975
19;559.000;21.000;0.000;1.000;0.977;0.976
20;556.000;19.000;2.000;0.000;0.950;0.948
21;560.000;20.000;1.000;0.000;0.976;0.975
22;560.000;18.000;3.000;0.000;0.923;0.920
23;560.000;21.000;0.000;0.000;1.000;1.000
24;560.000;20.000;1.000;0.000;0.976;0.975
25;556.000;21.000;0.000;0.000;1.000;1.000
max;560.000;21.000;3.000;5.000;1.000;1.000
avg;558.840;20.200;0.800;0.360;0.972;0.971
min;555.000;18.000;0.000;0.000;0.894;0.889
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;553.000;18.000;3.000;7.000;0.783;0.774
2;559.000;19.000;2.000;1.000;0.927;0.924
3;556.000;20.000;1.000;4.000;0.889;0.884
4;555.000;20.000;1.000;5.000;0.870;0.864
5;555.000;20.000;1.000;1.000;0.952;0.951
6;557.000;20.000;1.000;3.000;0.909;0.906
7;560.000;19.000;2.000;0.000;0.950;0.948
8;558.000;19.000;2.000;2.000;0.905;0.901
9;553.000;21.000;0.000;7.000;0.857;0.851
10;556.000;20.000;1.000;0.000;0.976;0.975
11;557.000;20.000;1.000;3.000;0.909;0.906
12;557.000;20.000;1.000;3.000;0.909;0.906
13;554.000;19.000;2.000;6.000;0.826;0.819
14;558.000;20.000;1.000;2.000;0.930;0.928
15;551.000;21.000;0.000;5.000;0.894;0.889
16;554.000;20.000;1.000;6.000;0.851;0.845
17;557.000;21.000;0.000;3.000;0.933;0.931
18;557.000;17.000;4.000;3.000;0.829;0.823
19;557.000;20.000;1.000;3.000;0.909;0.906
20;554.000;20.000;1.000;2.000;0.930;0.928
21;559.000;21.000;0.000;1.000;0.977;0.976
22;557.000;19.000;2.000;3.000;0.884;0.879
23;553.000;21.000;0.000;7.000;0.857;0.851
24;555.000;20.000;1.000;5.000;0.870;0.864
25;552.000;20.000;1.000;4.000;0.889;0.884
max;560.000;21.000;4.000;7.000;0.977;0.976
avg;555.760;19.800;1.200;3.440;0.897;0.892
min;551.000;17.000;0.000;0.000;0.783;0.774
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;16.000;5.000;1.000;0.842;0.837
2;559.000;20.000;1.000;1.000;0.952;0.951
3;560.000;19.000;2.000;0.000;0.950;0.948
4;559.000;21.000;0.000;1.000;0.977;0.976
5;555.000;20.000;1.000;1.000;0.952;0.951
6;560.000;21.000;0.000;0.000;1.000;1.000
7;560.000;19.000;2.000;0.000;0.950;0.948
8;559.000;19.000;2.000;1.000;0.927;0.924
9;560.000;19.000;2.000;0.000;0.950;0.948
10;556.000;20.000;1.000;0.000;0.976;0.975
11;560.000;19.000;2.000;0.000;0.950;0.948
12;560.000;18.000;3.000;0.000;0.923;0.920
13;560.000;21.000;0.000;0.000;1.000;1.000
14;560.000;20.000;1.000;0.000;0.976;0.975
15;552.000;21.000;0.000;4.000;0.913;0.909
16;560.000;20.000;1.000;0.000;0.976;0.975
17;556.000;21.000;0.000;4.000;0.913;0.909
18;560.000;15.000;6.000;0.000;0.833;0.828
19;560.000;21.000;0.000;0.000;1.000;1.000
20;556.000;20.000;1.000;0.000;0.976;0.975
21;560.000;20.000;1.000;0.000;0.976;0.975
22;559.000;19.000;2.000;1.000;0.927;0.924
23;560.000;20.000;1.000;0.000;0.976;0.975
24;560.000;20.000;1.000;0.000;0.976;0.975
25;556.000;20.000;1.000;0.000;0.976;0.975
max;560.000;21.000;6.000;4.000;1.000;1.000
avg;558.640;19.560;1.440;0.560;0.951;0.949
min;552.000;15.000;0.000;0.000;0.833;0.828
