LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;214.000;8.000;3.000;96.000;0.139;0.082;0.134
2;222.000;8.000;3.000;88.000;0.150;0.094;0.120
3;199.000;9.000;2.000;111.000;0.137;0.080;0.224
4;243.000;5.000;6.000;67.000;0.120;0.065;0.101
5;226.000;5.000;4.000;80.000;0.106;0.058;0.222
6;206.000;9.000;2.000;104.000;0.145;0.088;0.141
7;212.000;7.000;4.000;98.000;0.121;0.063;0.183
8;217.000;8.000;3.000;93.000;0.143;0.086;0.185
9;226.000;7.000;4.000;84.000;0.137;0.081;0.301
10;234.000;6.000;3.000;72.000;0.138;0.091;0.131
11;234.000;7.000;4.000;76.000;0.149;0.094;0.175
12;206.000;9.000;2.000;104.000;0.145;0.088;0.259
13;213.000;6.000;5.000;97.000;0.105;0.046;0.083
14;202.000;9.000;2.000;108.000;0.141;0.083;0.175
15;219.000;7.000;2.000;87.000;0.136;0.088;0.201
16;221.000;9.000;2.000;89.000;0.165;0.110;0.371
17;211.000;8.000;3.000;99.000;0.136;0.078;0.200
18;232.000;6.000;5.000;78.000;0.126;0.070;0.108
19;216.000;10.000;1.000;94.000;0.174;0.119;0.153
20;206.000;4.000;5.000;100.000;0.071;0.019;0.051
21;223.000;6.000;5.000;87.000;0.115;0.058;0.078
22;228.000;6.000;5.000;82.000;0.121;0.064;0.105
23;194.000;11.000;0.000;116.000;0.159;0.103;0.271
24;214.000;8.000;3.000;96.000;0.139;0.082;0.195
25;238.000;6.000;3.000;68.000;0.145;0.099;0.169
max;243.000;11.000;6.000;116.000;0.174;0.119;0.371
avg;218.240;7.360;3.240;90.960;0.135;0.080;0.173
min;194.000;4.000;0.000;67.000;0.071;0.019;0.051
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;302.000;0.000;11.000;8.000;0.000;-0.030
2;301.000;1.000;10.000;9.000;0.095;0.065
3;298.000;3.000;8.000;12.000;0.231;0.199
4;305.000;0.000;11.000;5.000;0.000;-0.022
5;298.000;0.000;9.000;8.000;0.000;-0.028
6;291.000;1.000;10.000;19.000;0.065;0.021
7;299.000;1.000;10.000;11.000;0.087;0.053
8;295.000;1.000;10.000;15.000;0.074;0.035
9;305.000;0.000;11.000;5.000;0.000;-0.022
10;299.000;2.000;7.000;7.000;0.222;0.199
11;303.000;0.000;11.000;7.000;0.000;-0.027
12;296.000;3.000;8.000;14.000;0.214;0.180
13;297.000;0.000;11.000;13.000;0.000;-0.039
14;301.000;1.000;10.000;9.000;0.095;0.065
15;293.000;0.000;9.000;13.000;0.000;-0.035
16;305.000;1.000;10.000;5.000;0.118;0.096
17;300.000;1.000;10.000;10.000;0.091;0.059
18;300.000;1.000;10.000;10.000;0.091;0.059
19;304.000;2.000;9.000;6.000;0.211;0.187
20;286.000;1.000;8.000;20.000;0.067;0.028
21;298.000;0.000;11.000;12.000;0.000;-0.037
22;300.000;0.000;11.000;10.000;0.000;-0.034
23;300.000;1.000;10.000;10.000;0.091;0.059
24;298.000;3.000;8.000;12.000;0.231;0.199
25;294.000;2.000;7.000;12.000;0.174;0.144
max;305.000;3.000;11.000;20.000;0.231;0.199
avg;298.720;1.000;9.600;10.480;0.086;0.055
min;286.000;0.000;7.000;5.000;0.000;-0.039
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;292.000;0.000;11.000;18.000;0.000;-0.044
2;292.000;2.000;9.000;18.000;0.129;0.089
3;290.000;4.000;7.000;20.000;0.229;0.191
4;288.000;0.000;11.000;22.000;0.000;-0.048
5;286.000;2.000;7.000;20.000;0.129;0.092
6;282.000;4.000;7.000;28.000;0.186;0.142
7;288.000;0.000;11.000;22.000;0.000;-0.048
8;287.000;1.000;10.000;23.000;0.057;0.011
9;301.000;0.000;11.000;9.000;0.000;-0.032
10;291.000;3.000;6.000;15.000;0.222;0.191
11;296.000;1.000;10.000;14.000;0.077;0.039
12;288.000;1.000;10.000;22.000;0.059;0.013
13;286.000;2.000;9.000;24.000;0.108;0.063
14;285.000;1.000;10.000;25.000;0.054;0.006
15;287.000;2.000;7.000;19.000;0.133;0.097
16;297.000;4.000;7.000;13.000;0.286;0.255
17;289.000;2.000;9.000;21.000;0.118;0.075
18;289.000;2.000;9.000;21.000;0.118;0.075
19;296.000;2.000;9.000;14.000;0.148;0.112
20;266.000;1.000;8.000;40.000;0.040;-0.007
21;291.000;1.000;10.000;19.000;0.065;0.021
