LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;282.000;9.000;0.000;6.000;0.750;0.740;0.895
2;273.000;9.000;0.000;15.000;0.545;0.524;0.696
3;280.000;8.000;1.000;8.000;0.640;0.625;0.621
4;281.000;7.000;2.000;7.000;0.609;0.594;0.738
5;273.000;8.000;0.000;15.000;0.516;0.496;0.703
6;276.000;9.000;0.000;12.000;0.600;0.582;0.703
7;272.000;8.000;1.000;16.000;0.485;0.461;0.414
8;282.000;9.000;0.000;6.000;0.750;0.740;0.755
9;279.000;9.000;0.000;9.000;0.667;0.653;0.897
10;279.000;8.000;0.000;9.000;0.640;0.626;0.664
11;274.000;9.000;0.000;14.000;0.562;0.543;0.657
12;278.000;9.000;0.000;10.000;0.643;0.628;0.684
13;281.000;8.000;1.000;7.000;0.667;0.654;0.807
14;282.000;9.000;0.000;6.000;0.750;0.740;0.738
15;275.000;8.000;0.000;13.000;0.552;0.533;0.397
16;275.000;8.000;1.000;13.000;0.533;0.513;0.742
17;274.000;8.000;1.000;14.000;0.516;0.494;0.608
18;281.000;7.000;2.000;7.000;0.609;0.594;0.721
19;282.000;9.000;0.000;6.000;0.750;0.740;0.676
20;278.000;8.000;0.000;10.000;0.615;0.600;0.773
21;272.000;9.000;0.000;16.000;0.529;0.507;0.724
22;282.000;9.000;0.000;6.000;0.750;0.740;0.812
23;279.000;9.000;0.000;9.000;0.667;0.653;0.775
24;281.000;7.000;2.000;7.000;0.609;0.594;0.577
25;277.000;7.000;1.000;11.000;0.538;0.521;0.507
max;282.000;9.000;2.000;16.000;0.750;0.740;0.897
avg;277.920;8.320;0.480;10.080;0.620;0.604;0.691
min;272.000;7.000;0.000;6.000;0.485;0.461;0.397
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;288.000;6.000;3.000;0.000;0.800;0.795
2;285.000;9.000;0.000;3.000;0.857;0.852
3;286.000;6.000;3.000;2.000;0.706;0.697
4;287.000;6.000;3.000;1.000;0.750;0.743
5;285.000;7.000;1.000;3.000;0.778;0.771
6;286.000;8.000;1.000;2.000;0.842;0.837
7;281.000;6.000;3.000;7.000;0.545;0.529
8;287.000;7.000;2.000;1.000;0.824;0.818
9;286.000;8.000;1.000;2.000;0.842;0.837
10;287.000;4.000;4.000;1.000;0.615;0.607
11;286.000;6.000;3.000;2.000;0.706;0.697
12;286.000;7.000;2.000;2.000;0.778;0.771
13;288.000;8.000;1.000;0.000;0.941;0.939
14;287.000;5.000;4.000;1.000;0.667;0.658
15;283.000;7.000;1.000;5.000;0.700;0.690
16;284.000;8.000;1.000;4.000;0.762;0.753
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;288.000;4.000;5.000;0.000;0.615;0.608
20;287.000;7.000;1.000;1.000;0.875;0.872
21;285.000;8.000;1.000;3.000;0.800;0.793
22;287.000;5.000;4.000;1.000;0.667;0.658
23;286.000;7.000;2.000;2.000;0.778;0.771
24;287.000;5.000;4.000;1.000;0.667;0.658
25;284.000;5.000;3.000;4.000;0.588;0.576
max;288.000;9.000;5.000;7.000;0.941;0.939
avg;285.840;6.440;2.360;2.160;0.738;0.730
min;281.000;4.000;0.000;0.000;0.526;0.511
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;286.000;5.000;4.000;2.000;0.625;0.615
2;284.000;7.000;2.000;4.000;0.700;0.690
3;285.000;6.000;3.000;3.000;0.667;0.656
4;287.000;6.000;3.000;1.000;0.750;0.743
5;285.000;7.000;1.000;3.000;0.778;0.771
