LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;121.000;9.000;0.000;17.000;0.514;0.466;0.900
2;128.000;6.000;3.000;10.000;0.480;0.436;0.573
3;127.000;9.000;0.000;11.000;0.621;0.586;0.805
4;131.000;8.000;1.000;7.000;0.667;0.639;0.669
5;128.000;5.000;1.000;9.000;0.500;0.469;0.488
6;121.000;8.000;1.000;17.000;0.471;0.418;0.615
7;131.000;8.000;1.000;7.000;0.667;0.639;0.779
8;133.000;7.000;2.000;5.000;0.667;0.642;0.692
9;126.000;8.000;1.000;12.000;0.552;0.510;0.722
10;128.000;5.000;1.000;9.000;0.500;0.469;0.660
11;131.000;6.000;3.000;7.000;0.545;0.510;0.632
12;130.000;9.000;0.000;8.000;0.692;0.666;0.897
13;134.000;5.000;4.000;4.000;0.556;0.527;0.658
14;117.000;8.000;1.000;21.000;0.421;0.361;0.669
15;124.000;5.000;1.000;13.000;0.417;0.377;0.524
16;129.000;5.000;4.000;9.000;0.435;0.389;0.528
17;122.000;7.000;2.000;16.000;0.438;0.383;0.731
18;125.000;8.000;1.000;13.000;0.533;0.490;0.727
19;124.000;9.000;0.000;14.000;0.562;0.520;0.958
20;129.000;5.000;1.000;8.000;0.526;0.497;0.518
21;125.000;8.000;1.000;13.000;0.533;0.490;0.755
22;128.000;8.000;1.000;10.000;0.593;0.556;0.671
23;127.000;6.000;3.000;11.000;0.462;0.415;0.543
24;130.000;8.000;1.000;8.000;0.640;0.609;0.894
25;127.000;6.000;0.000;10.000;0.545;0.516;0.805
max;134.000;9.000;4.000;21.000;0.692;0.666;0.958
avg;127.040;7.040;1.360;10.760;0.541;0.503;0.697
min;117.000;5.000;0.000;4.000;0.417;0.361;0.488
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;135.000;1.000;8.000;3.000;0.154;0.121
2;136.000;2.000;7.000;2.000;0.308;0.281
3;133.000;3.000;6.000;5.000;0.353;0.313
4;137.000;4.000;5.000;1.000;0.571;0.552
5;134.000;2.000;4.000;3.000;0.364;0.338
6;136.000;4.000;5.000;2.000;0.533;0.509
7;137.000;4.000;5.000;1.000;0.571;0.552
8;134.000;2.000;7.000;4.000;0.267;0.229
9;132.000;3.000;6.000;6.000;0.333;0.290
10;133.000;3.000;3.000;4.000;0.462;0.436
11;135.000;1.000;8.000;3.000;0.154;0.121
12;137.000;6.000;3.000;1.000;0.750;0.736
13;133.000;1.000;8.000;5.000;0.133;0.089
14;132.000;3.000;6.000;6.000;0.333;0.290
15;134.000;1.000;5.000;3.000;0.200;0.172
16;135.000;1.000;8.000;3.000;0.154;0.121
17;133.000;3.000;6.000;5.000;0.353;0.313
18;134.000;3.000;6.000;4.000;0.375;0.340
19;133.000;2.000;7.000;5.000;0.250;0.208
20;132.000;2.000;4.000;5.000;0.308;0.275
21;132.000;1.000;8.000;6.000;0.125;0.075
22;134.000;1.000;8.000;4.000;0.143;0.104
23;134.000;3.000;6.000;4.000;0.375;0.340
24;133.000;3.000;6.000;5.000;0.353;0.313
25;133.000;3.000;3.000;4.000;0.462;0.436
max;137.000;6.000;8.000;6.000;0.750;0.736
avg;134.040;2.480;5.920;3.760;0.335;0.302
min;132.000;1.000;3.000;1.000;0.125;0.075
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;131.000;3.000;6.000;7.000;0.316;0.269
2;132.000;4.000;5.000;6.000;0.421;0.381
3;131.000;3.000;6.000;7.000;0.316;0.269
4;136.000;4.000;5.000;2.000;0.533;0.509
5;135.000;2.000;4.000;2.000;0.400;0.379
