LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;409.000;11.000;1.000;47.000;0.314;0.284;0.457
2;409.000;10.000;2.000;47.000;0.290;0.258;0.608
3;419.000;9.000;3.000;37.000;0.310;0.281;0.359
4;409.000;10.000;2.000;47.000;0.290;0.258;0.573
5;417.000;7.000;3.000;39.000;0.250;0.223;0.295
6;411.000;11.000;1.000;45.000;0.324;0.294;0.660
7;398.000;12.000;0.000;58.000;0.293;0.260;0.454
8;407.000;9.000;3.000;49.000;0.257;0.224;0.255
9;424.000;9.000;3.000;32.000;0.340;0.312;0.524
10;416.000;6.000;4.000;40.000;0.214;0.186;0.410
11;417.000;9.000;3.000;39.000;0.300;0.270;0.524
12;410.000;8.000;4.000;46.000;0.242;0.209;0.315
13;419.000;11.000;1.000;37.000;0.367;0.340;0.528
14;404.000;9.000;3.000;52.000;0.247;0.213;0.313
15;411.000;10.000;0.000;45.000;0.308;0.282;0.604
16;403.000;11.000;1.000;53.000;0.289;0.257;0.608
17;397.000;11.000;1.000;59.000;0.268;0.235;0.508
18;421.000;10.000;2.000;35.000;0.351;0.323;0.425
19;418.000;9.000;3.000;38.000;0.305;0.275;0.454
20;420.000;8.000;2.000;36.000;0.296;0.271;0.340
21;399.000;10.000;2.000;57.000;0.253;0.219;0.375
22;412.000;10.000;2.000;44.000;0.303;0.273;0.346
23;411.000;10.000;2.000;45.000;0.299;0.268;0.359
24;407.000;11.000;1.000;49.000;0.306;0.275;0.682
25;409.000;9.000;1.000;47.000;0.273;0.245;0.397
max;424.000;12.000;4.000;59.000;0.367;0.340;0.682
avg;411.080;9.600;2.000;44.920;0.292;0.261;0.455
min;397.000;6.000;0.000;32.000;0.214;0.186;0.255
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;454.000;2.000;10.000;2.000;0.250;0.240
2;452.000;3.000;9.000;4.000;0.316;0.303
3;453.000;1.000;11.000;3.000;0.125;0.114
4;450.000;3.000;9.000;6.000;0.286;0.270
5;453.000;1.000;9.000;3.000;0.143;0.132
6;451.000;2.000;10.000;5.000;0.211;0.195
7;450.000;4.000;8.000;6.000;0.364;0.348
8;452.000;3.000;9.000;4.000;0.316;0.303
9;452.000;2.000;10.000;4.000;0.222;0.209
10;455.000;1.000;9.000;1.000;0.167;0.161
11;453.000;2.000;10.000;3.000;0.235;0.224
12;451.000;2.000;10.000;5.000;0.211;0.195
13;454.000;4.000;8.000;2.000;0.444;0.435
14;452.000;0.000;12.000;4.000;0.000;-0.013
15;455.000;4.000;6.000;1.000;0.533;0.527
16;454.000;5.000;7.000;2.000;0.526;0.517
17;454.000;4.000;8.000;2.000;0.444;0.435
18;451.000;1.000;11.000;5.000;0.111;0.096
19;450.000;1.000;11.000;6.000;0.105;0.088
20;451.000;4.000;6.000;5.000;0.421;0.409
21;454.000;1.000;11.000;2.000;0.133;0.124
22;450.000;0.000;12.000;6.000;0.000;-0.017
23;451.000;3.000;9.000;5.000;0.300;0.285
24;453.000;0.000;12.000;3.000;0.000;-0.010
25;449.000;5.000;5.000;7.000;0.455;0.441
max;455.000;5.000;12.000;7.000;0.533;0.527
avg;452.160;2.320;9.280;3.840;0.253;0.240
min;449.000;0.000;5.000;1.000;0.000;-0.017
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;440.000;5.000;7.000;16.000;0.303;0.280
2;438.000;6.000;6.000;18.000;0.333;0.310
3;440.000;4.000;8.000;16.000;0.250;0.225
4;442.000;6.000;6.000;14.000;0.375;0.354
5;447.000;2.000;8.000;9.000;0.190;0.172
6;442.000;3.000;9.000;14.000;0.207;0.182
7;441.000;8.000;4.000;15.000;0.457;0.438
8;445.000;2.000;10.000;11.000;0.160;0.137
9;448.000;7.000;5.000;8.000;0.519;0.504
10;443.000;5.000;5.000;13.000;0.357;0.339
11;446.000;4.000;8.000;10.000;0.308;0.288
12;435.000;4.000;8.000;21.000;0.216;0.188
13;445.000;8.000;4.000;11.000;0.516;0.500
14;447.000;3.000;9.000;9.000;0.250;0.230
15;443.000;6.000;4.000;13.000;0.414;0.397
16;442.000;7.000;5.000;14.000;0.424;0.405
17;441.000;5.000;7.000;15.000;0.312;0.290
18;438.000;5.000;7.000;18.000;0.286;0.261
19;446.000;3.000;9.000;10.000;0.240;0.219
20;444.000;5.000;5.000;12.000;0.370;0.353
21;441.000;2.000;10.000;15.000;0.138;0.111
22;444.000;1.000;11.000;12.000;0.080;0.055
23;442.000;5.000;7.000;14.000;0.323;0.301
24;442.000;5.000;7.000;14.000;0.323;0.301
25;442.000;6.000;4.000;14.000;0.400;0.382
max;448.000;8.000;11.000;21.000;0.519;0.504
avg;442.560;4.680;6.920;13.440;0.310;0.289
min;435.000;1.000;4.000;8.000;0.080;0.055
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;423.000;9.000;3.000;33.000;0.333;0.306
2;406.000;12.000;0.000;50.000;0.324;0.294
3;424.000;8.000;4.000;32.000;0.308;0.279
