LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;292.000;13.000;0.000;41.000;0.388;0.349;0.361
2;294.000;11.000;2.000;39.000;0.349;0.308;0.302
3;282.000;13.000;0.000;51.000;0.338;0.294;0.378
4;294.000;13.000;0.000;39.000;0.400;0.362;0.359
5;299.000;11.000;2.000;32.000;0.393;0.355;0.448
6;290.000;13.000;0.000;43.000;0.377;0.336;0.281
7;276.000;13.000;0.000;57.000;0.313;0.267;0.359
8;296.000;12.000;1.000;37.000;0.387;0.348;0.333
9;295.000;13.000;0.000;38.000;0.406;0.368;0.323
10;289.000;13.000;0.000;42.000;0.382;0.342;0.534
11;294.000;12.000;1.000;39.000;0.375;0.335;0.274
12;301.000;13.000;0.000;32.000;0.448;0.414;0.399
13;281.000;13.000;0.000;52.000;0.333;0.289;0.342
14;293.000;13.000;0.000;40.000;0.394;0.355;0.384
15;289.000;11.000;2.000;42.000;0.333;0.290;0.362
16;301.000;12.000;1.000;32.000;0.421;0.385;0.410
17;292.000;12.000;1.000;41.000;0.364;0.323;0.522
18;286.000;13.000;0.000;47.000;0.356;0.314;0.312
19;295.000;12.000;1.000;38.000;0.381;0.342;0.287
20;299.000;13.000;0.000;32.000;0.448;0.414;0.324
21;273.000;13.000;0.000;60.000;0.302;0.255;0.316
22;297.000;11.000;2.000;36.000;0.367;0.327;0.359
23;303.000;12.000;1.000;30.000;0.436;0.402;0.351
24;283.000;13.000;0.000;50.000;0.342;0.298;0.277
25;289.000;13.000;0.000;42.000;0.382;0.342;0.532
max;303.000;13.000;2.000;60.000;0.448;0.414;0.534
avg;291.320;12.440;0.560;41.280;0.377;0.337;0.365
min;273.000;11.000;0.000;30.000;0.302;0.255;0.274
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;11.000;2.000;0.000;0.917;0.914
2;333.000;11.000;2.000;0.000;0.917;0.914
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;12.000;1.000;0.000;0.960;0.959
5;331.000;11.000;2.000;0.000;0.917;0.914
6;333.000;10.000;3.000;0.000;0.870;0.865
7;333.000;11.000;2.000;0.000;0.917;0.914
8;333.000;11.000;2.000;0.000;0.917;0.914
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;11.000;2.000;0.000;0.917;0.914
11;332.000;9.000;4.000;1.000;0.783;0.775
12;333.000;12.000;1.000;0.000;0.960;0.959
13;333.000;11.000;2.000;0.000;0.917;0.914
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;9.000;4.000;0.000;0.818;0.812
16;333.000;12.000;1.000;0.000;0.960;0.959
17;333.000;12.000;1.000;0.000;0.960;0.959
18;332.000;13.000;0.000;1.000;0.963;0.961
19;332.000;6.000;7.000;1.000;0.600;0.589
20;328.000;11.000;2.000;3.000;0.815;0.807
21;333.000;11.000;2.000;0.000;0.917;0.914
22;333.000;10.000;3.000;0.000;0.870;0.865
23;333.000;12.000;1.000;0.000;0.960;0.959
24;332.000;11.000;2.000;1.000;0.880;0.876
25;331.000;12.000;1.000;0.000;0.960;0.958
max;333.000;13.000;7.000;3.000;1.000;1.000
avg;332.320;11.040;1.960;0.280;0.904;0.901
min;328.000;6.000;0.000;0.000;0.600;0.589
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;13.000;0.000;0.000;1.000;1.000
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;13.000;0.000;0.000;1.000;1.000
5;329.000;13.000;0.000;2.000;0.929;0.926
