LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;178.000;8.000;6.000;154.000;0.091;0.018;0.058
2;178.000;10.000;4.000;154.000;0.112;0.041;0.075
3;174.000;9.000;5.000;158.000;0.099;0.027;0.057
4;178.000;11.000;3.000;154.000;0.123;0.052;0.076
5;176.000;9.000;4.000;155.000;0.102;0.034;0.056
6;155.000;10.000;4.000;177.000;0.100;0.026;0.064
7;176.000;10.000;4.000;156.000;0.111;0.039;0.064
8;191.000;11.000;3.000;141.000;0.133;0.063;0.070
9;188.000;7.000;7.000;144.000;0.085;0.012;0.052
10;188.000;8.000;5.000;143.000;0.098;0.030;0.073
11;170.000;11.000;3.000;162.000;0.118;0.046;0.068
12;189.000;11.000;3.000;143.000;0.131;0.061;0.067
13;182.000;8.000;6.000;150.000;0.093;0.020;0.055
14;175.000;12.000;2.000;157.000;0.131;0.061;0.073
15;168.000;8.000;5.000;163.000;0.087;0.018;0.052
16;179.000;11.000;3.000;153.000;0.124;0.053;0.066
17;188.000;8.000;6.000;144.000;0.096;0.024;0.056
18;172.000;10.000;4.000;160.000;0.109;0.037;0.067
19;191.000;7.000;7.000;141.000;0.086;0.013;0.056
20;177.000;11.000;2.000;154.000;0.124;0.058;0.082
21;187.000;6.000;8.000;145.000;0.073;-0.001;0.051
22;186.000;10.000;4.000;146.000;0.118;0.047;0.065
23;162.000;11.000;3.000;170.000;0.113;0.041;0.076
24;170.000;11.000;3.000;162.000;0.118;0.046;0.069
25;176.000;9.000;4.000;155.000;0.102;0.034;0.063
max;191.000;12.000;8.000;177.000;0.133;0.063;0.082
avg;178.160;9.480;4.320;153.640;0.107;0.036;0.064
min;155.000;6.000;2.000;141.000;0.073;-0.001;0.051
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;11.000;3.000;2.000;0.815;0.807
2;332.000;8.000;6.000;0.000;0.727;0.719
3;332.000;9.000;5.000;0.000;0.783;0.775
4;331.000;5.000;9.000;1.000;0.500;0.488
5;331.000;2.000;11.000;0.000;0.267;0.259
6;331.000;6.000;8.000;1.000;0.571;0.560
7;331.000;9.000;5.000;1.000;0.750;0.741
8;332.000;6.000;8.000;0.000;0.600;0.590
9;332.000;6.000;8.000;0.000;0.600;0.590
10;331.000;7.000;6.000;0.000;0.700;0.692
11;332.000;6.000;8.000;0.000;0.600;0.590
12;331.000;8.000;6.000;1.000;0.696;0.686
13;331.000;9.000;5.000;1.000;0.750;0.741
14;332.000;7.000;7.000;0.000;0.667;0.657
15;330.000;8.000;5.000;1.000;0.727;0.719
16;330.000;10.000;4.000;2.000;0.769;0.760
17;332.000;5.000;9.000;0.000;0.526;0.516
18;332.000;7.000;7.000;0.000;0.667;0.657
19;332.000;8.000;6.000;0.000;0.727;0.719
20;328.000;6.000;7.000;3.000;0.545;0.531
21;330.000;5.000;9.000;2.000;0.476;0.462
22;332.000;9.000;5.000;0.000;0.783;0.775
23;329.000;10.000;4.000;3.000;0.741;0.730
24;332.000;7.000;7.000;0.000;0.667;0.657
25;330.000;8.000;5.000;1.000;0.727;0.719
max;332.000;11.000;11.000;3.000;0.815;0.807
avg;331.040;7.280;6.520;0.760;0.655;0.646
min;328.000;2.000;3.000;0.000;0.267;0.259
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;12.000;2.000;2.000;0.857;0.851
2;329.000;7.000;7.000;3.000;0.583;0.569
3;331.000;10.000;4.000;1.000;0.800;0.793
4;331.000;8.000;6.000;1.000;0.696;0.686
5;328.000;10.000;3.000;3.000;0.769;0.760
