LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;171.000;4.000;5.000;34.000;0.170;0.110;0.084
2;155.000;8.000;1.000;50.000;0.239;0.179;0.406
3;175.000;6.000;3.000;30.000;0.267;0.214;0.327
4;186.000;9.000;0.000;19.000;0.486;0.452;0.673
5;170.000;5.000;2.000;33.000;0.222;0.176;0.204
6;171.000;7.000;2.000;34.000;0.280;0.227;0.395
7;167.000;6.000;3.000;38.000;0.226;0.168;0.355
8;176.000;6.000;3.000;29.000;0.273;0.221;0.234
9;183.000;5.000;4.000;22.000;0.278;0.229;0.313
10;164.000;7.000;0.000;39.000;0.264;0.219;0.408
11;186.000;7.000;2.000;19.000;0.400;0.360;0.719
12;166.000;7.000;2.000;39.000;0.255;0.198;0.192
13;174.000;7.000;2.000;31.000;0.298;0.247;0.355
14;174.000;5.000;4.000;31.000;0.222;0.166;0.345
15;161.000;6.000;1.000;42.000;0.218;0.170;0.244
16;168.000;8.000;1.000;37.000;0.296;0.243;0.221
17;180.000;7.000;2.000;25.000;0.341;0.295;0.546
18;168.000;5.000;4.000;37.000;0.196;0.136;0.199
19;175.000;8.000;1.000;30.000;0.340;0.292;0.402
20;168.000;6.000;1.000;35.000;0.250;0.205;0.507
21;179.000;5.000;4.000;26.000;0.250;0.198;0.184
22;174.000;8.000;1.000;31.000;0.333;0.284;0.444
23;174.000;9.000;0.000;31.000;0.367;0.321;0.458
24;178.000;5.000;4.000;27.000;0.244;0.191;0.188
25;163.000;5.000;2.000;40.000;0.192;0.143;0.336
max;186.000;9.000;5.000;50.000;0.486;0.452;0.719
avg;172.240;6.440;2.160;32.360;0.276;0.226;0.350
min;155.000;4.000;0.000;19.000;0.170;0.110;0.084
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;200.000;0.000;9.000;5.000;0.000;-0.031
2;201.000;1.000;8.000;4.000;0.143;0.116
3;203.000;0.000;9.000;2.000;0.000;-0.016
4;205.000;2.000;7.000;0.000;0.364;0.354
5;200.000;0.000;7.000;3.000;0.000;-0.020
6;202.000;2.000;7.000;3.000;0.286;0.264
7;202.000;0.000;9.000;3.000;0.000;-0.021
8;203.000;0.000;9.000;2.000;0.000;-0.016
9;201.000;0.000;9.000;4.000;0.000;-0.027
10;202.000;0.000;7.000;1.000;0.000;-0.008
11;204.000;0.000;9.000;1.000;0.000;-0.008
12;195.000;1.000;8.000;10.000;0.100;0.056
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;204.000;0.000;9.000;1.000;0.000;-0.008
15;197.000;0.000;7.000;6.000;0.000;-0.032
16;199.000;0.000;9.000;6.000;0.000;-0.035
17;202.000;0.000;9.000;3.000;0.000;-0.021
18;204.000;1.000;8.000;1.000;0.182;0.169
19;202.000;1.000;8.000;3.000;0.154;0.131
20;201.000;0.000;7.000;2.000;0.000;-0.015
21;203.000;1.000;8.000;2.000;0.167;0.149
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;1.000;8.000;0.000;0.200;0.193
24;202.000;0.000;9.000;3.000;0.000;-0.021
25;196.000;0.000;7.000;7.000;0.000;-0.034
max;205.000;2.000;9.000;10.000;0.364;0.354
avg;201.640;0.400;8.200;2.960;0.064;0.044
min;195.000;0.000;7.000;0.000;0.000;-0.035
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;202.000;1.000;8.000;3.000;0.154;0.131
2;203.000;1.000;8.000;2.000;0.167;0.149
3;205.000;1.000;8.000;0.000;0.200;0.193
4;204.000;2.000;7.000;1.000;0.333;0.319
5;200.000;1.000;6.000;3.000;0.182;0.161
6;203.000;1.000;8.000;2.000;0.167;0.149
7;203.000;0.000;9.000;2.000;0.000;-0.016
8;205.000;1.000;8.000;0.000;0.200;0.193
9;204.000;1.000;8.000;1.000;0.182;0.169
10;202.000;1.000;6.000;1.000;0.222;0.211
11;205.000;0.000;9.000;0.000;0.000;0.000
12;191.000;4.000;5.000;14.000;0.296;0.254
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;205.000;0.000;9.000;0.000;0.000;0.000
15;199.000;1.000;6.000;4.000;0.167;0.143
16;201.000;0.000;9.000;4.000;0.000;-0.027
17;205.000;1.000;8.000;0.000;0.200;0.193
18;205.000;1.000;8.000;0.000;0.200;0.193
19;203.000;3.000;6.000;2.000;0.429;0.411
20;200.000;1.000;6.000;3.000;0.182;0.161
21;203.000;1.000;8.000;2.000;0.167;0.149
22;203.000;0.000;9.000;2.000;0.000;-0.016
23;205.000;1.000;8.000;0.000;0.200;0.193
24;203.000;0.000;9.000;2.000;0.000;-0.016
25;202.000;2.000;5.000;1.000;0.400;0.388
max;205.000;4.000;9.000;14.000;0.429;0.411
avg;202.600;1.000;7.600;2.000;0.162;0.147
min;191.000;0.000;5.000;0.000;0.000;-0.027
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;174.000;5.000;4.000;31.000;0.222;0.166
2;167.000;7.000;2.000;38.000;0.259;0.203
3;175.000;5.000;4.000;30.000;0.227;0.172
4;184.000;5.000;4.000;21.000;0.286;0.238
5;170.000;5.000;2.000;33.000;0.222;0.176
6;176.000;6.000;3.000;29.000;0.273;0.221
7;175.000;8.000;1.000;30.000;0.340;0.292
8;182.000;5.000;4.000;23.000;0.270;0.221
9;182.000;7.000;2.000;23.000;0.359;0.315
10;174.000;6.000;1.000;29.000;0.286;0.244
11;193.000;7.000;2.000;12.000;0.500;0.470
12;172.000;5.000;4.000;33.000;0.213;0.155
13;173.000;6.000;3.000;32.000;0.255;0.201
14;182.000;5.000;4.000;23.000;0.270;0.221
15;180.000;4.000;3.000;23.000;0.235;0.193
16;182.000;5.000;4.000;23.000;0.270;0.221
17;181.000;5.000;4.000;24.000;0.263;0.213
18;178.000;5.000;4.000;27.000;0.244;0.191
19;183.000;7.000;2.000;22.000;0.368;0.325
20;165.000;4.000;3.000;38.000;0.163;0.113
21;180.000;6.000;3.000;25.000;0.300;0.251
22;171.000;7.000;2.000;34.000;0.280;0.227
23;182.000;7.000;2.000;23.000;0.359;0.315
24;186.000;5.000;4.000;19.000;0.303;0.258
25;175.000;3.000;4.000;28.000;0.158;0.109
max;193.000;8.000;4.000;38.000;0.500;0.470
avg;177.680;5.600;3.000;26.920;0.277;0.228
min;165.000;3.000;1.000;12.000;0.158;0.109
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;191.000;4.000;5.000;14.000;0.296;0.254
2;181.000;7.000;2.000;24.000;0.350;0.305
3;190.000;4.000;5.000;15.000;0.286;0.242
4;199.000;4.000;5.000;6.000;0.421;0.394
5;187.000;4.000;3.000;16.000;0.296;0.260
6;180.000;7.000;2.000;25.000;0.341;0.295
7;192.000;2.000;7.000;13.000;0.167;0.120
8;189.000;1.000;8.000;16.000;0.077;0.023
9;192.000;4.000;5.000;13.000;0.308;0.267
10;178.000;6.000;1.000;25.000;0.316;0.276
11;201.000;6.000;3.000;4.000;0.632;0.615
12;189.000;5.000;4.000;16.000;0.333;0.292
13;189.000;5.000;4.000;16.000;0.333;0.292
14;191.000;3.000;6.000;14.000;0.231;0.186
15;186.000;2.000;5.000;17.000;0.154;0.111
16;192.000;4.000;5.000;13.000;0.308;0.267
17;195.000;4.000;5.000;10.000;0.348;0.313
18;187.000;5.000;4.000;18.000;0.312;0.268
19;195.000;4.000;5.000;10.000;0.348;0.313
20;181.000;4.000;3.000;22.000;0.242;0.200
21;190.000;6.000;3.000;15.000;0.400;0.362
22;186.000;6.000;3.000;19.000;0.353;0.310
23;193.000;4.000;5.000;12.000;0.320;0.281
24;193.000;3.000;6.000;12.000;0.250;0.208
25;182.000;2.000;5.000;21.000;0.133;0.087
max;201.000;7.000;8.000;25.000;0.632;0.615
avg;189.160;4.240;4.360;15.440;0.302;0.262
min;178.000;1.000;1.000;4.000;0.077;0.023
