LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;523.000;27.000;4.000;80.000;0.391;0.341;0.456
2;511.000;28.000;3.000;92.000;0.371;0.318;0.456
3;507.000;25.000;6.000;96.000;0.329;0.272;0.327
4;504.000;28.000;3.000;99.000;0.354;0.299;0.388
5;514.000;25.000;2.000;86.000;0.362;0.315;0.549
6;521.000;26.000;5.000;82.000;0.374;0.323;0.474
7;526.000;25.000;6.000;77.000;0.376;0.325;0.412
8;502.000;27.000;4.000;101.000;0.340;0.283;0.573
9;510.000;25.000;6.000;93.000;0.336;0.280;0.281
10;497.000;26.000;1.000;103.000;0.333;0.282;0.428
11;520.000;25.000;6.000;83.000;0.360;0.307;0.492
12;529.000;21.000;10.000;74.000;0.333;0.280;0.295
13;516.000;31.000;0.000;87.000;0.416;0.367;0.552
14;507.000;29.000;2.000;96.000;0.372;0.318;0.474
15;510.000;22.000;5.000;90.000;0.317;0.266;0.287
16;525.000;26.000;5.000;78.000;0.385;0.335;0.389
17;534.000;25.000;6.000;69.000;0.400;0.352;0.430
18;509.000;29.000;2.000;94.000;0.377;0.324;0.574
19;500.000;28.000;3.000;103.000;0.346;0.289;0.429
20;521.000;19.000;8.000;79.000;0.304;0.254;0.404
21;525.000;26.000;5.000;78.000;0.385;0.335;0.397
22;514.000;27.000;4.000;89.000;0.367;0.314;0.477
23;504.000;28.000;3.000;99.000;0.354;0.299;0.486
24;509.000;27.000;4.000;94.000;0.355;0.301;0.559
25;519.000;24.000;3.000;81.000;0.364;0.317;0.300
max;534.000;31.000;10.000;103.000;0.416;0.367;0.574
avg;514.280;25.960;4.240;88.120;0.360;0.308;0.436
min;497.000;19.000;0.000;69.000;0.304;0.254;0.281
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;600.000;26.000;5.000;3.000;0.867;0.860
2;594.000;27.000;4.000;9.000;0.806;0.795
3;599.000;24.000;7.000;4.000;0.814;0.804
4;600.000;18.000;13.000;3.000;0.692;0.680
5;596.000;21.000;6.000;4.000;0.808;0.799
6;596.000;23.000;8.000;7.000;0.754;0.742
7;597.000;21.000;10.000;6.000;0.724;0.711
8;599.000;22.000;9.000;4.000;0.772;0.761
9;597.000;24.000;7.000;6.000;0.787;0.776
10;596.000;23.000;4.000;4.000;0.852;0.845
11;601.000;19.000;12.000;2.000;0.731;0.720
12;594.000;27.000;4.000;9.000;0.806;0.795
13;598.000;25.000;6.000;5.000;0.820;0.811
14;595.000;22.000;9.000;8.000;0.721;0.707
15;596.000;24.000;3.000;4.000;0.873;0.867
16;597.000;24.000;7.000;6.000;0.787;0.776
17;598.000;25.000;6.000;5.000;0.820;0.811
18;599.000;23.000;8.000;4.000;0.793;0.783
19;601.000;24.000;7.000;2.000;0.842;0.835
20;597.000;18.000;9.000;3.000;0.750;0.740
21;598.000;24.000;7.000;5.000;0.800;0.790
22;601.000;25.000;6.000;2.000;0.862;0.855
23;599.000;21.000;10.000;4.000;0.750;0.739
24;599.000;27.000;4.000;4.000;0.871;0.864
25;594.000;17.000;10.000;6.000;0.680;0.667
max;601.000;27.000;13.000;9.000;0.873;0.867
avg;597.640;22.960;7.240;4.760;0.791;0.781
min;594.000;17.000;3.000;2.000;0.680;0.667
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;593.000;27.000;4.000;10.000;0.794;0.783
2;587.000;29.000;2.000;16.000;0.763;0.749
3;588.000;27.000;4.000;15.000;0.740;0.724
4;596.000;24.000;7.000;7.000;0.774;0.763
5;592.000;23.000;4.000;8.000;0.793;0.783
6;589.000;27.000;4.000;14.000;0.750;0.735
7;595.000;28.000;3.000;8.000;0.836;0.827
8;595.000;25.000;6.000;8.000;0.781;0.770
9;590.000;26.000;5.000;13.000;0.743;0.728
10;590.000;25.000;2.000;10.000;0.806;0.797
11;601.000;25.000;6.000;2.000;0.862;0.855
12;591.000;28.000;3.000;12.000;0.789;0.776
13;586.000;28.000;3.000;17.000;0.737;0.721
14;590.000;26.000;5.000;13.000;0.743;0.728
15;593.000;26.000;1.000;7.000;0.867;0.860
16;593.000;28.000;3.000;10.000;0.812;0.801
17;595.000;28.000;3.000;8.000;0.836;0.827
18;595.000;26.000;5.000;8.000;0.800;0.789
19;594.000;28.000;3.000;9.000;0.824;0.814
20;594.000;21.000;6.000;6.000;0.778;0.768
21;591.000;25.000;6.000;12.000;0.735;0.720
22;595.000;29.000;2.000;8.000;0.853;0.845
23;595.000;23.000;8.000;8.000;0.742;0.729
24;594.000;29.000;2.000;9.000;0.841;0.832
25;588.000;22.000;5.000;12.000;0.721;0.707
max;601.000;29.000;8.000;17.000;0.867;0.860
avg;592.400;26.120;4.080;10.000;0.789;0.777
min;586.000;21.000;1.000;2.000;0.721;0.707
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;579.000;26.000;5.000;24.000;0.642;0.619
2;568.000;25.000;6.000;35.000;0.549;0.518
3;578.000;24.000;7.000;25.000;0.600;0.575
4;575.000;21.000;10.000;28.000;0.525;0.495
5;568.000;24.000;3.000;32.000;0.578;0.552
6;580.000;24.000;7.000;23.000;0.615;0.591
7;578.000;26.000;5.000;25.000;0.634;0.610
8;572.000;25.000;6.000;31.000;0.575;0.546
9;571.000;24.000;7.000;32.000;0.552;0.522
10;565.000;23.000;4.000;35.000;0.541;0.513
11;579.000;22.000;9.000;24.000;0.571;0.545
12;572.000;24.000;7.000;31.000;0.558;0.529
13;569.000;23.000;8.000;34.000;0.523;0.490
14;574.000;24.000;7.000;29.000;0.571;0.543
15;577.000;25.000;2.000;23.000;0.667;0.647
16;566.000;25.000;6.000;37.000;0.538;0.505
17;576.000;27.000;4.000;27.000;0.635;0.611
18;577.000;26.000;5.000;26.000;0.627;0.602
19;568.000;24.000;7.000;35.000;0.533;0.501
20;569.000;22.000;5.000;31.000;0.550;0.523
21;580.000;25.000;6.000;23.000;0.633;0.610
22;569.000;24.000;7.000;34.000;0.539;0.508
23;576.000;23.000;8.000;27.000;0.568;0.540
24;575.000;24.000;7.000;28.000;0.578;0.551
25;569.000;22.000;5.000;31.000;0.550;0.523
max;580.000;27.000;10.000;37.000;0.667;0.647
avg;573.200;24.080;6.120;29.200;0.578;0.551
min;565.000;21.000;2.000;23.000;0.523;0.490
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;567.000;26.000;5.000;36.000;0.559;0.528
2;575.000;27.000;4.000;28.000;0.628;0.603
3;584.000;23.000;8.000;19.000;0.630;0.608
4;583.000;22.000;9.000;20.000;0.603;0.579
5;594.000;19.000;8.000;6.000;0.731;0.719
6;557.000;30.000;1.000;46.000;0.561;0.528
7;592.000;20.000;11.000;11.000;0.645;0.627
8;571.000;24.000;7.000;32.000;0.552;0.522
9;583.000;23.000;8.000;20.000;0.622;0.599
10;587.000;24.000;3.000;13.000;0.750;0.737
11;565.000;28.000;3.000;38.000;0.577;0.547
12;565.000;26.000;5.000;38.000;0.547;0.515
13;586.000;23.000;8.000;17.000;0.648;0.627
14;577.000;22.000;9.000;26.000;0.557;0.529
15;591.000;18.000;9.000;9.000;0.667;0.652
16;586.000;21.000;10.000;17.000;0.609;0.586
17;585.000;23.000;8.000;18.000;0.639;0.618
18;584.000;26.000;5.000;19.000;0.684;0.665
19;584.000;23.000;8.000;19.000;0.630;0.608
20;584.000;18.000;9.000;16.000;0.590;0.569
21;571.000;26.000;5.000;32.000;0.584;0.556
22;591.000;22.000;9.000;12.000;0.677;0.660
23;586.000;19.000;12.000;17.000;0.567;0.543
24;588.000;28.000;3.000;15.000;0.757;0.742
25;574.000;23.000;4.000;26.000;0.605;0.582
max;594.000;30.000;12.000;46.000;0.757;0.742
avg;580.400;23.360;6.840;22.000;0.625;0.602
min;557.000;18.000;1.000;6.000;0.547;0.515
