LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;549.000;19.000;2.000;11.000;0.745;0.734;0.865
2;548.000;21.000;0.000;12.000;0.778;0.768;0.927
3;537.000;20.000;1.000;23.000;0.625;0.606;0.832
4;540.000;20.000;1.000;20.000;0.656;0.639;0.864
5;538.000;21.000;0.000;18.000;0.700;0.685;0.981
6;549.000;20.000;1.000;11.000;0.769;0.759;0.933
7;551.000;19.000;2.000;9.000;0.776;0.766;0.933
8;543.000;21.000;0.000;17.000;0.712;0.698;0.897
9;538.000;21.000;0.000;22.000;0.656;0.639;0.876
10;538.000;21.000;0.000;18.000;0.700;0.685;0.912
11;546.000;21.000;0.000;14.000;0.750;0.738;0.937
12;552.000;20.000;1.000;8.000;0.816;0.808;0.896
13;539.000;20.000;1.000;21.000;0.645;0.627;0.870
14;545.000;20.000;1.000;15.000;0.714;0.701;0.947
15;533.000;21.000;0.000;23.000;0.646;0.628;0.906
16;550.000;20.000;1.000;10.000;0.784;0.775;0.935
17;538.000;21.000;0.000;22.000;0.656;0.639;0.958
18;546.000;16.000;5.000;14.000;0.627;0.611;0.813
19;540.000;21.000;0.000;20.000;0.677;0.661;0.913
20;547.000;20.000;1.000;9.000;0.800;0.791;0.926
21;544.000;21.000;0.000;16.000;0.724;0.711;0.959
22;543.000;21.000;0.000;17.000;0.712;0.698;0.913
23;544.000;20.000;1.000;16.000;0.702;0.687;0.870
24;539.000;20.000;1.000;21.000;0.645;0.627;0.881
25;542.000;20.000;1.000;14.000;0.727;0.714;0.896
max;552.000;21.000;5.000;23.000;0.816;0.808;0.981
avg;543.160;20.200;0.800;16.040;0.710;0.696;0.906
min;533.000;16.000;0.000;8.000;0.625;0.606;0.813
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;558.000;19.000;2.000;2.000;0.905;0.901
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;18.000;3.000;0.000;0.923;0.920
4;555.000;20.000;1.000;5.000;0.870;0.864
5;556.000;20.000;1.000;0.000;0.976;0.975
6;558.000;21.000;0.000;2.000;0.955;0.953
7;560.000;18.000;3.000;0.000;0.923;0.920
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;18.000;3.000;1.000;0.900;0.896
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;19.000;2.000;1.000;0.927;0.924
12;560.000;18.000;3.000;0.000;0.923;0.920
13;560.000;18.000;3.000;0.000;0.923;0.920
14;560.000;20.000;1.000;0.000;0.976;0.975
15;555.000;21.000;0.000;1.000;0.977;0.976
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;15.000;6.000;0.000;0.833;0.828
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;18.000;3.000;0.000;0.923;0.920
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;18.000;3.000;0.000;0.923;0.920
23;560.000;20.000;1.000;0.000;0.976;0.975
24;558.000;20.000;1.000;2.000;0.930;0.928
25;556.000;19.000;2.000;0.000;0.950;0.948
max;560.000;21.000;6.000;5.000;0.977;0.976
avg;558.480;19.160;1.840;0.720;0.937;0.935
min;555.000;15.000;0.000;0.000;0.833;0.828
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;19.000;2.000;0.000;0.950;0.948
2;560.000;18.000;3.000;0.000;0.923;0.920
3;560.000;20.000;1.000;0.000;0.976;0.975
4;555.000;20.000;1.000;5.000;0.870;0.864
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;20.000;1.000;0.000;0.976;0.975
7;558.000;20.000;1.000;2.000;0.930;0.928
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;20.000;1.000;1.000;0.952;0.951
10;556.000;21.000;0.000;0.000;1.000;1.000
11;559.000;20.000;1.000;1.000;0.952;0.951
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;21.000;0.000;0.000;1.000;1.000
14;560.000;21.000;0.000;0.000;1.000;1.000
15;555.000;21.000;0.000;1.000;0.977;0.976
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;17.000;4.000;0.000;0.895;0.891
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;19.000;2.000;0.000;0.950;0.948
21;558.000;21.000;0.000;2.000;0.955;0.953
22;560.000;19.000;2.000;0.000;0.950;0.948
23;560.000;21.000;0.000;0.000;1.000;1.000
24;558.000;20.000;1.000;2.000;0.930;0.928
25;556.000;21.000;0.000;0.000;1.000;1.000
max;560.000;21.000;4.000;5.000;1.000;1.000
avg;558.520;20.000;1.000;0.680;0.960;0.958
min;555.000;17.000;0.000;0.000;0.870;0.864
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;552.000;21.000;0.000;8.000;0.840;0.833
2;558.000;21.000;0.000;2.000;0.955;0.953
3;551.000;21.000;0.000;9.000;0.824;0.816
4;552.000;21.000;0.000;8.000;0.840;0.833
5;551.000;21.000;0.000;5.000;0.894;0.889
6;549.000;21.000;0.000;11.000;0.792;0.783
7;557.000;20.000;1.000;3.000;0.909;0.906
8;558.000;21.000;0.000;2.000;0.955;0.953
9;550.000;20.000;1.000;10.000;0.784;0.775
10;551.000;21.000;0.000;5.000;0.894;0.889
11;551.000;21.000;0.000;9.000;0.824;0.816
12;555.000;21.000;0.000;5.000;0.894;0.889
13;554.000;21.000;0.000;6.000;0.875;0.870
14;557.000;21.000;0.000;3.000;0.933;0.931
15;547.000;21.000;0.000;9.000;0.824;0.816
16;553.000;21.000;0.000;7.000;0.857;0.851
17;554.000;21.000;0.000;6.000;0.875;0.870
18;553.000;20.000;1.000;7.000;0.833;0.826
19;554.000;20.000;1.000;6.000;0.851;0.845
20;551.000;21.000;0.000;5.000;0.894;0.889
21;555.000;21.000;0.000;5.000;0.894;0.889
22;555.000;20.000;1.000;5.000;0.870;0.864
23;553.000;21.000;0.000;7.000;0.857;0.851
24;551.000;21.000;0.000;9.000;0.824;0.816
25;548.000;21.000;0.000;8.000;0.840;0.833
max;558.000;21.000;1.000;11.000;0.955;0.953
avg;552.800;20.800;0.200;6.400;0.865;0.859
min;547.000;20.000;0.000;2.000;0.784;0.775
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;18.000;3.000;0.000;0.923;0.920
2;560.000;21.000;0.000;0.000;1.000;1.000
3;559.000;21.000;0.000;1.000;0.977;0.976
4;559.000;21.000;0.000;1.000;0.977;0.976
5;556.000;21.000;0.000;0.000;1.000;1.000
6;560.000;20.000;1.000;0.000;0.976;0.975
7;559.000;20.000;1.000;1.000;0.952;0.951
8;559.000;20.000;1.000;1.000;0.952;0.951
9;560.000;21.000;0.000;0.000;1.000;1.000
10;555.000;20.000;1.000;1.000;0.952;0.951
11;560.000;21.000;0.000;0.000;1.000;1.000
12;560.000;19.000;2.000;0.000;0.950;0.948
13;560.000;20.000;1.000;0.000;0.976;0.975
14;559.000;21.000;0.000;1.000;0.977;0.976
15;550.000;21.000;0.000;6.000;0.875;0.870
16;560.000;21.000;0.000;0.000;1.000;1.000
17;559.000;21.000;0.000;1.000;0.977;0.976
18;560.000;18.000;3.000;0.000;0.923;0.920
19;560.000;20.000;1.000;0.000;0.976;0.975
20;555.000;19.000;2.000;1.000;0.927;0.924
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;21.000;0.000;0.000;1.000;1.000
23;560.000;21.000;0.000;0.000;1.000;1.000
24;558.000;20.000;1.000;2.000;0.930;0.928
25;555.000;21.000;0.000;1.000;0.977;0.976
