LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;207.000;6.000;5.000;103.000;0.100;0.040;0.091
2;215.000;8.000;3.000;95.000;0.140;0.084;0.103
3;191.000;8.000;3.000;119.000;0.116;0.056;0.197
4;231.000;6.000;5.000;79.000;0.125;0.068;0.131
5;217.000;5.000;4.000;89.000;0.097;0.047;0.220
6;202.000;8.000;3.000;108.000;0.126;0.068;0.131
7;210.000;8.000;3.000;100.000;0.134;0.077;0.136
8;212.000;8.000;3.000;98.000;0.137;0.080;0.195
9;216.000;6.000;5.000;94.000;0.108;0.049;0.289
10;219.000;5.000;4.000;87.000;0.099;0.050;0.136
11;233.000;6.000;5.000;77.000;0.128;0.071;0.259
12;215.000;9.000;2.000;95.000;0.157;0.101;0.164
13;224.000;6.000;5.000;86.000;0.117;0.059;0.066
14;204.000;9.000;2.000;106.000;0.143;0.086;0.172
15;217.000;7.000;2.000;89.000;0.133;0.086;0.131
16;214.000;8.000;3.000;96.000;0.139;0.082;0.337
17;217.000;8.000;3.000;93.000;0.143;0.086;0.193
18;227.000;6.000;5.000;83.000;0.120;0.063;0.104
19;207.000;10.000;1.000;103.000;0.161;0.105;0.134
20;223.000;3.000;6.000;83.000;0.063;0.012;0.035
21;226.000;6.000;5.000;84.000;0.119;0.061;0.083
22;226.000;6.000;5.000;84.000;0.119;0.061;0.081
23;202.000;11.000;0.000;108.000;0.169;0.114;0.280
24;222.000;7.000;4.000;88.000;0.132;0.075;0.214
25;233.000;6.000;3.000;73.000;0.136;0.090;0.152
max;233.000;11.000;6.000;119.000;0.169;0.114;0.337
avg;216.400;7.040;3.560;92.800;0.126;0.071;0.161
min;191.000;3.000;0.000;73.000;0.063;0.012;0.035
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;310.000;1.000;10.000;0.000;0.167;0.162
2;302.000;1.000;10.000;8.000;0.100;0.071
3;307.000;2.000;9.000;3.000;0.250;0.234
4;307.000;1.000;10.000;3.000;0.133;0.117
5;304.000;0.000;9.000;2.000;0.000;-0.010
6;305.000;1.000;10.000;5.000;0.118;0.096
7;308.000;0.000;11.000;2.000;0.000;-0.011
8;304.000;1.000;10.000;6.000;0.111;0.087
9;308.000;0.000;11.000;2.000;0.000;-0.011
10;305.000;0.000;9.000;1.000;0.000;-0.006
11;307.000;0.000;11.000;3.000;0.000;-0.015
12;307.000;0.000;11.000;3.000;0.000;-0.015
13;301.000;0.000;11.000;9.000;0.000;-0.032
14;306.000;0.000;11.000;4.000;0.000;-0.019
15;302.000;1.000;8.000;4.000;0.143;0.125
16;309.000;0.000;11.000;1.000;0.000;-0.006
17;305.000;0.000;11.000;5.000;0.000;-0.022
18;307.000;1.000;10.000;3.000;0.133;0.117
19;308.000;1.000;10.000;2.000;0.143;0.130
20;293.000;1.000;8.000;13.000;0.087;0.054
21;306.000;0.000;11.000;4.000;0.000;-0.019
22;304.000;0.000;11.000;6.000;0.000;-0.025
23;306.000;1.000;10.000;4.000;0.125;0.106
24;308.000;0.000;11.000;2.000;0.000;-0.011
25;303.000;1.000;8.000;3.000;0.154;0.139
max;310.000;2.000;11.000;13.000;0.250;0.234
avg;305.280;0.520;10.080;3.920;0.067;0.050
min;293.000;0.000;8.000;0.000;0.000;-0.032
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;295.000;2.000;9.000;15.000;0.143;0.106
2;290.000;4.000;7.000;20.000;0.229;0.191
3;284.000;4.000;7.000;26.000;0.195;0.153
4;295.000;2.000;9.000;15.000;0.143;0.106
5;283.000;2.000;7.000;23.000;0.118;0.079
6;285.000;3.000;8.000;25.000;0.154;0.110
7;301.000;1.000;10.000;9.000;0.095;0.065
8;294.000;2.000;9.000;16.000;0.138;0.100
9;300.000;3.000;8.000;10.000;0.250;0.221
10;298.000;0.000;9.000;8.000;0.000;-0.028
11;300.000;1.000;10.000;10.000;0.091;0.059
12;293.000;2.000;9.000;17.000;0.133;0.094
13;288.000;1.000;10.000;22.000;0.059;0.013
14;287.000;2.000;9.000;23.000;0.111;0.067
15;289.000;1.000;8.000;17.000;0.074;0.037
16;296.000;2.000;9.000;14.000;0.148;0.112
17;288.000;4.000;7.000;22.000;0.216;0.177
18;295.000;2.000;9.000;15.000;0.143;0.106
19;298.000;2.000;9.000;12.000;0.160;0.126
20;278.000;1.000;8.000;28.000;0.053;0.009
21;289.000;1.000;10.000;21.000;0.061;0.016
22;289.000;3.000;8.000;21.000;0.171;0.131
23;275.000;4.000;7.000;35.000;0.160;0.113
24;296.000;2.000;9.000;14.000;0.148;0.112
25;288.000;2.000;7.000;18.000;0.138;0.103
max;301.000;4.000;10.000;35.000;0.250;0.221
avg;290.960;2.120;8.480;18.240;0.133;0.095
min;275.000;0.000;7.000;8.000;0.000;-0.028
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;236.000;3.000;8.000;74.000;0.068;0.009
2;219.000;5.000;6.000;91.000;0.093;0.034
3;197.000;3.000;8.000;113.000;0.047;-0.016
4;233.000;5.000;6.000;77.000;0.108;0.050
5;229.000;2.000;7.000;77.000;0.045;-0.006
6;225.000;4.000;7.000;85.000;0.080;0.020
7;238.000;4.000;7.000;72.000;0.092;0.034
8;229.000;1.000;10.000;81.000;0.022;-0.041
9;257.000;4.000;7.000;53.000;0.118;0.064
10;235.000;4.000;5.000;71.000;0.095;0.047
11;230.000;3.000;8.000;80.000;0.064;0.004
12;232.000;2.000;9.000;78.000;0.044;-0.017
13;220.000;5.000;6.000;90.000;0.094;0.035
14;224.000;6.000;5.000;86.000;0.117;0.059
15;217.000;3.000;6.000;89.000;0.059;0.008
16;233.000;2.000;9.000;77.000;0.044;-0.017
17;212.000;5.000;6.000;98.000;0.088;0.027
18;237.000;2.000;9.000;73.000;0.047;-0.014
19;238.000;2.000;9.000;72.000;0.047;-0.013
20;226.000;3.000;6.000;80.000;0.065;0.014
21;228.000;3.000;8.000;82.000;0.062;0.002
22;216.000;5.000;6.000;94.000;0.091;0.031
23;234.000;5.000;6.000;76.000;0.109;0.051
24;234.000;3.000;8.000;76.000;0.067;0.007
25;235.000;3.000;6.000;71.000;0.072;0.022
max;257.000;6.000;10.000;113.000;0.118;0.064
avg;228.560;3.480;7.120;80.640;0.074;0.016
min;197.000;1.000;5.000;53.000;0.022;-0.041
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;261.000;5.000;6.000;49.000;0.154;0.103
2;280.000;5.000;6.000;30.000;0.217;0.174
3;164.000;7.000;4.000;146.000;0.085;0.023
4;273.000;5.000;6.000;37.000;0.189;0.142
5;270.000;3.000;6.000;36.000;0.125;0.082
6;245.000;7.000;4.000;65.000;0.169;0.116
7;203.000;3.000;8.000;107.000;0.050;-0.014
8;250.000;1.000;10.000;60.000;0.028;-0.032
9;266.000;5.000;6.000;44.000;0.167;0.117
10;271.000;2.000;7.000;35.000;0.087;0.043
11;262.000;3.000;8.000;48.000;0.097;0.043
12;257.000;3.000;8.000;53.000;0.090;0.034
13;177.000;5.000;6.000;133.000;0.067;0.004
14;270.000;4.000;7.000;40.000;0.145;0.096
15;240.000;5.000;4.000;66.000;0.125;0.078
16;258.000;3.000;8.000;52.000;0.091;0.036
