LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;274.000;8.000;1.000;14.000;0.516;0.494;0.897
2;273.000;9.000;0.000;15.000;0.545;0.524;0.701
3;277.000;9.000;0.000;11.000;0.621;0.604;0.603
4;280.000;9.000;0.000;8.000;0.692;0.680;0.761
5;275.000;8.000;0.000;13.000;0.552;0.533;0.703
6;275.000;9.000;0.000;13.000;0.581;0.562;0.703
7;270.000;8.000;1.000;18.000;0.457;0.432;0.320
8;281.000;9.000;0.000;7.000;0.720;0.709;0.762
9;273.000;9.000;0.000;15.000;0.545;0.524;0.878
10;277.000;8.000;0.000;11.000;0.593;0.576;0.607
11;273.000;9.000;0.000;15.000;0.545;0.524;0.710
12;274.000;9.000;0.000;14.000;0.562;0.543;0.684
13;280.000;8.000;1.000;8.000;0.640;0.625;0.817
14;279.000;9.000;0.000;9.000;0.667;0.653;0.758
15;275.000;8.000;0.000;13.000;0.552;0.533;0.349
16;275.000;9.000;0.000;13.000;0.581;0.562;0.748
17;271.000;9.000;0.000;17.000;0.514;0.491;0.625
18;278.000;7.000;2.000;10.000;0.538;0.519;0.650
19;280.000;9.000;0.000;8.000;0.692;0.680;0.696
20;272.000;8.000;0.000;16.000;0.500;0.479;0.640
21;272.000;9.000;0.000;16.000;0.529;0.507;0.710
22;280.000;8.000;1.000;8.000;0.640;0.625;0.777
23;277.000;9.000;0.000;11.000;0.621;0.604;0.747
24;281.000;6.000;3.000;7.000;0.545;0.529;0.600
25;271.000;8.000;0.000;17.000;0.485;0.463;0.435
max;281.000;9.000;3.000;18.000;0.720;0.709;0.897
avg;275.720;8.440;0.360;12.280;0.577;0.559;0.675
min;270.000;6.000;0.000;7.000;0.457;0.432;0.320
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;288.000;4.000;5.000;0.000;0.615;0.608
2;285.000;7.000;2.000;3.000;0.737;0.728
3;286.000;6.000;3.000;2.000;0.706;0.697
4;288.000;3.000;6.000;0.000;0.500;0.492
5;286.000;5.000;3.000;2.000;0.667;0.658
6;288.000;8.000;1.000;0.000;0.941;0.939
7;282.000;3.000;6.000;6.000;0.333;0.312
8;288.000;6.000;3.000;0.000;0.800;0.795
9;286.000;8.000;1.000;2.000;0.842;0.837
10;288.000;3.000;5.000;0.000;0.545;0.539
11;287.000;6.000;3.000;1.000;0.750;0.743
12;287.000;6.000;3.000;1.000;0.750;0.743
13;288.000;4.000;5.000;0.000;0.615;0.608
14;288.000;4.000;5.000;0.000;0.615;0.608
15;283.000;7.000;1.000;5.000;0.700;0.690
16;286.000;8.000;1.000;2.000;0.842;0.837
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;288.000;4.000;5.000;0.000;0.615;0.608
20;288.000;7.000;1.000;0.000;0.933;0.932
21;287.000;8.000;1.000;1.000;0.889;0.885
22;288.000;6.000;3.000;0.000;0.800;0.795
23;287.000;7.000;2.000;1.000;0.824;0.818
24;287.000;5.000;4.000;1.000;0.667;0.658
25;284.000;5.000;3.000;4.000;0.588;0.576
max;288.000;8.000;6.000;6.000;0.941;0.939
avg;286.520;5.680;3.120;1.480;0.705;0.698
min;282.000;3.000;1.000;0.000;0.333;0.312
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;6.000;3.000;1.000;0.750;0.743
2;284.000;8.000;1.000;4.000;0.762;0.753
3;284.000;6.000;3.000;4.000;0.632;0.619
4;288.000;5.000;4.000;0.000;0.714;0.708
5;286.000;6.000;2.000;2.000;0.750;0.743
6;287.000;8.000;1.000;1.000;0.889;0.885
7;282.000;3.000;6.000;6.000;0.333;0.312
8;286.000;8.000;1.000;2.000;0.842;0.837
9;286.000;8.000;1.000;2.000;0.842;0.837
10;286.000;4.000;4.000;2.000;0.571;0.561
11;287.000;6.000;3.000;1.000;0.750;0.743
12;285.000;6.000;3.000;3.000;0.667;0.656
13;288.000;7.000;2.000;0.000;0.875;0.872
14;288.000;5.000;4.000;0.000;0.714;0.708
15;283.000;7.000;1.000;5.000;0.700;0.690
16;286.000;8.000;1.000;2.000;0.842;0.837
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;287.000;6.000;3.000;1.000;0.750;0.743
20;286.000;7.000;1.000;2.000;0.824;0.818
21;284.000;9.000;0.000;4.000;0.818;0.811
22;288.000;6.000;3.000;0.000;0.800;0.795
23;287.000;7.000;2.000;1.000;0.824;0.818
24;287.000;6.000;3.000;1.000;0.750;0.743
25;282.000;5.000;3.000;6.000;0.526;0.511
max;288.000;9.000;6.000;6.000;0.889;0.885
avg;285.760;6.360;2.440;2.240;0.731;0.723
min;282.000;3.000;0.000;0.000;0.333;0.312
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;280.000;9.000;0.000;8.000;0.692;0.680
2;273.000;9.000;0.000;15.000;0.545;0.524
3;275.000;9.000;0.000;13.000;0.581;0.562
4;284.000;9.000;0.000;4.000;0.818;0.811
5;275.000;8.000;0.000;13.000;0.552;0.533
6;279.000;9.000;0.000;9.000;0.667;0.653
7;273.000;8.000;1.000;15.000;0.500;0.477
8;278.000;9.000;0.000;10.000;0.643;0.628
9;277.000;9.000;0.000;11.000;0.621;0.604
10;281.000;8.000;0.000;7.000;0.696;0.685
11;276.000;9.000;0.000;12.000;0.600;0.582
12;276.000;8.000;1.000;12.000;0.552;0.532
13;285.000;9.000;0.000;3.000;0.857;0.852
14;281.000;8.000;1.000;7.000;0.667;0.654
15;275.000;8.000;0.000;13.000;0.552;0.533
16;277.000;9.000;0.000;11.000;0.621;0.604
17;278.000;9.000;0.000;10.000;0.643;0.628
18;279.000;9.000;0.000;9.000;0.667;0.653
19;282.000;8.000;1.000;6.000;0.696;0.684
20;273.000;8.000;0.000;15.000;0.516;0.496
21;273.000;9.000;0.000;15.000;0.545;0.524
22;283.000;9.000;0.000;5.000;0.783;0.774
23;282.000;9.000;0.000;6.000;0.750;0.740
24;283.000;8.000;1.000;5.000;0.727;0.717
25;275.000;7.000;1.000;13.000;0.500;0.480
max;285.000;9.000;1.000;15.000;0.857;0.852
avg;278.120;8.560;0.240;9.880;0.640;0.624
min;273.000;7.000;0.000;3.000;0.500;0.477
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;278.000;6.000;3.000;10.000;0.480;0.459
2;276.000;9.000;0.000;12.000;0.600;0.582
3;280.000;8.000;1.000;8.000;0.640;0.625
4;282.000;6.000;3.000;6.000;0.571;0.556
5;272.000;8.000;0.000;16.000;0.500;0.479
6;277.000;9.000;0.000;11.000;0.621;0.604
7;273.000;8.000;1.000;15.000;0.500;0.477
8;281.000;8.000;1.000;7.000;0.667;0.654
9;277.000;9.000;0.000;11.000;0.621;0.604
10;279.000;7.000;1.000;9.000;0.583;0.568
11;274.000;8.000;1.000;14.000;0.516;0.494
12;274.000;8.000;1.000;14.000;0.516;0.494
13;282.000;8.000;1.000;6.000;0.696;0.684
14;278.000;8.000;1.000;10.000;0.593;0.575
15;274.000;8.000;0.000;14.000;0.533;0.514
16;271.000;9.000;0.000;17.000;0.514;0.491
17;270.000;8.000;1.000;18.000;0.457;0.432
18;279.000;6.000;3.000;9.000;0.500;0.480
19;280.000;9.000;0.000;8.000;0.692;0.680
20;276.000;8.000;0.000;12.000;0.571;0.554
21;272.000;9.000;0.000;16.000;0.529;0.507
22;283.000;6.000;3.000;5.000;0.600;0.586
23;279.000;9.000;0.000;9.000;0.667;0.653
24;284.000;6.000;3.000;4.000;0.632;0.619
25;274.000;7.000;1.000;14.000;0.483;0.462
max;284.000;9.000;3.000;18.000;0.696;0.684
avg;277.000;7.800;1.000;11.000;0.571;0.553
min;270.000;6.000;0.000;4.000;0.457;0.432
