LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;123.000;9.000;0.000;15.000;0.545;0.501;0.918
2;133.000;5.000;4.000;5.000;0.526;0.494;0.551
3;132.000;7.000;2.000;6.000;0.636;0.608;0.797
4;133.000;5.000;4.000;5.000;0.526;0.494;0.631
5;134.000;4.000;2.000;3.000;0.615;0.597;0.447
6;131.000;7.000;2.000;7.000;0.609;0.577;0.626
7;132.000;7.000;2.000;6.000;0.636;0.608;0.751
8;134.000;7.000;2.000;4.000;0.700;0.678;0.729
9;130.000;7.000;2.000;8.000;0.583;0.549;0.750
10;130.000;5.000;1.000;7.000;0.556;0.529;0.562
11;131.000;4.000;5.000;7.000;0.400;0.357;0.518
12;134.000;9.000;0.000;4.000;0.818;0.804;0.822
13;134.000;5.000;4.000;4.000;0.556;0.527;0.671
14;122.000;7.000;2.000;16.000;0.438;0.383;0.665
15;131.000;4.000;2.000;6.000;0.500;0.472;0.533
16;130.000;4.000;5.000;8.000;0.381;0.334;0.530
17;131.000;6.000;3.000;7.000;0.545;0.510;0.712
18;132.000;7.000;2.000;6.000;0.636;0.608;0.657
19;132.000;9.000;0.000;6.000;0.750;0.729;0.906
20;132.000;4.000;2.000;5.000;0.533;0.509;0.605
21;129.000;6.000;3.000;9.000;0.500;0.459;0.673
22;130.000;7.000;2.000;8.000;0.583;0.549;0.685
23;130.000;5.000;4.000;8.000;0.455;0.412;0.539
24;132.000;8.000;1.000;6.000;0.696;0.671;0.908
25;132.000;5.000;1.000;5.000;0.625;0.604;0.821
max;134.000;9.000;5.000;16.000;0.818;0.804;0.918
avg;130.960;6.120;2.280;6.840;0.574;0.543;0.680
min;122.000;4.000;0.000;3.000;0.381;0.334;0.447
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;137.000;1.000;8.000;1.000;0.182;0.163
2;137.000;1.000;8.000;1.000;0.182;0.163
3;136.000;3.000;6.000;2.000;0.429;0.402
4;138.000;3.000;6.000;0.000;0.500;0.484
5;137.000;2.000;4.000;0.000;0.500;0.489
6;137.000;2.000;7.000;1.000;0.333;0.312
7;137.000;3.000;6.000;1.000;0.462;0.440
8;135.000;1.000;8.000;3.000;0.154;0.121
9;136.000;3.000;6.000;2.000;0.429;0.402
10;137.000;3.000;3.000;0.000;0.667;0.657
11;136.000;1.000;8.000;2.000;0.167;0.140
12;137.000;1.000;8.000;1.000;0.182;0.163
13;136.000;2.000;7.000;2.000;0.308;0.281
14;136.000;3.000;6.000;2.000;0.429;0.402
15;136.000;2.000;4.000;1.000;0.444;0.428
16;136.000;3.000;6.000;2.000;0.429;0.402
17;133.000;4.000;5.000;5.000;0.444;0.408
18;136.000;3.000;6.000;2.000;0.429;0.402
19;137.000;1.000;8.000;1.000;0.182;0.163
20;135.000;2.000;4.000;2.000;0.400;0.379
21;137.000;1.000;8.000;1.000;0.182;0.163
22;137.000;2.000;7.000;1.000;0.333;0.312
23;135.000;2.000;7.000;3.000;0.286;0.253
24;137.000;2.000;7.000;1.000;0.333;0.312
25;136.000;3.000;3.000;1.000;0.600;0.586
max;138.000;4.000;8.000;5.000;0.667;0.657
avg;136.280;2.160;6.240;1.520;0.359;0.337
min;133.000;1.000;3.000;0.000;0.154;0.121
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;135.000;2.000;7.000;3.000;0.286;0.253
2;133.000;1.000;8.000;5.000;0.133;0.089
3;137.000;1.000;8.000;1.000;0.182;0.163
4;137.000;2.000;7.000;1.000;0.333;0.312
5;137.000;2.000;4.000;0.000;0.500;0.489
6;135.000;3.000;6.000;3.000;0.400;0.369
7;136.000;3.000;6.000;2.000;0.429;0.402
8;134.000;1.000;8.000;4.000;0.143;0.104
9;136.000;3.000;6.000;2.000;0.429;0.402
10;137.000;2.000;4.000;0.000;0.500;0.489
11;135.000;2.000;7.000;3.000;0.286;0.253
12;135.000;1.000;8.000;3.000;0.154;0.121
13;134.000;1.000;8.000;4.000;0.143;0.104
14;137.000;3.000;6.000;1.000;0.462;0.440
15;133.000;2.000;4.000;4.000;0.333;0.304
16;133.000;3.000;6.000;5.000;0.353;0.313
17;130.000;4.000;5.000;8.000;0.381;0.334
18;138.000;3.000;6.000;0.000;0.500;0.484
19;136.000;1.000;8.000;2.000;0.167;0.140
20;135.000;2.000;4.000;2.000;0.400;0.379
21;137.000;0.000;9.000;1.000;0.000;-0.012
22;137.000;3.000;6.000;1.000;0.462;0.440
