LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;413.000;12.000;0.000;43.000;0.358;0.330;0.470
2;422.000;10.000;2.000;34.000;0.357;0.330;0.628
3;433.000;8.000;4.000;23.000;0.372;0.348;0.365
4;435.000;9.000;3.000;21.000;0.429;0.407;0.545
5;432.000;6.000;4.000;24.000;0.300;0.277;0.310
6;435.000;11.000;1.000;21.000;0.500;0.481;0.637
7;408.000;12.000;0.000;48.000;0.333;0.304;0.519
8;422.000;10.000;2.000;34.000;0.357;0.330;0.272
9;435.000;7.000;5.000;21.000;0.350;0.326;0.522
10;421.000;7.000;3.000;35.000;0.269;0.243;0.424
11;432.000;9.000;3.000;24.000;0.400;0.377;0.540
12;405.000;8.000;4.000;51.000;0.225;0.191;0.356
13;418.000;11.000;1.000;38.000;0.361;0.333;0.446
14;414.000;10.000;2.000;42.000;0.312;0.283;0.321
15;416.000;10.000;0.000;40.000;0.333;0.309;0.593
16;405.000;11.000;1.000;51.000;0.297;0.266;0.616
17;401.000;11.000;1.000;55.000;0.282;0.249;0.604
18;421.000;10.000;2.000;35.000;0.351;0.323;0.418
19;434.000;8.000;4.000;22.000;0.381;0.357;0.474
20;421.000;8.000;2.000;35.000;0.302;0.277;0.331
21;424.000;9.000;3.000;32.000;0.340;0.312;0.384
22;431.000;6.000;6.000;25.000;0.279;0.251;0.352
23;424.000;10.000;2.000;32.000;0.370;0.344;0.370
24;423.000;11.000;1.000;33.000;0.393;0.367;0.736
25;428.000;8.000;2.000;28.000;0.348;0.325;0.388
max;435.000;12.000;6.000;55.000;0.500;0.481;0.736
avg;422.120;9.280;2.320;33.880;0.344;0.318;0.465
min;401.000;6.000;0.000;21.000;0.225;0.191;0.272
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;448.000;5.000;7.000;8.000;0.400;0.384
2;451.000;1.000;11.000;5.000;0.111;0.096
3;453.000;4.000;8.000;3.000;0.421;0.410
4;454.000;3.000;9.000;2.000;0.353;0.343
5;455.000;1.000;9.000;1.000;0.167;0.161
6;454.000;1.000;11.000;2.000;0.133;0.124
7;452.000;6.000;6.000;4.000;0.545;0.535
8;451.000;2.000;10.000;5.000;0.211;0.195
9;454.000;4.000;8.000;2.000;0.444;0.435
10;451.000;2.000;8.000;5.000;0.235;0.222
11;454.000;3.000;9.000;2.000;0.353;0.343
12;448.000;3.000;9.000;8.000;0.261;0.242
13;455.000;5.000;7.000;1.000;0.556;0.548
14;451.000;0.000;12.000;5.000;0.000;-0.015
15;455.000;3.000;7.000;1.000;0.429;0.421
16;453.000;3.000;9.000;3.000;0.333;0.322
17;450.000;3.000;9.000;6.000;0.286;0.270
18;452.000;2.000;10.000;4.000;0.222;0.209
19;450.000;0.000;12.000;6.000;0.000;-0.017
20;450.000;4.000;6.000;6.000;0.400;0.387
21;452.000;3.000;9.000;4.000;0.316;0.303
22;452.000;1.000;11.000;4.000;0.118;0.104
23;451.000;3.000;9.000;5.000;0.300;0.285
24;451.000;0.000;12.000;5.000;0.000;-0.015
25;453.000;4.000;6.000;3.000;0.471;0.461
max;455.000;6.000;12.000;8.000;0.556;0.548
avg;452.000;2.640;8.960;4.000;0.283;0.270
min;448.000;0.000;6.000;1.000;0.000;-0.017
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;447.000;5.000;7.000;9.000;0.385;0.367
2;451.000;3.000;9.000;5.000;0.300;0.285
3;451.000;2.000;10.000;5.000;0.211;0.195
4;451.000;5.000;7.000;5.000;0.455;0.442
5;454.000;1.000;9.000;2.000;0.154;0.145
