LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;296.000;13.000;0.000;37.000;0.413;0.375;0.357
2;297.000;12.000;1.000;36.000;0.393;0.355;0.296
3;297.000;13.000;0.000;36.000;0.419;0.383;0.400
4;293.000;13.000;0.000;40.000;0.394;0.355;0.374
5;298.000;12.000;1.000;33.000;0.414;0.377;0.446
6;301.000;12.000;1.000;32.000;0.421;0.385;0.287
7;287.000;13.000;0.000;46.000;0.361;0.319;0.365
8;294.000;12.000;1.000;39.000;0.375;0.335;0.340
9;298.000;13.000;0.000;35.000;0.426;0.390;0.284
10;296.000;12.000;1.000;35.000;0.400;0.362;0.549
11;292.000;12.000;1.000;41.000;0.364;0.323;0.311
12;304.000;13.000;0.000;29.000;0.473;0.441;0.432
13;299.000;12.000;1.000;34.000;0.407;0.370;0.334
14;297.000;13.000;0.000;36.000;0.419;0.383;0.388
15;297.000;10.000;3.000;34.000;0.351;0.311;0.379
16;299.000;13.000;0.000;34.000;0.433;0.398;0.426
17;289.000;12.000;1.000;44.000;0.348;0.305;0.507
18;291.000;13.000;0.000;42.000;0.382;0.342;0.320
19;298.000;12.000;1.000;35.000;0.400;0.362;0.278
20;302.000;11.000;2.000;29.000;0.415;0.380;0.337
21;287.000;13.000;0.000;46.000;0.361;0.319;0.298
22;307.000;10.000;3.000;26.000;0.408;0.374;0.356
23;308.000;11.000;2.000;25.000;0.449;0.417;0.339
24;292.000;12.000;1.000;41.000;0.364;0.323;0.293
25;292.000;13.000;0.000;39.000;0.400;0.361;0.473
max;308.000;13.000;3.000;46.000;0.473;0.441;0.549
avg;296.440;12.200;0.800;36.160;0.400;0.362;0.367
min;287.000;10.000;0.000;25.000;0.348;0.305;0.278
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;12.000;1.000;0.000;0.960;0.959
2;333.000;11.000;2.000;0.000;0.917;0.914
3;333.000;10.000;3.000;0.000;0.870;0.865
4;333.000;11.000;2.000;0.000;0.917;0.914
5;331.000;10.000;3.000;0.000;0.870;0.865
6;333.000;12.000;1.000;0.000;0.960;0.959
7;333.000;12.000;1.000;0.000;0.960;0.959
8;333.000;11.000;2.000;0.000;0.917;0.914
9;333.000;11.000;2.000;0.000;0.917;0.914
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;9.000;4.000;0.000;0.818;0.812
12;333.000;12.000;1.000;0.000;0.960;0.959
13;333.000;13.000;0.000;0.000;1.000;1.000
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;9.000;4.000;0.000;0.818;0.812
16;333.000;13.000;0.000;0.000;1.000;1.000
17;332.000;12.000;1.000;1.000;0.923;0.920
18;333.000;13.000;0.000;0.000;1.000;1.000
19;332.000;8.000;5.000;1.000;0.727;0.719
20;330.000;11.000;2.000;1.000;0.880;0.875
21;333.000;12.000;1.000;0.000;0.960;0.959
22;333.000;10.000;3.000;0.000;0.870;0.865
23;333.000;9.000;4.000;0.000;0.818;0.812
24;333.000;13.000;0.000;0.000;1.000;1.000
25;331.000;12.000;1.000;0.000;0.960;0.958
max;333.000;13.000;5.000;1.000;1.000;1.000
avg;332.480;11.280;1.720;0.120;0.921;0.918
min;330.000;8.000;0.000;0.000;0.727;0.719
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;12.000;1.000;0.000;0.960;0.959
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;13.000;0.000;0.000;1.000;1.000
5;329.000;13.000;0.000;2.000;0.929;0.926
