LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;187.000;9.000;5.000;145.000;0.107;0.036;0.070
2;194.000;11.000;3.000;138.000;0.135;0.066;0.088
3;190.000;9.000;5.000;142.000;0.109;0.038;0.065
4;202.000;9.000;5.000;130.000;0.118;0.048;0.078
5;187.000;8.000;5.000;144.000;0.097;0.029;0.053
6;173.000;10.000;4.000;159.000;0.109;0.037;0.078
7;178.000;11.000;3.000;154.000;0.123;0.052;0.080
8;197.000;9.000;5.000;135.000;0.114;0.043;0.074
9;202.000;7.000;7.000;130.000;0.093;0.021;0.050
10;193.000;7.000;6.000;138.000;0.089;0.021;0.078
11;175.000;12.000;2.000;157.000;0.131;0.061;0.080
12;200.000;9.000;5.000;132.000;0.116;0.046;0.072
13;189.000;8.000;6.000;143.000;0.097;0.025;0.058
14;180.000;11.000;3.000;152.000;0.124;0.054;0.082
15;184.000;8.000;5.000;147.000;0.095;0.027;0.062
16;181.000;9.000;5.000;151.000;0.103;0.031;0.071
17;184.000;9.000;5.000;148.000;0.105;0.033;0.070
18;181.000;9.000;5.000;151.000;0.103;0.031;0.070
19;203.000;8.000;6.000;129.000;0.106;0.035;0.057
20;194.000;12.000;1.000;137.000;0.148;0.085;0.078
21;187.000;6.000;8.000;145.000;0.073;-0.001;0.055
22;195.000;8.000;6.000;137.000;0.101;0.029;0.078
23;172.000;10.000;4.000;160.000;0.109;0.037;0.093
24;179.000;10.000;4.000;153.000;0.113;0.042;0.084
25;187.000;10.000;3.000;144.000;0.120;0.054;0.066
max;203.000;12.000;8.000;160.000;0.148;0.085;0.093
avg;187.760;9.160;4.640;144.040;0.110;0.039;0.072
min;172.000;6.000;1.000;129.000;0.073;-0.001;0.050
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;9.000;5.000;0.000;0.783;0.775
2;332.000;8.000;6.000;0.000;0.727;0.719
3;332.000;8.000;6.000;0.000;0.727;0.719
4;332.000;5.000;9.000;0.000;0.526;0.516
5;331.000;4.000;9.000;0.000;0.471;0.461
6;332.000;5.000;9.000;0.000;0.526;0.516
7;332.000;6.000;8.000;0.000;0.600;0.590
8;332.000;7.000;7.000;0.000;0.667;0.657
9;332.000;3.000;11.000;0.000;0.353;0.344
10;331.000;4.000;9.000;0.000;0.471;0.461
11;332.000;9.000;5.000;0.000;0.783;0.775
12;331.000;7.000;7.000;1.000;0.636;0.625
13;332.000;7.000;7.000;0.000;0.667;0.657
14;332.000;7.000;7.000;0.000;0.667;0.657
15;331.000;8.000;5.000;0.000;0.762;0.755
16;332.000;9.000;5.000;0.000;0.783;0.775
17;332.000;4.000;10.000;0.000;0.444;0.434
18;332.000;7.000;7.000;0.000;0.667;0.657
19;332.000;10.000;4.000;0.000;0.833;0.828
20;331.000;7.000;6.000;0.000;0.700;0.692
21;332.000;6.000;8.000;0.000;0.600;0.590
22;332.000;8.000;6.000;0.000;0.727;0.719
23;332.000;9.000;5.000;0.000;0.783;0.775
24;332.000;6.000;8.000;0.000;0.600;0.590
25;330.000;7.000;6.000;1.000;0.667;0.657
max;332.000;10.000;11.000;1.000;0.833;0.828
avg;331.720;6.800;7.000;0.080;0.647;0.638
min;330.000;3.000;4.000;0.000;0.353;0.344
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;13.000;1.000;2.000;0.897;0.892
2;331.000;11.000;3.000;1.000;0.846;0.840
3;331.000;11.000;3.000;1.000;0.846;0.840
4;332.000;11.000;3.000;0.000;0.880;0.876
5;329.000;11.000;2.000;2.000;0.846;0.840
6;332.000;13.000;1.000;0.000;0.963;0.961
7;331.000;13.000;1.000;1.000;0.929;0.926
8;332.000;10.000;4.000;0.000;0.833;0.828
