LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;179.000;1.000;8.000;26.000;0.056;-0.008;0.087
2;182.000;7.000;2.000;23.000;0.359;0.315;0.398
3;186.000;6.000;3.000;19.000;0.353;0.310;0.510
4;190.000;9.000;0.000;15.000;0.545;0.516;0.763
5;182.000;4.000;3.000;21.000;0.250;0.209;0.219
6;180.000;7.000;2.000;25.000;0.341;0.295;0.426
7;176.000;5.000;4.000;29.000;0.233;0.178;0.377
8;179.000;6.000;3.000;26.000;0.293;0.243;0.370
9;193.000;3.000;6.000;12.000;0.250;0.208;0.290
10;185.000;7.000;0.000;18.000;0.438;0.407;0.404
11;188.000;7.000;2.000;17.000;0.424;0.387;0.814
12;174.000;7.000;2.000;31.000;0.298;0.247;0.251
13;186.000;6.000;3.000;19.000;0.353;0.310;0.370
14;189.000;4.000;5.000;16.000;0.276;0.231;0.217
15;178.000;6.000;1.000;25.000;0.316;0.276;0.284
16;194.000;2.000;7.000;11.000;0.182;0.139;0.187
17;189.000;5.000;4.000;16.000;0.333;0.292;0.588
18;184.000;5.000;4.000;21.000;0.286;0.238;0.271
19;186.000;7.000;2.000;19.000;0.400;0.360;0.399
20;183.000;6.000;1.000;20.000;0.364;0.328;0.490
21;186.000;4.000;5.000;19.000;0.250;0.202;0.254
22;183.000;6.000;3.000;22.000;0.324;0.278;0.344
23;178.000;9.000;0.000;27.000;0.400;0.357;0.508
24;195.000;4.000;5.000;10.000;0.348;0.313;0.220
25;177.000;5.000;2.000;26.000;0.263;0.221;0.450
max;195.000;9.000;8.000;31.000;0.545;0.516;0.814
avg;184.080;5.520;3.080;20.520;0.317;0.274;0.380
min;174.000;1.000;0.000;10.000;0.056;-0.008;0.087
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;197.000;0.000;9.000;8.000;0.000;-0.041
2;201.000;1.000;8.000;4.000;0.143;0.116
3;202.000;1.000;8.000;3.000;0.154;0.131
4;205.000;2.000;7.000;0.000;0.364;0.354
5;199.000;1.000;6.000;4.000;0.167;0.143
6;202.000;2.000;7.000;3.000;0.286;0.264
7;202.000;0.000;9.000;3.000;0.000;-0.021
8;203.000;1.000;8.000;2.000;0.167;0.149
9;202.000;0.000;9.000;3.000;0.000;-0.021
10;201.000;1.000;6.000;2.000;0.200;0.184
11;204.000;1.000;8.000;1.000;0.182;0.169
12;198.000;2.000;7.000;7.000;0.222;0.188
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;204.000;0.000;9.000;1.000;0.000;-0.008
15;195.000;2.000;5.000;8.000;0.235;0.204
16;198.000;0.000;9.000;7.000;0.000;-0.038
17;202.000;2.000;7.000;3.000;0.286;0.264
18;203.000;1.000;8.000;2.000;0.167;0.149
19;200.000;2.000;7.000;5.000;0.250;0.221
20;201.000;0.000;7.000;2.000;0.000;-0.015
21;204.000;1.000;8.000;1.000;0.182;0.169
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;1.000;8.000;0.000;0.200;0.193
24;202.000;0.000;9.000;3.000;0.000;-0.021
25;196.000;1.000;6.000;7.000;0.133;0.101
max;205.000;2.000;9.000;8.000;0.364;0.354
avg;201.360;0.880;7.720;3.240;0.133;0.113
min;195.000;0.000;5.000;0.000;0.000;-0.041
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;201.000;1.000;8.000;4.000;0.143;0.116
2;203.000;1.000;8.000;2.000;0.167;0.149
3;205.000;1.000;8.000;0.000;0.200;0.193
4;204.000;2.000;7.000;1.000;0.333;0.319
5;200.000;2.000;5.000;3.000;0.333;0.314
