LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;556.000;24.000;7.000;47.000;0.471;0.432;0.516
2;543.000;26.000;5.000;60.000;0.444;0.401;0.496
3;535.000;22.000;9.000;68.000;0.364;0.314;0.376
4;527.000;26.000;5.000;76.000;0.391;0.342;0.400
5;543.000;24.000;3.000;57.000;0.444;0.406;0.561
6;561.000;21.000;10.000;42.000;0.447;0.408;0.526
7;552.000;26.000;5.000;51.000;0.481;0.443;0.502
8;551.000;25.000;6.000;52.000;0.463;0.423;0.549
9;531.000;24.000;7.000;72.000;0.378;0.328;0.324
10;523.000;26.000;1.000;77.000;0.400;0.356;0.508
11;534.000;25.000;6.000;69.000;0.400;0.352;0.513
12;546.000;20.000;11.000;57.000;0.370;0.323;0.315
13;538.000;30.000;1.000;65.000;0.476;0.434;0.586
14;545.000;28.000;3.000;58.000;0.479;0.438;0.473
15;535.000;21.000;6.000;65.000;0.372;0.328;0.348
16;548.000;24.000;7.000;55.000;0.436;0.394;0.423
17;555.000;24.000;7.000;48.000;0.466;0.427;0.469
18;549.000;27.000;4.000;54.000;0.482;0.443;0.611
19;532.000;29.000;2.000;71.000;0.443;0.398;0.549
20;545.000;20.000;7.000;55.000;0.392;0.351;0.424
21;546.000;25.000;6.000;57.000;0.442;0.400;0.450
22;551.000;22.000;9.000;52.000;0.419;0.376;0.524
23;532.000;28.000;3.000;71.000;0.431;0.385;0.565
24;546.000;25.000;6.000;57.000;0.442;0.400;0.481
25;537.000;22.000;5.000;63.000;0.393;0.350;0.337
max;561.000;30.000;11.000;77.000;0.482;0.443;0.611
avg;542.440;24.560;5.640;59.960;0.429;0.386;0.473
min;523.000;20.000;1.000;42.000;0.364;0.314;0.315
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;601.000;24.000;7.000;2.000;0.842;0.835
2;596.000;27.000;4.000;7.000;0.831;0.822
3;600.000;25.000;6.000;3.000;0.847;0.840
4;601.000;17.000;14.000;2.000;0.680;0.668
5;596.000;21.000;6.000;4.000;0.808;0.799
6;598.000;21.000;10.000;5.000;0.737;0.725
7;598.000;24.000;7.000;5.000;0.800;0.790
8;600.000;21.000;10.000;3.000;0.764;0.753
9;599.000;24.000;7.000;4.000;0.814;0.804
10;597.000;23.000;4.000;3.000;0.868;0.862
11;601.000;21.000;10.000;2.000;0.778;0.768
12;595.000;28.000;3.000;8.000;0.836;0.827
13;598.000;25.000;6.000;5.000;0.820;0.811
14;596.000;20.000;11.000;7.000;0.690;0.675
15;597.000;23.000;4.000;3.000;0.868;0.862
16;600.000;25.000;6.000;3.000;0.847;0.840
17;598.000;22.000;9.000;5.000;0.759;0.747
18;603.000;23.000;8.000;0.000;0.852;0.845
19;601.000;24.000;7.000;2.000;0.842;0.835
20;596.000;18.000;9.000;4.000;0.735;0.724
21;599.000;23.000;8.000;4.000;0.793;0.783
22;601.000;22.000;9.000;2.000;0.800;0.791
23;599.000;20.000;11.000;4.000;0.727;0.715
24;600.000;26.000;5.000;3.000;0.867;0.860
25;595.000;17.000;10.000;5.000;0.694;0.682
max;603.000;28.000;14.000;8.000;0.868;0.862
avg;598.600;22.560;7.640;3.800;0.796;0.786
min;595.000;17.000;3.000;0.000;0.680;0.668
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;598.000;25.000;6.000;5.000;0.820;0.811
2;592.000;28.000;3.000;11.000;0.800;0.788
3;597.000;28.000;3.000;6.000;0.862;0.854
4;599.000;21.000;10.000;4.000;0.750;0.739
5;594.000;24.000;3.000;6.000;0.842;0.835
6;596.000;20.000;11.000;7.000;0.690;0.675
7;597.000;27.000;4.000;6.000;0.844;0.835
8;598.000;25.000;6.000;5.000;0.820;0.811
9;597.000;25.000;6.000;6.000;0.806;0.797
10;595.000;24.000;3.000;5.000;0.857;0.850
11;603.000;25.000;6.000;0.000;0.893;0.888
12;592.000;28.000;3.000;11.000;0.800;0.788
13;592.000;26.000;5.000;11.000;0.765;0.751
14;594.000;24.000;7.000;9.000;0.750;0.737
15;597.000;26.000;1.000;3.000;0.929;0.925
16;595.000;28.000;3.000;8.000;0.836;0.827
17;598.000;27.000;4.000;5.000;0.857;0.850
18;600.000;24.000;7.000;3.000;0.828;0.819
19;599.000;25.000;6.000;4.000;0.833;0.825
20;596.000;21.000;6.000;4.000;0.808;0.799
21;598.000;25.000;6.000;5.000;0.820;0.811
22;598.000;28.000;3.000;5.000;0.875;0.868
23;595.000;20.000;11.000;8.000;0.678;0.662
24;597.000;28.000;3.000;6.000;0.862;0.854
25;593.000;21.000;6.000;7.000;0.764;0.753
max;603.000;28.000;11.000;11.000;0.929;0.925
avg;596.400;24.920;5.280;6.000;0.815;0.806
min;592.000;20.000;1.000;0.000;0.678;0.662
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;595.000;21.000;10.000;8.000;0.700;0.685
2;590.000;23.000;8.000;13.000;0.687;0.669
3;587.000;21.000;10.000;16.000;0.618;0.596
4;590.000;21.000;10.000;13.000;0.646;0.627
5;584.000;21.000;6.000;16.000;0.656;0.638
6;598.000;10.000;21.000;5.000;0.435;0.416
7;594.000;21.000;10.000;9.000;0.689;0.673
8;596.000;18.000;13.000;7.000;0.643;0.627
9;591.000;21.000;10.000;12.000;0.656;0.638
10;591.000;17.000;10.000;9.000;0.642;0.626
11;596.000;20.000;11.000;7.000;0.690;0.675
12;582.000;22.000;9.000;21.000;0.595;0.570
