LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;554.000;19.000;2.000;6.000;0.826;0.819;0.872
2;550.000;21.000;0.000;10.000;0.808;0.799;0.947
3;543.000;21.000;0.000;17.000;0.712;0.698;0.903
4;544.000;19.000;2.000;16.000;0.679;0.663;0.896
5;544.000;21.000;0.000;12.000;0.778;0.767;0.989
6;552.000;20.000;1.000;8.000;0.816;0.808;0.943
7;558.000;19.000;2.000;2.000;0.905;0.901;0.920
8;549.000;21.000;0.000;11.000;0.792;0.783;0.934
9;543.000;21.000;0.000;17.000;0.712;0.698;0.894
10;540.000;20.000;1.000;16.000;0.702;0.687;0.932
11;551.000;20.000;1.000;9.000;0.800;0.791;0.950
12;556.000;20.000;1.000;4.000;0.889;0.884;0.898
13;543.000;20.000;1.000;17.000;0.690;0.675;0.886
14;546.000;20.000;1.000;14.000;0.727;0.715;0.946
15;538.000;21.000;0.000;18.000;0.700;0.685;0.957
16;548.000;20.000;1.000;12.000;0.755;0.744;0.934
17;543.000;21.000;0.000;17.000;0.712;0.698;0.973
18;548.000;17.000;4.000;12.000;0.680;0.666;0.830
19;545.000;21.000;0.000;15.000;0.737;0.724;0.952
20;551.000;20.000;1.000;5.000;0.870;0.864;0.945
21;544.000;21.000;0.000;16.000;0.724;0.711;0.979
22;550.000;20.000;1.000;10.000;0.784;0.775;0.936
23;550.000;20.000;1.000;10.000;0.784;0.775;0.892
24;546.000;20.000;1.000;14.000;0.727;0.715;0.919
25;542.000;20.000;1.000;14.000;0.727;0.714;0.913
max;558.000;21.000;4.000;18.000;0.905;0.901;0.989
avg;547.120;20.120;0.880;12.080;0.761;0.750;0.926
min;538.000;17.000;0.000;2.000;0.679;0.663;0.830
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;17.000;4.000;0.000;0.895;0.891
2;560.000;21.000;0.000;0.000;1.000;1.000
3;560.000;19.000;2.000;0.000;0.950;0.948
4;555.000;20.000;1.000;5.000;0.870;0.864
5;554.000;21.000;0.000;2.000;0.955;0.953
6;560.000;21.000;0.000;0.000;1.000;1.000
7;560.000;18.000;3.000;0.000;0.923;0.920
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;20.000;1.000;1.000;0.952;0.951
12;560.000;21.000;0.000;0.000;1.000;1.000
13;559.000;19.000;2.000;1.000;0.927;0.924
14;559.000;20.000;1.000;1.000;0.952;0.951
15;555.000;21.000;0.000;1.000;0.977;0.976
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;21.000;0.000;0.000;1.000;1.000
18;560.000;17.000;4.000;0.000;0.895;0.891
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;20.000;1.000;0.000;0.976;0.975
21;558.000;20.000;1.000;2.000;0.930;0.928
22;560.000;18.000;3.000;0.000;0.923;0.920
23;560.000;20.000;1.000;0.000;0.976;0.975
24;557.000;20.000;1.000;3.000;0.909;0.906
25;554.000;21.000;0.000;2.000;0.955;0.953
max;560.000;21.000;4.000;5.000;1.000;1.000
avg;558.320;19.760;1.240;0.880;0.949;0.947
min;554.000;17.000;0.000;0.000;0.870;0.864
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;19.000;2.000;0.000;0.950;0.948
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;20.000;1.000;0.000;0.976;0.975
4;555.000;21.000;0.000;5.000;0.894;0.889
5;556.000;21.000;0.000;0.000;1.000;1.000
6;560.000;20.000;1.000;0.000;0.976;0.975
7;560.000;20.000;1.000;0.000;0.976;0.975
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;21.000;0.000;0.000;1.000;1.000
11;559.000;21.000;0.000;1.000;0.977;0.976
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;19.000;2.000;0.000;0.950;0.948
14;559.000;20.000;1.000;1.000;0.952;0.951
15;555.000;21.000;0.000;1.000;0.977;0.976
16;558.000;20.000;1.000;2.000;0.930;0.928
17;560.000;21.000;0.000;0.000;1.000;1.000
18;560.000;18.000;3.000;0.000;0.923;0.920
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;19.000;2.000;0.000;0.950;0.948
21;559.000;21.000;0.000;1.000;0.977;0.976
22;560.000;17.000;4.000;0.000;0.895;0.891
23;560.000;21.000;0.000;0.000;1.000;1.000
24;559.000;20.000;1.000;1.000;0.952;0.951
25;555.000;21.000;0.000;1.000;0.977;0.976
max;560.000;21.000;4.000;5.000;1.000;1.000
avg;558.600;20.000;1.000;0.600;0.961;0.960
min;555.000;17.000;0.000;0.000;0.894;0.889
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;553.000;19.000;2.000;7.000;0.809;0.801
2;557.000;21.000;0.000;3.000;0.933;0.931
3;551.000;21.000;0.000;9.000;0.824;0.816
4;552.000;21.000;0.000;8.000;0.840;0.833
5;551.000;21.000;0.000;5.000;0.894;0.889
6;554.000;21.000;0.000;6.000;0.875;0.870
7;555.000;19.000;2.000;5.000;0.844;0.838
8;558.000;20.000;1.000;2.000;0.930;0.928
9;550.000;21.000;0.000;10.000;0.808;0.799
10;550.000;20.000;1.000;6.000;0.851;0.845
11;550.000;21.000;0.000;10.000;0.808;0.799
12;554.000;21.000;0.000;6.000;0.875;0.870
13;552.000;21.000;0.000;8.000;0.840;0.833
14;556.000;21.000;0.000;4.000;0.913;0.909
15;546.000;21.000;0.000;10.000;0.808;0.799
16;551.000;21.000;0.000;9.000;0.824;0.816
17;551.000;21.000;0.000;9.000;0.824;0.816
18;552.000;20.000;1.000;8.000;0.816;0.808
19;555.000;20.000;1.000;5.000;0.870;0.864
20;552.000;21.000;0.000;4.000;0.913;0.909
21;552.000;20.000;1.000;8.000;0.816;0.808
22;555.000;20.000;1.000;5.000;0.870;0.864
23;551.000;21.000;0.000;9.000;0.824;0.816
24;552.000;21.000;0.000;8.000;0.840;0.833
25;550.000;21.000;0.000;6.000;0.875;0.870
max;558.000;21.000;2.000;10.000;0.933;0.931
avg;552.400;20.600;0.400;6.800;0.853;0.847
min;546.000;19.000;0.000;2.000;0.808;0.799
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;16.000;5.000;0.000;0.865;0.861
2;559.000;21.000;0.000;1.000;0.977;0.976
3;556.000;19.000;2.000;4.000;0.864;0.858
4;560.000;20.000;1.000;0.000;0.976;0.975
5;556.000;21.000;0.000;0.000;1.000;1.000
6;559.000;21.000;0.000;1.000;0.977;0.976
7;560.000;19.000;2.000;0.000;0.950;0.948
8;558.000;20.000;1.000;2.000;0.930;0.928
9;553.000;20.000;1.000;7.000;0.833;0.826
10;556.000;20.000;1.000;0.000;0.976;0.975
11;560.000;20.000;1.000;0.000;0.976;0.975
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;18.000;3.000;0.000;0.923;0.920
14;560.000;20.000;1.000;0.000;0.976;0.975
15;553.000;21.000;0.000;3.000;0.933;0.931
16;557.000;21.000;0.000;3.000;0.933;0.931
17;559.000;20.000;1.000;1.000;0.952;0.951
18;560.000;15.000;6.000;0.000;0.833;0.828
19;560.000;20.000;1.000;0.000;0.976;0.975
20;556.000;20.000;1.000;0.000;0.976;0.975
21;560.000;19.000;2.000;0.000;0.950;0.948
22;558.000;19.000;2.000;2.000;0.905;0.901
23;560.000;19.000;2.000;0.000;0.950;0.948
24;559.000;20.000;1.000;1.000;0.952;0.951
25;555.000;21.000;0.000;1.000;0.977;0.976
max;560.000;21.000;6.000;7.000;1.000;1.000
avg;558.160;19.600;1.400;1.040;0.941;0.939
min;553.000;15.000;0.000;0.000;0.833;0.826
