LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;214.000;7.000;4.000;96.000;0.123;0.065;0.136
2;226.000;8.000;3.000;84.000;0.155;0.100;0.128
3;198.000;9.000;2.000;112.000;0.136;0.078;0.237
4;238.000;5.000;6.000;72.000;0.114;0.057;0.096
5;223.000;5.000;4.000;83.000;0.103;0.054;0.220
6;221.000;8.000;3.000;89.000;0.148;0.092;0.155
7;223.000;7.000;4.000;87.000;0.133;0.077;0.184
8;206.000;8.000;3.000;104.000;0.130;0.072;0.191
9;226.000;5.000;6.000;84.000;0.100;0.042;0.278
10;232.000;6.000;3.000;74.000;0.135;0.088;0.129
11;228.000;7.000;4.000;82.000;0.140;0.084;0.149
12;220.000;8.000;3.000;90.000;0.147;0.091;0.263
13;221.000;6.000;5.000;89.000;0.113;0.055;0.084
14;204.000;9.000;2.000;106.000;0.143;0.086;0.182
15;223.000;6.000;3.000;83.000;0.122;0.074;0.195
16;225.000;9.000;2.000;85.000;0.171;0.117;0.358
17;207.000;8.000;3.000;103.000;0.131;0.073;0.192
18;237.000;5.000;6.000;73.000;0.112;0.056;0.085
19;219.000;10.000;1.000;91.000;0.179;0.124;0.155
20;221.000;2.000;7.000;85.000;0.042;-0.011;0.034
21;225.000;6.000;5.000;85.000;0.118;0.060;0.074
22;238.000;5.000;6.000;72.000;0.114;0.057;0.099
23;202.000;11.000;0.000;108.000;0.169;0.114;0.288
24;216.000;8.000;3.000;94.000;0.142;0.085;0.194
25;238.000;6.000;3.000;68.000;0.145;0.099;0.164
max;238.000;11.000;7.000;112.000;0.179;0.124;0.358
avg;221.240;6.960;3.640;87.960;0.131;0.076;0.171
min;198.000;2.000;0.000;68.000;0.042;-0.011;0.034
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;301.000;0.000;11.000;9.000;0.000;-0.032
2;299.000;1.000;10.000;11.000;0.087;0.053
3;296.000;2.000;9.000;14.000;0.148;0.112
4;303.000;1.000;10.000;7.000;0.105;0.079
5;297.000;0.000;9.000;9.000;0.000;-0.029
6;299.000;0.000;11.000;11.000;0.000;-0.035
7;304.000;0.000;11.000;6.000;0.000;-0.025
8;298.000;1.000;10.000;12.000;0.083;0.048
9;305.000;1.000;10.000;5.000;0.118;0.096
10;298.000;1.000;8.000;8.000;0.111;0.085
11;303.000;0.000;11.000;7.000;0.000;-0.027
12;298.000;1.000;10.000;12.000;0.083;0.048
13;301.000;0.000;11.000;9.000;0.000;-0.032
14;303.000;1.000;10.000;7.000;0.105;0.079
15;295.000;1.000;8.000;11.000;0.095;0.065
16;301.000;0.000;11.000;9.000;0.000;-0.032
17;300.000;1.000;10.000;10.000;0.091;0.059
18;299.000;2.000;9.000;11.000;0.167;0.135
19;308.000;1.000;10.000;2.000;0.143;0.130
20;287.000;1.000;8.000;19.000;0.069;0.031
21;301.000;0.000;11.000;9.000;0.000;-0.032
22;303.000;0.000;11.000;7.000;0.000;-0.027
23;306.000;1.000;10.000;4.000;0.125;0.106
24;299.000;1.000;10.000;11.000;0.087;0.053
25;301.000;1.000;8.000;5.000;0.133;0.113
max;308.000;2.000;11.000;19.000;0.167;0.135
avg;300.200;0.720;9.880;9.000;0.070;0.041
min;287.000;0.000;8.000;2.000;0.000;-0.035
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;292.000;0.000;11.000;18.000;0.000;-0.044
2;295.000;1.000;10.000;15.000;0.074;0.035
3;286.000;3.000;8.000;24.000;0.158;0.115
4;296.000;1.000;10.000;14.000;0.077;0.039
5;286.000;2.000;7.000;20.000;0.129;0.092
6;289.000;2.000;9.000;21.000;0.118;0.075
7;296.000;1.000;10.000;14.000;0.077;0.039
8;287.000;1.000;10.000;23.000;0.057;0.011
9;295.000;1.000;10.000;15.000;0.074;0.035
10;288.000;3.000;6.000;18.000;0.200;0.167
11;295.000;0.000;11.000;15.000;0.000;-0.041
12;289.000;2.000;9.000;21.000;0.118;0.075
13;292.000;0.000;11.000;18.000;0.000;-0.044
14;285.000;1.000;10.000;25.000;0.054;0.006
15;287.000;3.000;6.000;19.000;0.194;0.159
16;298.000;4.000;7.000;12.000;0.296;0.267
17;288.000;2.000;9.000;22.000;0.114;0.071
18;290.000;1.000;10.000;20.000;0.062;0.018
19;299.000;2.000;9.000;11.000;0.167;0.135
20;274.000;0.000;9.000;32.000;0.000;-0.047
21;293.000;2.000;9.000;17.000;0.133;0.094
22;298.000;1.000;10.000;12.000;0.083;0.048
23;292.000;1.000;10.000;18.000;0.067;0.024
24;295.000;3.000;8.000;15.000;0.207;0.172
25;296.000;1.000;8.000;10.000;0.100;0.071
max;299.000;4.000;11.000;32.000;0.296;0.267
avg;291.240;1.520;9.080;17.960;0.102;0.063
min;274.000;0.000;6.000;10.000;0.000;-0.047
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;227.000;3.000;8.000;83.000;0.062;0.001
2;247.000;2.000;9.000;63.000;0.053;-0.006
3;208.000;4.000;7.000;102.000;0.068;0.007
4;240.000;1.000;10.000;70.000;0.024;-0.037
5;225.000;4.000;5.000;81.000;0.085;0.035
6;231.000;3.000;8.000;79.000;0.065;0.004
7;236.000;2.000;9.000;74.000;0.046;-0.015
8;212.000;3.000;8.000;98.000;0.054;-0.009
9;217.000;4.000;7.000;93.000;0.074;0.013
10;234.000;4.000;5.000;72.000;0.094;0.045
11;248.000;2.000;9.000;62.000;0.053;-0.005
12;234.000;4.000;7.000;76.000;0.088;0.029
13;244.000;1.000;10.000;66.000;0.026;-0.035
14;222.000;4.000;7.000;88.000;0.078;0.018
15;214.000;1.000;8.000;92.000;0.020;-0.034
16;221.000;4.000;7.000;89.000;0.077;0.017
17;211.000;1.000;10.000;99.000;0.018;-0.047
18;236.000;2.000;9.000;74.000;0.046;-0.015
19;251.000;3.000;8.000;59.000;0.082;0.025
20;210.000;3.000;6.000;96.000;0.056;0.003
21;225.000;1.000;10.000;85.000;0.021;-0.043
22;251.000;3.000;8.000;59.000;0.082;0.025
23;233.000;3.000;8.000;77.000;0.066;0.006
24;237.000;3.000;8.000;73.000;0.069;0.010
25;248.000;2.000;7.000;58.000;0.058;0.009
max;251.000;4.000;10.000;102.000;0.094;0.045
avg;230.480;2.680;7.920;78.720;0.059;0.000
min;208.000;1.000;5.000;58.000;0.018;-0.047
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;228.000;5.000;6.000;82.000;0.102;0.044
2;288.000;2.000;9.000;22.000;0.114;0.071
3;258.000;6.000;5.000;52.000;0.174;0.123
4;223.000;3.000;8.000;87.000;0.059;-0.002
5;224.000;5.000;4.000;82.000;0.104;0.055
6;266.000;3.000;8.000;44.000;0.103;0.051
7;247.000;5.000;6.000;63.000;0.127;0.072
8;253.000;3.000;8.000;57.000;0.085;0.028
9;246.000;4.000;7.000;64.000;0.101;0.045
10;259.000;4.000;5.000;47.000;0.133;0.089
11;259.000;4.000;7.000;51.000;0.121;0.068
12;241.000;5.000;6.000;69.000;0.118;0.062
13;247.000;0.000;11.000;63.000;0.000;-0.062
14;229.000;6.000;5.000;81.000;0.122;0.066
15;244.000;5.000;4.000;62.000;0.132;0.086
16;261.000;5.000;6.000;49.000;0.154;0.103
17;246.000;4.000;7.000;64.000;0.101;0.045
18;259.000;1.000;10.000;51.000;0.032;-0.026
19;265.000;4.000;7.000;45.000;0.133;0.082
20;261.000;2.000;7.000;45.000;0.071;0.025
21;277.000;2.000;9.000;33.000;0.087;0.037
22;265.000;2.000;9.000;45.000;0.069;0.014
23;230.000;5.000;6.000;80.000;0.104;0.046
24;268.000;4.000;7.000;42.000;0.140;0.090
25;261.000;4.000;5.000;45.000;0.138;0.094
max;288.000;6.000;11.000;87.000;0.174;0.123
avg;252.200;3.720;6.880;57.000;0.105;0.052
min;223.000;0.000;4.000;22.000;0.000;-0.062
