LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;276.000;9.000;0.000;12.000;0.600;0.582;0.895
2;273.000;9.000;0.000;15.000;0.545;0.524;0.712
3;278.000;9.000;0.000;10.000;0.643;0.628;0.612
4;281.000;7.000;2.000;7.000;0.609;0.594;0.744
5;274.000;8.000;0.000;14.000;0.533;0.514;0.701
6;276.000;9.000;0.000;12.000;0.600;0.582;0.703
7;271.000;8.000;1.000;17.000;0.471;0.446;0.419
8;281.000;9.000;0.000;7.000;0.720;0.709;0.755
9;273.000;9.000;0.000;15.000;0.545;0.524;0.891
10;278.000;8.000;0.000;10.000;0.615;0.600;0.635
11;272.000;9.000;0.000;16.000;0.529;0.507;0.668
12;276.000;9.000;0.000;12.000;0.600;0.582;0.701
13;280.000;9.000;0.000;8.000;0.692;0.680;0.835
14;279.000;9.000;0.000;9.000;0.667;0.653;0.738
15;275.000;8.000;0.000;13.000;0.552;0.533;0.387
16;275.000;8.000;1.000;13.000;0.533;0.513;0.742
17;276.000;7.000;2.000;12.000;0.500;0.479;0.633
18;281.000;8.000;1.000;7.000;0.667;0.654;0.725
19;282.000;9.000;0.000;6.000;0.750;0.740;0.696
20;276.000;8.000;0.000;12.000;0.571;0.554;0.754
21;272.000;9.000;0.000;16.000;0.529;0.507;0.716
22;281.000;9.000;0.000;7.000;0.720;0.709;0.796
23;277.000;9.000;0.000;11.000;0.621;0.604;0.756
24;281.000;8.000;1.000;7.000;0.667;0.654;0.579
25;275.000;8.000;0.000;13.000;0.552;0.533;0.480
max;282.000;9.000;2.000;17.000;0.750;0.740;0.895
avg;276.760;8.480;0.320;11.240;0.601;0.584;0.691
min;271.000;7.000;0.000;6.000;0.471;0.446;0.387
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;5.000;4.000;1.000;0.667;0.658
2;285.000;9.000;0.000;3.000;0.857;0.852
3;284.000;6.000;3.000;4.000;0.632;0.619
4;287.000;5.000;4.000;1.000;0.667;0.658
5;282.000;8.000;0.000;6.000;0.727;0.718
6;287.000;8.000;1.000;1.000;0.889;0.885
7;280.000;5.000;4.000;8.000;0.455;0.434
8;288.000;7.000;2.000;0.000;0.875;0.872
9;285.000;8.000;1.000;3.000;0.800;0.793
10;286.000;5.000;3.000;2.000;0.667;0.658
11;285.000;6.000;3.000;3.000;0.667;0.656
12;285.000;7.000;2.000;3.000;0.737;0.728
13;287.000;8.000;1.000;1.000;0.889;0.885
14;287.000;5.000;4.000;1.000;0.667;0.658
15;283.000;7.000;1.000;5.000;0.700;0.690
16;284.000;7.000;2.000;4.000;0.700;0.690
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;288.000;4.000;5.000;0.000;0.615;0.608
20;287.000;7.000;1.000;1.000;0.875;0.872
21;285.000;8.000;1.000;3.000;0.800;0.793
22;287.000;6.000;3.000;1.000;0.750;0.743
23;286.000;8.000;1.000;2.000;0.842;0.837
24;287.000;6.000;3.000;1.000;0.750;0.743
25;284.000;5.000;3.000;4.000;0.588;0.576
max;288.000;9.000;5.000;8.000;0.889;0.885
avg;285.440;6.480;2.320;2.560;0.727;0.718
min;280.000;4.000;0.000;0.000;0.455;0.434
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;286.000;5.000;4.000;2.000;0.625;0.615
2;284.000;8.000;1.000;4.000;0.762;0.753
3;284.000;7.000;2.000;4.000;0.700;0.690
4;288.000;6.000;3.000;0.000;0.800;0.795
5;283.000;8.000;0.000;5.000;0.762;0.754
