LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;123.000;9.000;0.000;15.000;0.545;0.501;0.819
2;132.000;6.000;3.000;6.000;0.571;0.539;0.576
3;129.000;6.000;3.000;9.000;0.500;0.459;0.651
4;128.000;7.000;2.000;10.000;0.538;0.498;0.693
5;125.000;4.000;2.000;12.000;0.364;0.322;0.383
6;123.000;7.000;2.000;15.000;0.452;0.399;0.612
7;124.000;7.000;2.000;14.000;0.467;0.417;0.655
8;125.000;5.000;4.000;13.000;0.370;0.314;0.597
9;120.000;7.000;2.000;18.000;0.412;0.354;0.503
10;124.000;5.000;1.000;13.000;0.417;0.377;0.780
11;131.000;4.000;5.000;7.000;0.400;0.357;0.478
12;126.000;9.000;0.000;12.000;0.600;0.562;0.811
13;134.000;5.000;4.000;4.000;0.556;0.527;0.655
14;122.000;7.000;2.000;16.000;0.438;0.383;0.476
15;116.000;4.000;2.000;21.000;0.258;0.204;0.525
16;127.000;5.000;4.000;11.000;0.400;0.349;0.482
17;128.000;6.000;3.000;10.000;0.480;0.436;0.700
18;126.000;8.000;1.000;12.000;0.552;0.510;0.743
19;124.000;6.000;3.000;14.000;0.414;0.360;0.532
20;127.000;4.000;2.000;10.000;0.400;0.363;0.492
21;126.000;6.000;3.000;12.000;0.444;0.395;0.533
22;127.000;7.000;2.000;11.000;0.519;0.476;0.710
23;131.000;6.000;3.000;7.000;0.545;0.510;0.523
24;124.000;8.000;1.000;14.000;0.516;0.470;0.831
25;127.000;4.000;2.000;10.000;0.400;0.363;0.617
max;134.000;9.000;5.000;21.000;0.600;0.562;0.831
avg;125.960;6.080;2.320;11.840;0.462;0.418;0.615
min;116.000;4.000;0.000;4.000;0.258;0.204;0.383
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;137.000;3.000;6.000;1.000;0.462;0.440
2;132.000;2.000;7.000;6.000;0.235;0.189
3;135.000;3.000;6.000;3.000;0.400;0.369
4;137.000;3.000;6.000;1.000;0.462;0.440
5;133.000;2.000;4.000;4.000;0.333;0.304
6;130.000;2.000;7.000;8.000;0.211;0.156
7;134.000;3.000;6.000;4.000;0.375;0.340
8;134.000;1.000;8.000;4.000;0.143;0.104
9;134.000;3.000;6.000;4.000;0.375;0.340
10;132.000;3.000;3.000;5.000;0.429;0.400
11;132.000;1.000;8.000;6.000;0.125;0.075
12;133.000;3.000;6.000;5.000;0.353;0.313
13;137.000;1.000;8.000;1.000;0.182;0.163
14;137.000;2.000;7.000;1.000;0.333;0.312
15;135.000;0.000;6.000;2.000;0.000;-0.021
16;135.000;3.000;6.000;3.000;0.400;0.369
17;135.000;4.000;5.000;3.000;0.500;0.472
18;132.000;3.000;6.000;6.000;0.333;0.290
19;133.000;1.000;8.000;5.000;0.133;0.089
20;135.000;2.000;4.000;2.000;0.400;0.379
21;129.000;1.000;8.000;9.000;0.105;0.044
22;137.000;3.000;6.000;1.000;0.462;0.440
23;135.000;2.000;7.000;3.000;0.286;0.253
24;135.000;4.000;5.000;3.000;0.500;0.472
25;136.000;2.000;4.000;1.000;0.444;0.428
max;137.000;4.000;8.000;9.000;0.500;0.472
avg;134.160;2.280;6.120;3.640;0.319;0.286
min;129.000;0.000;3.000;1.000;0.000;-0.021
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;135.000;3.000;6.000;3.000;0.400;0.369
2;136.000;2.000;7.000;2.000;0.308;0.281
3;136.000;3.000;6.000;2.000;0.429;0.402
4;137.000;2.000;7.000;1.000;0.333;0.312
5;137.000;2.000;4.000;0.000;0.500;0.489
6;135.000;2.000;7.000;3.000;0.286;0.253
7;137.000;2.000;7.000;1.000;0.333;0.312
8;134.000;2.000;7.000;4.000;0.267;0.229
9;136.000;3.000;6.000;2.000;0.429;0.402
10;136.000;3.000;3.000;1.000;0.600;0.586
11;134.000;1.000;8.000;4.000;0.143;0.104
12;137.000;0.000;9.000;1.000;0.000;-0.012
13;137.000;2.000;7.000;1.000;0.333;0.312
14;138.000;4.000;5.000;0.000;0.615;0.600
15;135.000;1.000;5.000;2.000;0.222;0.200
16;137.000;3.000;6.000;1.000;0.462;0.440
17;131.000;4.000;5.000;7.000;0.400;0.357
18;134.000;3.000;6.000;4.000;0.375;0.340
19;137.000;0.000;9.000;1.000;0.000;-0.012
20;135.000;2.000;4.000;2.000;0.400;0.379
21;132.000;0.000;9.000;6.000;0.000;-0.052
22;137.000;2.000;7.000;1.000;0.333;0.312
23;136.000;2.000;7.000;2.000;0.308;0.281
24;137.000;3.000;6.000;1.000;0.462;0.440
25;137.000;3.000;3.000;0.000;0.667;0.657
max;138.000;4.000;9.000;7.000;0.667;0.657
avg;135.720;2.160;6.240;2.080;0.344;0.319
min;131.000;0.000;3.000;0.000;0.000;-0.052
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;122.000;3.000;6.000;16.000;0.214;0.143
2;127.000;7.000;2.000;11.000;0.519;0.476
