LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;441.000;7.000;5.000;15.000;0.412;0.392;0.364
2;419.000;7.000;5.000;37.000;0.250;0.219;0.543
3;436.000;6.000;6.000;20.000;0.316;0.291;0.276
4;409.000;10.000;2.000;47.000;0.290;0.258;0.591
5;429.000;7.000;3.000;27.000;0.318;0.295;0.276
6;433.000;10.000;2.000;23.000;0.444;0.423;0.562
7;405.000;9.000;3.000;51.000;0.250;0.217;0.270
8;429.000;7.000;5.000;27.000;0.304;0.277;0.260
9;411.000;8.000;4.000;45.000;0.246;0.213;0.319
10;425.000;7.000;3.000;31.000;0.292;0.267;0.428
11;432.000;5.000;7.000;24.000;0.244;0.215;0.269
12;443.000;5.000;7.000;13.000;0.333;0.312;0.351
13;438.000;8.000;4.000;18.000;0.421;0.400;0.451
14;378.000;9.000;3.000;78.000;0.182;0.143;0.248
15;413.000;9.000;1.000;43.000;0.290;0.264;0.606
16;425.000;9.000;3.000;31.000;0.346;0.319;0.494
17;412.000;9.000;3.000;44.000;0.277;0.245;0.241
18;434.000;9.000;3.000;22.000;0.419;0.396;0.326
19;421.000;12.000;0.000;35.000;0.407;0.382;0.431
20;418.000;7.000;3.000;38.000;0.255;0.227;0.296
21;418.000;5.000;7.000;38.000;0.182;0.148;0.349
22;405.000;7.000;5.000;51.000;0.200;0.164;0.203
23;416.000;10.000;2.000;40.000;0.323;0.293;0.334
24;423.000;10.000;2.000;33.000;0.364;0.337;0.665
25;397.000;9.000;1.000;59.000;0.231;0.201;0.317
max;443.000;12.000;7.000;78.000;0.444;0.423;0.665
avg;420.400;8.040;3.560;35.600;0.304;0.276;0.379
min;378.000;5.000;0.000;13.000;0.182;0.143;0.203
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;453.000;1.000;11.000;3.000;0.125;0.114
2;455.000;3.000;9.000;1.000;0.375;0.367
3;454.000;2.000;10.000;2.000;0.250;0.240
4;443.000;6.000;6.000;13.000;0.387;0.367
5;454.000;2.000;8.000;2.000;0.286;0.277
6;450.000;2.000;10.000;6.000;0.200;0.183
7;444.000;5.000;7.000;12.000;0.345;0.325
8;452.000;5.000;7.000;4.000;0.476;0.464
9;451.000;3.000;9.000;5.000;0.300;0.285
10;449.000;4.000;6.000;7.000;0.381;0.367
11;453.000;1.000;11.000;3.000;0.125;0.114
12;451.000;4.000;8.000;5.000;0.381;0.367
13;452.000;6.000;6.000;4.000;0.545;0.535
14;449.000;0.000;12.000;7.000;0.000;-0.019
15;450.000;4.000;6.000;6.000;0.400;0.387
16;451.000;2.000;10.000;5.000;0.211;0.195
17;450.000;3.000;9.000;6.000;0.286;0.270
18;448.000;1.000;11.000;8.000;0.095;0.075
19;452.000;0.000;12.000;4.000;0.000;-0.013
20;447.000;2.000;8.000;9.000;0.190;0.172
21;454.000;1.000;11.000;2.000;0.133;0.124
22;445.000;2.000;10.000;11.000;0.160;0.137
23;450.000;4.000;8.000;6.000;0.364;0.348
24;452.000;1.000;11.000;4.000;0.118;0.104
25;447.000;3.000;7.000;9.000;0.273;0.255
max;455.000;6.000;12.000;13.000;0.545;0.535
avg;450.240;2.680;8.920;5.760;0.256;0.242
min;443.000;0.000;6.000;1.000;0.000;-0.019
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;456.000;1.000;11.000;0.000;0.154;0.150
2;453.000;4.000;8.000;3.000;0.421;0.410
3;454.000;1.000;11.000;2.000;0.133;0.124
4;456.000;2.000;10.000;0.000;0.286;0.280
5;455.000;0.000;10.000;1.000;0.000;-0.004
