LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;319.000;7.000;6.000;14.000;0.412;0.383;0.371
2;308.000;9.000;4.000;25.000;0.383;0.348;0.220
3;328.000;4.000;9.000;5.000;0.364;0.343;0.404
4;318.000;8.000;5.000;15.000;0.444;0.416;0.395
5;318.000;7.000;6.000;13.000;0.424;0.397;0.354
6;297.000;5.000;8.000;36.000;0.185;0.136;0.181
7;317.000;8.000;5.000;16.000;0.432;0.403;0.367
8;302.000;10.000;3.000;31.000;0.370;0.332;0.336
9;297.000;7.000;6.000;36.000;0.250;0.204;0.167
10;329.000;4.000;9.000;2.000;0.421;0.407;0.578
11;308.000;7.000;6.000;25.000;0.311;0.272;0.263
12;313.000;9.000;4.000;20.000;0.429;0.397;0.319
13;282.000;10.000;3.000;51.000;0.270;0.222;0.320
14;305.000;10.000;3.000;28.000;0.392;0.356;0.322
15;317.000;6.000;7.000;14.000;0.364;0.333;0.366
16;313.000;11.000;2.000;20.000;0.500;0.472;0.403
17;297.000;12.000;1.000;36.000;0.393;0.355;0.383
18;327.000;1.000;12.000;6.000;0.100;0.076;0.305
19;324.000;1.000;12.000;9.000;0.087;0.056;0.283
20;290.000;9.000;4.000;41.000;0.286;0.240;0.304
21;328.000;1.000;12.000;5.000;0.105;0.084;0.296
22;315.000;10.000;3.000;18.000;0.488;0.460;0.337
23;293.000;11.000;2.000;40.000;0.344;0.302;0.315
24;294.000;10.000;3.000;39.000;0.323;0.280;0.186
25;329.000;3.000;10.000;2.000;0.333;0.319;0.473
max;329.000;12.000;12.000;51.000;0.500;0.472;0.578
avg;310.720;7.200;5.800;21.880;0.336;0.304;0.330
min;282.000;1.000;1.000;2.000;0.087;0.056;0.167
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;11.000;2.000;0.000;0.917;0.914
2;333.000;11.000;2.000;0.000;0.917;0.914
3;332.000;12.000;1.000;1.000;0.923;0.920
4;333.000;11.000;2.000;0.000;0.917;0.914
5;330.000;11.000;2.000;1.000;0.880;0.875
6;330.000;12.000;1.000;3.000;0.857;0.851
7;333.000;12.000;1.000;0.000;0.960;0.959
8;333.000;10.000;3.000;0.000;0.870;0.865
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;10.000;3.000;0.000;0.870;0.865
12;333.000;11.000;2.000;0.000;0.917;0.914
13;333.000;12.000;1.000;0.000;0.960;0.959
14;333.000;12.000;1.000;0.000;0.960;0.959
15;331.000;10.000;3.000;0.000;0.870;0.865
16;333.000;13.000;0.000;0.000;1.000;1.000
17;333.000;12.000;1.000;0.000;0.960;0.959
18;333.000;13.000;0.000;0.000;1.000;1.000
19;332.000;9.000;4.000;1.000;0.783;0.775
20;331.000;10.000;3.000;0.000;0.870;0.865
21;333.000;13.000;0.000;0.000;1.000;1.000
22;333.000;11.000;2.000;0.000;0.917;0.914
23;333.000;11.000;2.000;0.000;0.917;0.914
24;332.000;12.000;1.000;1.000;0.923;0.920
25;331.000;12.000;1.000;0.000;0.960;0.958
max;333.000;13.000;4.000;3.000;1.000;1.000
avg;332.320;11.440;1.560;0.280;0.924;0.921
min;330.000;9.000;0.000;0.000;0.783;0.775
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;13.000;0.000;0.000;1.000;1.000
3;333.000;12.000;1.000;0.000;0.960;0.959
4;333.000;13.000;0.000;0.000;1.000;1.000
5;329.000;13.000;0.000;2.000;0.929;0.926
