LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;260.000;8.000;6.000;72.000;0.170;0.109;0.139
2;269.000;9.000;5.000;63.000;0.209;0.152;0.214
3;264.000;7.000;7.000;68.000;0.157;0.096;0.106
4;184.000;9.000;5.000;148.000;0.105;0.033;0.070
5;204.000;7.000;6.000;127.000;0.095;0.028;0.053
6;172.000;11.000;3.000;160.000;0.119;0.048;0.079
7;266.000;8.000;6.000;66.000;0.182;0.122;0.146
8;200.000;9.000;5.000;132.000;0.116;0.046;0.070
9;281.000;7.000;7.000;51.000;0.194;0.138;0.083
10;261.000;9.000;4.000;70.000;0.196;0.140;0.163
11;286.000;9.000;5.000;46.000;0.261;0.210;0.175
12;285.000;9.000;5.000;47.000;0.257;0.206;0.165
13;194.000;8.000;6.000;138.000;0.100;0.028;0.058
14;269.000;9.000;5.000;63.000;0.209;0.152;0.127
15;233.000;7.000;6.000;98.000;0.119;0.055;0.099
16;225.000;11.000;3.000;107.000;0.167;0.102;0.153
17;260.000;8.000;6.000;72.000;0.170;0.109;0.087
18;274.000;9.000;5.000;58.000;0.222;0.166;0.144
19;286.000;5.000;9.000;46.000;0.154;0.096;0.111
20;270.000;6.000;7.000;61.000;0.150;0.093;0.113
21;211.000;7.000;7.000;121.000;0.099;0.028;0.058
22;274.000;6.000;8.000;58.000;0.154;0.094;0.102
23;172.000;11.000;3.000;160.000;0.119;0.048;0.119
24;267.000;9.000;5.000;65.000;0.205;0.146;0.151
25;259.000;6.000;7.000;72.000;0.132;0.072;0.098
max;286.000;11.000;9.000;160.000;0.261;0.210;0.214
avg;245.040;8.160;5.640;86.760;0.162;0.101;0.115
min;172.000;5.000;3.000;46.000;0.095;0.028;0.053
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;12.000;2.000;0.000;0.923;0.920
2;332.000;13.000;1.000;0.000;0.963;0.961
3;332.000;10.000;4.000;0.000;0.833;0.828
4;332.000;7.000;7.000;0.000;0.667;0.657
5;331.000;6.000;7.000;0.000;0.632;0.623
6;330.000;8.000;6.000;2.000;0.667;0.655
7;332.000;7.000;7.000;0.000;0.667;0.657
8;332.000;7.000;7.000;0.000;0.667;0.657
9;332.000;6.000;8.000;0.000;0.600;0.590
10;331.000;11.000;2.000;0.000;0.917;0.914
11;332.000;10.000;4.000;0.000;0.833;0.828
12;332.000;9.000;5.000;0.000;0.783;0.775
13;332.000;9.000;5.000;0.000;0.783;0.775
14;332.000;10.000;4.000;0.000;0.833;0.828
15;331.000;8.000;5.000;0.000;0.762;0.755
16;332.000;11.000;3.000;0.000;0.880;0.876
17;332.000;4.000;10.000;0.000;0.444;0.434
18;331.000;9.000;5.000;1.000;0.750;0.741
19;332.000;13.000;1.000;0.000;0.963;0.961
20;330.000;7.000;6.000;1.000;0.667;0.657
21;332.000;7.000;7.000;0.000;0.667;0.657
22;332.000;11.000;3.000;0.000;0.880;0.876
23;331.000;13.000;1.000;1.000;0.929;0.926
24;332.000;7.000;7.000;0.000;0.667;0.657
25;330.000;12.000;1.000;1.000;0.923;0.920
max;332.000;13.000;10.000;2.000;0.963;0.961
avg;331.560;9.080;4.720;0.240;0.772;0.765
min;330.000;4.000;1.000;0.000;0.444;0.434
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;331.000;12.000;2.000;1.000;0.889;0.884
2;332.000;12.000;2.000;0.000;0.923;0.920
3;331.000;11.000;3.000;1.000;0.846;0.840
4;332.000;11.000;3.000;0.000;0.880;0.876
5;327.000;11.000;2.000;4.000;0.786;0.777
6;330.000;11.000;3.000;2.000;0.815;0.807
7;331.000;13.000;1.000;1.000;0.929;0.926
8;332.000;9.000;5.000;0.000;0.783;0.775
9;329.000;12.000;2.000;3.000;0.828;0.820
10;327.000;10.000;3.000;4.000;0.741;0.730
11;332.000;11.000;3.000;0.000;0.880;0.876
12;329.000;12.000;2.000;3.000;0.828;0.820
13;330.000;8.000;6.000;2.000;0.667;0.655
14;331.000;13.000;1.000;1.000;0.929;0.926
15;328.000;11.000;2.000;3.000;0.815;0.807
16;332.000;14.000;0.000;0.000;1.000;1.000
17;331.000;10.000;4.000;1.000;0.800;0.793
18;330.000;12.000;2.000;2.000;0.857;0.851
19;331.000;12.000;2.000;1.000;0.889;0.884
20;329.000;10.000;3.000;2.000;0.800;0.792
21;332.000;14.000;0.000;0.000;1.000;1.000
22;331.000;11.000;3.000;1.000;0.846;0.840
23;327.000;13.000;1.000;5.000;0.813;0.804
24;330.000;10.000;4.000;2.000;0.769;0.760
25;331.000;11.000;2.000;0.000;0.917;0.914
max;332.000;14.000;6.000;5.000;1.000;1.000
avg;330.240;11.360;2.440;1.560;0.849;0.843
min;327.000;8.000;0.000;0.000;0.667;0.655
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;311.000;8.000;6.000;21.000;0.372;0.336
2;318.000;9.000;5.000;14.000;0.486;0.459
3;315.000;8.000;6.000;17.000;0.410;0.378
4;299.000;13.000;1.000;33.000;0.433;0.396
5;305.000;13.000;0.000;26.000;0.500;0.470
6;314.000;13.000;1.000;18.000;0.578;0.553
7;310.000;8.000;6.000;22.000;0.364;0.326
8;308.000;12.000;2.000;24.000;0.480;0.448
9;311.000;7.000;7.000;21.000;0.333;0.295
10;298.000;9.000;4.000;33.000;0.327;0.286
11;323.000;9.000;5.000;9.000;0.563;0.542
12;319.000;10.000;4.000;13.000;0.541;0.516
13;304.000;13.000;1.000;28.000;0.473;0.439
14;311.000;9.000;5.000;21.000;0.409;0.375
15;295.000;11.000;2.000;36.000;0.367;0.327
16;306.000;14.000;0.000;26.000;0.519;0.488
17;308.000;8.000;6.000;24.000;0.348;0.309
18;317.000;9.000;5.000;15.000;0.474;0.445
19;314.000;5.000;9.000;18.000;0.270;0.232
20;314.000;6.000;7.000;17.000;0.333;0.300
21;299.000;13.000;1.000;33.000;0.433;0.396
22;311.000;6.000;8.000;21.000;0.293;0.253
23;302.000;14.000;0.000;30.000;0.483;0.449
24;312.000;9.000;5.000;20.000;0.419;0.385
25;302.000;13.000;0.000;29.000;0.473;0.440
max;323.000;14.000;9.000;36.000;0.578;0.553
avg;309.040;9.960;3.840;22.760;0.427;0.394
min;295.000;5.000;0.000;9.000;0.270;0.232
