LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;171.000;1.000;8.000;34.000;0.045;-0.023;0.069
2;166.000;7.000;2.000;39.000;0.255;0.198;0.319
3;182.000;4.000;5.000;23.000;0.222;0.170;0.135
4;183.000;9.000;0.000;22.000;0.450;0.412;0.465
5;188.000;3.000;4.000;15.000;0.240;0.202;0.246
6;198.000;5.000;4.000;7.000;0.476;0.450;0.440
7;174.000;5.000;4.000;31.000;0.222;0.166;0.283
8;169.000;6.000;3.000;36.000;0.235;0.178;0.349
9;188.000;3.000;6.000;17.000;0.207;0.158;0.250
10;173.000;5.000;2.000;30.000;0.238;0.193;0.371
11;188.000;7.000;2.000;17.000;0.424;0.387;0.623
12;175.000;6.000;3.000;30.000;0.267;0.214;0.289
13;178.000;5.000;4.000;27.000;0.244;0.191;0.477
14;182.000;4.000;5.000;23.000;0.222;0.170;0.229
15;173.000;4.000;3.000;30.000;0.195;0.148;0.306
16;176.000;5.000;4.000;29.000;0.233;0.178;0.173
17;185.000;6.000;3.000;20.000;0.343;0.299;0.543
18;180.000;3.000;6.000;25.000;0.162;0.105;0.218
19;179.000;6.000;3.000;26.000;0.293;0.243;0.215
20;193.000;5.000;2.000;10.000;0.455;0.429;0.644
21;168.000;5.000;4.000;37.000;0.196;0.136;0.285
22;184.000;6.000;3.000;21.000;0.333;0.288;0.357
23;179.000;7.000;2.000;26.000;0.333;0.286;0.265
24;184.000;4.000;5.000;21.000;0.235;0.185;0.394
25;177.000;5.000;2.000;26.000;0.263;0.221;0.385
max;198.000;9.000;8.000;39.000;0.476;0.450;0.644
avg;179.720;5.040;3.560;24.880;0.272;0.223;0.333
min;166.000;1.000;0.000;7.000;0.045;-0.023;0.069
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;199.000;0.000;9.000;6.000;0.000;-0.035
2;201.000;1.000;8.000;4.000;0.143;0.116
3;203.000;0.000;9.000;2.000;0.000;-0.016
4;204.000;2.000;7.000;1.000;0.333;0.319
5;199.000;0.000;7.000;4.000;0.000;-0.025
6;202.000;1.000;8.000;3.000;0.154;0.131
7;202.000;0.000;9.000;3.000;0.000;-0.021
8;203.000;1.000;8.000;2.000;0.167;0.149
9;202.000;2.000;7.000;3.000;0.286;0.264
10;200.000;1.000;6.000;3.000;0.182;0.161
11;204.000;1.000;8.000;1.000;0.182;0.169
12;198.000;2.000;7.000;7.000;0.222;0.188
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;204.000;1.000;8.000;1.000;0.182;0.169
15;195.000;1.000;6.000;8.000;0.125;0.091
16;198.000;0.000;9.000;7.000;0.000;-0.038
17;202.000;0.000;9.000;3.000;0.000;-0.021
18;204.000;2.000;7.000;1.000;0.333;0.319
19;203.000;1.000;8.000;2.000;0.167;0.149
20;201.000;1.000;6.000;2.000;0.200;0.184
21;204.000;1.000;8.000;1.000;0.182;0.169
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;0.000;9.000;0.000;0.000;0.000
24;203.000;1.000;8.000;2.000;0.167;0.149
25;197.000;1.000;6.000;6.000;0.143;0.113
max;205.000;2.000;9.000;8.000;0.333;0.319
avg;201.640;0.800;7.800;2.960;0.127;0.107
min;195.000;0.000;6.000;0.000;0.000;-0.038
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;200.000;1.000;8.000;5.000;0.133;0.103
2;203.000;1.000;8.000;2.000;0.167;0.149
3;205.000;1.000;8.000;0.000;0.200;0.193
4;204.000;3.000;6.000;1.000;0.462;0.447
5;200.000;2.000;5.000;3.000;0.333;0.314
6;203.000;2.000;7.000;2.000;0.308;0.289
7;202.000;1.000;8.000;3.000;0.154;0.131
8;204.000;1.000;8.000;1.000;0.182;0.169
9;204.000;1.000;8.000;1.000;0.182;0.169
10;200.000;1.000;6.000;3.000;0.182;0.161
11;205.000;1.000;8.000;0.000;0.200;0.193
12;200.000;3.000;6.000;5.000;0.353;0.326
13;204.000;1.000;8.000;1.000;0.182;0.169
14;204.000;1.000;8.000;1.000;0.182;0.169
15;199.000;2.000;5.000;4.000;0.308;0.286
16;200.000;0.000;9.000;5.000;0.000;-0.031
17;204.000;2.000;7.000;1.000;0.333;0.319
18;203.000;1.000;8.000;2.000;0.167;0.149
19;203.000;3.000;6.000;2.000;0.429;0.411
20;202.000;1.000;6.000;1.000;0.222;0.211
21;204.000;1.000;8.000;1.000;0.182;0.169
22;204.000;1.000;8.000;1.000;0.182;0.169
23;205.000;1.000;8.000;0.000;0.200;0.193
24;203.000;1.000;8.000;2.000;0.167;0.149
25;197.000;3.000;4.000;6.000;0.375;0.351
max;205.000;3.000;9.000;6.000;0.462;0.447
avg;202.480;1.440;7.160;2.120;0.231;0.214
min;197.000;0.000;4.000;0.000;0.000;-0.031
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;186.000;2.000;7.000;19.000;0.133;0.079
2;186.000;4.000;5.000;19.000;0.250;0.202
3;194.000;4.000;5.000;11.000;0.333;0.296
4;192.000;6.000;3.000;13.000;0.429;0.394
5;189.000;1.000;6.000;14.000;0.091;0.048
6;190.000;5.000;4.000;15.000;0.345;0.304
7;186.000;4.000;5.000;19.000;0.250;0.202
8;184.000;6.000;3.000;21.000;0.333;0.288
9;192.000;4.000;5.000;13.000;0.308;0.267
10;185.000;4.000;3.000;18.000;0.276;0.237
11;198.000;3.000;6.000;7.000;0.316;0.284
12;180.000;5.000;4.000;25.000;0.256;0.205
13;183.000;6.000;3.000;22.000;0.324;0.278
14;193.000;4.000;5.000;12.000;0.320;0.281
15;187.000;2.000;5.000;16.000;0.160;0.118
16;189.000;5.000;4.000;16.000;0.333;0.292
17;185.000;6.000;3.000;20.000;0.343;0.299
18;192.000;2.000;7.000;13.000;0.167;0.120
19;191.000;2.000;7.000;14.000;0.160;0.112
20;171.000;5.000;2.000;32.000;0.227;0.181
21;190.000;3.000;6.000;15.000;0.222;0.176
22;180.000;5.000;4.000;25.000;0.256;0.205
23;197.000;4.000;5.000;8.000;0.381;0.350
24;194.000;3.000;6.000;11.000;0.261;0.221
25;186.000;4.000;3.000;17.000;0.286;0.248
max;198.000;6.000;7.000;32.000;0.429;0.394
avg;188.000;3.960;4.640;16.600;0.270;0.228
min;171.000;1.000;2.000;7.000;0.091;0.048
