LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;589.000;10.000;21.000;14.000;0.364;0.335;0.407
2;592.000;10.000;21.000;11.000;0.385;0.359;0.335
3;598.000;4.000;27.000;5.000;0.200;0.182;0.247
4;597.000;10.000;21.000;6.000;0.426;0.406;0.538
5;584.000;3.000;24.000;16.000;0.130;0.098;0.168
6;598.000;11.000;20.000;5.000;0.468;0.450;0.486
7;590.000;6.000;25.000;13.000;0.240;0.211;0.240
8;597.000;6.000;25.000;6.000;0.279;0.259;0.450
9;593.000;5.000;26.000;10.000;0.217;0.192;0.281
10;593.000;9.000;18.000;7.000;0.419;0.399;0.442
11;596.000;6.000;25.000;7.000;0.273;0.251;0.384
12;589.000;4.000;27.000;14.000;0.163;0.132;0.212
13;600.000;4.000;27.000;3.000;0.211;0.196;0.454
14;595.000;9.000;22.000;8.000;0.375;0.353;0.396
15;593.000;4.000;23.000;7.000;0.211;0.190;0.275
16;595.000;2.000;29.000;8.000;0.098;0.076;0.281
17;599.000;8.000;23.000;4.000;0.372;0.354;0.386
18;596.000;4.000;27.000;7.000;0.190;0.169;0.252
19;589.000;11.000;20.000;14.000;0.393;0.365;0.392
20;592.000;8.000;19.000;8.000;0.372;0.351;0.446
21;594.000;5.000;26.000;9.000;0.222;0.198;0.257
22;597.000;10.000;21.000;6.000;0.426;0.406;0.466
23;594.000;12.000;19.000;9.000;0.462;0.439;0.512
24;599.000;5.000;26.000;4.000;0.250;0.233;0.366
25;596.000;5.000;22.000;4.000;0.278;0.262;0.249
max;600.000;12.000;29.000;16.000;0.468;0.450;0.538
avg;594.200;6.840;23.360;8.200;0.297;0.275;0.357
min;584.000;2.000;18.000;3.000;0.098;0.076;0.168
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;601.000;22.000;9.000;2.000;0.800;0.791
2;595.000;21.000;10.000;8.000;0.700;0.685
3;600.000;25.000;6.000;3.000;0.847;0.840
4;602.000;20.000;11.000;1.000;0.769;0.760
5;597.000;19.000;8.000;3.000;0.776;0.766
6;598.000;21.000;10.000;5.000;0.737;0.725
7;597.000;24.000;7.000;6.000;0.787;0.776
8;601.000;21.000;10.000;2.000;0.778;0.768
9;599.000;24.000;7.000;4.000;0.814;0.804
10;597.000;22.000;5.000;3.000;0.846;0.840
11;601.000;17.000;14.000;2.000;0.680;0.668
12;595.000;24.000;7.000;8.000;0.762;0.749
13;599.000;26.000;5.000;4.000;0.852;0.845
14;598.000;21.000;10.000;5.000;0.737;0.725
15;600.000;21.000;6.000;0.000;0.875;0.870
16;596.000;21.000;10.000;7.000;0.712;0.698
17;600.000;22.000;9.000;3.000;0.786;0.776
18;602.000;22.000;9.000;1.000;0.815;0.807
19;601.000;25.000;6.000;2.000;0.862;0.855
20;597.000;18.000;9.000;3.000;0.750;0.740
21;599.000;22.000;9.000;4.000;0.772;0.761
22;602.000;24.000;7.000;1.000;0.857;0.851
23;601.000;19.000;12.000;2.000;0.731;0.720
24;600.000;24.000;7.000;3.000;0.828;0.819
25;594.000;20.000;7.000;6.000;0.755;0.744
max;602.000;26.000;14.000;8.000;0.875;0.870
avg;598.880;21.800;8.400;3.520;0.785;0.775
min;594.000;17.000;5.000;0.000;0.680;0.668
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;599.000;25.000;6.000;4.000;0.833;0.825
2;594.000;27.000;4.000;9.000;0.806;0.795
3;599.000;26.000;5.000;4.000;0.852;0.845
4;602.000;21.000;10.000;1.000;0.792;0.784
5;596.000;22.000;5.000;4.000;0.830;0.823
6;596.000;22.000;9.000;7.000;0.733;0.720
7;598.000;26.000;5.000;5.000;0.839;0.830
8;599.000;19.000;12.000;4.000;0.704;0.691
9;599.000;26.000;5.000;4.000;0.852;0.845
10;597.000;23.000;4.000;3.000;0.868;0.862
11;603.000;22.000;9.000;0.000;0.830;0.823
12;594.000;27.000;4.000;9.000;0.806;0.795
13;597.000;25.000;6.000;6.000;0.806;0.797
14;596.000;23.000;8.000;7.000;0.754;0.742
15;597.000;21.000;6.000;3.000;0.824;0.816
16;595.000;27.000;4.000;8.000;0.818;0.808
17;597.000;23.000;8.000;6.000;0.767;0.755
18;601.000;25.000;6.000;2.000;0.862;0.855
19;600.000;25.000;6.000;3.000;0.847;0.840
20;593.000;20.000;7.000;7.000;0.741;0.729
21;597.000;25.000;6.000;6.000;0.806;0.797
22;601.000;25.000;6.000;2.000;0.862;0.855
23;597.000;20.000;11.000;6.000;0.702;0.688
24;599.000;27.000;4.000;4.000;0.871;0.864
25;595.000;21.000;6.000;5.000;0.792;0.783
max;603.000;27.000;12.000;9.000;0.871;0.864
avg;597.640;23.720;6.480;4.760;0.808;0.799
min;593.000;19.000;4.000;0.000;0.702;0.688
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;591.000;20.000;11.000;12.000;0.635;0.616
2;582.000;24.000;7.000;21.000;0.632;0.609
3;586.000;19.000;12.000;17.000;0.567;0.543
4;589.000;19.000;12.000;14.000;0.594;0.572
5;582.000;14.000;13.000;18.000;0.475;0.449
6;592.000;18.000;13.000;11.000;0.600;0.580
7;590.000;21.000;10.000;13.000;0.646;0.627
8;586.000;20.000;11.000;17.000;0.588;0.565
9;589.000;18.000;13.000;14.000;0.571;0.549
10;580.000;21.000;6.000;20.000;0.618;0.597
11;593.000;18.000;13.000;10.000;0.610;0.591
12;578.000;25.000;6.000;25.000;0.617;0.593
13;579.000;19.000;12.000;24.000;0.514;0.484
14;581.000;22.000;9.000;22.000;0.587;0.562
15;589.000;22.000;5.000;11.000;0.733;0.720
16;584.000;21.000;10.000;19.000;0.592;0.568
17;592.000;23.000;8.000;11.000;0.708;0.692
18;585.000;23.000;8.000;18.000;0.639;0.618
19;580.000;17.000;14.000;23.000;0.479;0.448
20;584.000;20.000;7.000;16.000;0.635;0.616
21;591.000;23.000;8.000;12.000;0.697;0.680
