LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;559.000;15.000;6.000;1.000;0.811;0.805;0.880
2;559.000;16.000;5.000;1.000;0.842;0.837;0.968
3;552.000;18.000;3.000;8.000;0.766;0.756;0.913
4;557.000;19.000;2.000;3.000;0.884;0.879;0.912
5;551.000;21.000;0.000;5.000;0.894;0.889;0.996
6;559.000;18.000;3.000;1.000;0.900;0.896;0.951
7;558.000;17.000;4.000;2.000;0.850;0.845;0.909
8;556.000;18.000;3.000;4.000;0.837;0.831;0.956
9;553.000;17.000;4.000;7.000;0.756;0.746;0.905
10;545.000;19.000;2.000;11.000;0.745;0.734;0.911
11;556.000;18.000;3.000;4.000;0.837;0.831;0.929
12;556.000;19.000;2.000;4.000;0.864;0.858;0.899
13;558.000;15.000;6.000;2.000;0.789;0.782;0.889
14;557.000;20.000;1.000;3.000;0.909;0.906;0.948
15;545.000;18.000;3.000;11.000;0.720;0.708;0.907
16;549.000;18.000;3.000;11.000;0.720;0.708;0.903
17;526.000;21.000;0.000;34.000;0.553;0.528;0.720
18;542.000;14.000;7.000;18.000;0.528;0.507;0.635
19;557.000;20.000;1.000;3.000;0.909;0.906;0.980
20;538.000;20.000;1.000;18.000;0.678;0.662;0.848
21;560.000;17.000;4.000;0.000;0.895;0.891;0.985
22;559.000;17.000;4.000;1.000;0.872;0.867;0.936
23;549.000;20.000;1.000;11.000;0.769;0.759;0.763
24;559.000;18.000;3.000;1.000;0.900;0.896;0.935
25;538.000;20.000;1.000;18.000;0.678;0.662;0.775
max;560.000;21.000;7.000;34.000;0.909;0.906;0.996
avg;551.920;18.120;2.880;7.280;0.796;0.788;0.894
min;526.000;14.000;0.000;0.000;0.528;0.507;0.635
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;15.000;6.000;1.000;0.811;0.805
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;20.000;1.000;0.000;0.976;0.975
4;556.000;19.000;2.000;4.000;0.864;0.858
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;20.000;1.000;0.000;0.976;0.975
7;560.000;18.000;3.000;0.000;0.923;0.920
8;560.000;21.000;0.000;0.000;1.000;1.000
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;19.000;2.000;1.000;0.927;0.924
12;560.000;19.000;2.000;0.000;0.950;0.948
13;560.000;20.000;1.000;0.000;0.976;0.975
14;560.000;19.000;2.000;0.000;0.950;0.948
15;556.000;19.000;2.000;0.000;0.950;0.948
16;559.000;20.000;1.000;1.000;0.952;0.951
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;16.000;5.000;0.000;0.865;0.861
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;18.000;3.000;0.000;0.923;0.920
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;17.000;4.000;0.000;0.895;0.891
23;560.000;17.000;4.000;0.000;0.895;0.891
24;559.000;20.000;1.000;1.000;0.952;0.951
25;556.000;20.000;1.000;0.000;0.976;0.975
max;560.000;21.000;6.000;4.000;1.000;1.000
avg;558.760;18.960;2.040;0.440;0.938;0.935
min;556.000;15.000;0.000;0.000;0.811;0.805
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;560.000;18.000;3.000;0.000;0.923;0.920
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;21.000;0.000;0.000;1.000;1.000
4;559.000;20.000;1.000;1.000;0.952;0.951
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;21.000;0.000;0.000;1.000;1.000
7;560.000;19.000;2.000;0.000;0.950;0.948
8;560.000;21.000;0.000;0.000;1.000;1.000
9;560.000;20.000;1.000;0.000;0.976;0.975
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;20.000;1.000;1.000;0.952;0.951
12;560.000;19.000;2.000;0.000;0.950;0.948
13;560.000;20.000;1.000;0.000;0.976;0.975
14;560.000;20.000;1.000;0.000;0.976;0.975
15;555.000;20.000;1.000;1.000;0.952;0.951
16;559.000;21.000;0.000;1.000;0.977;0.976
17;560.000;21.000;0.000;0.000;1.000;1.000
18;560.000;16.000;5.000;0.000;0.865;0.861
19;560.000;21.000;0.000;0.000;1.000;1.000
20;556.000;19.000;2.000;0.000;0.950;0.948
21;560.000;20.000;1.000;0.000;0.976;0.975
22;560.000;18.000;3.000;0.000;0.923;0.920
23;559.000;19.000;2.000;1.000;0.927;0.924
24;560.000;20.000;1.000;0.000;0.976;0.975
25;556.000;21.000;0.000;0.000;1.000;1.000
max;560.000;21.000;5.000;1.000;1.000;1.000
avg;559.000;19.760;1.240;0.200;0.964;0.963
min;555.000;16.000;0.000;0.000;0.865;0.861
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;15.000;6.000;1.000;0.811;0.805
2;559.000;17.000;4.000;1.000;0.872;0.867
3;555.000;18.000;3.000;5.000;0.818;0.811
4;559.000;18.000;3.000;1.000;0.900;0.896
5;554.000;21.000;0.000;2.000;0.955;0.953
6;560.000;19.000;2.000;0.000;0.950;0.948
7;560.000;19.000;2.000;0.000;0.950;0.948
8;559.000;16.000;5.000;1.000;0.842;0.837
9;556.000;16.000;5.000;4.000;0.780;0.772
10;553.000;18.000;3.000;3.000;0.857;0.852
11;556.000;19.000;2.000;4.000;0.864;0.858
12;558.000;18.000;3.000;2.000;0.878;0.874
13;560.000;15.000;6.000;0.000;0.833;0.828
14;560.000;18.000;3.000;0.000;0.923;0.920
15;556.000;20.000;1.000;0.000;0.976;0.975
16;556.000;20.000;1.000;4.000;0.889;0.884
17;556.000;19.000;2.000;4.000;0.864;0.858
18;552.000;15.000;6.000;8.000;0.682;0.669
19;559.000;19.000;2.000;1.000;0.927;0.924
20;550.000;20.000;1.000;6.000;0.851;0.845
21;560.000;17.000;4.000;0.000;0.895;0.891
22;559.000;16.000;5.000;1.000;0.842;0.837
23;553.000;18.000;3.000;7.000;0.783;0.774
24;559.000;15.000;6.000;1.000;0.811;0.805
25;551.000;19.000;2.000;5.000;0.844;0.838
max;560.000;21.000;6.000;8.000;0.976;0.975
avg;556.760;17.800;3.200;2.440;0.864;0.859
min;550.000;15.000;0.000;0.000;0.682;0.669
